GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
0,0,Null,0,0,71,77,10,11,false
0,0,0,21,0,9,30,3,7,false
0,1,0,42,0,10,31,4,7,false
0,2,0,64,0,6,28,2,7,false
0,3,0,81,0,1,18,1,6,false
0,4,0,100,0,3,22,1,7,true
1,0,Null,0,0,61,57,10,11,false
1,0,1,0,22,31,9,7,3,false
1,1,1,0,46,33,9,7,4,false
1,2,1,0,65,20,1,3,1,false
1,3,0,4,65,7,11,4,4,false
1,4,1,4,78,21,8,7,4,false
1,5,1,4,125,57,10,10,4,true
2,0,Null,0,0,61,53,10,11,false
2,0,1,0,19,21,2,7,1,false
2,1,1,0,75,64,8,10,4,false
2,2,0,31,75,6,37,2,7,false
2,3,1,31,81,12,6,4,3,false
2,4,1,31,86,13,8,4,4,false
2,5,0,40,86,9,18,4,6,false
2,6,0,76,86,0,11,0,4,false
2,7,1,76,106,29,9,7,3,true
3,0,Null,0,0,55,71,10,11,false
3,0,0,3,0,10,13,3,6,false
3,1,0,10,0,8,15,2,6,false
3,2,1,10,6,15,9,4,3,false
3,3,1,10,19,15,2,4,1,false
3,4,0,44,19,2,36,2,7,false
3,5,0,57,19,8,21,4,6,false
3,6,1,57,27,17,9,3,3,false
3,7,1,57,68,43,2,7,1,false
3,8,1,57,73,11,6,3,4,false
3,9,1,57,75,12,10,3,4,false
3,10,1,57,98,31,8,6,4,false
3,11,0,84,98,5,32,1,6,false
3,12,0,121,98,7,44,2,10,true
4,0,Null,0,0,59,75,10,11,false
4,0,1,0,18,20,2,6,1,false
4,1,1,0,42,34,10,7,3,false
4,2,0,3,42,10,13,3,5,false
4,3,1,3,59,27,10,7,3,false
4,4,1,3,67,15,7,5,4,false
4,5,0,13,67,8,18,4,4,false
4,6,1,13,94,36,9,6,2,false
4,7,1,13,125,36,5,7,3,true
5,0,Null,0,0,73,60,10,11,false
5,0,0,11,0,6,17,3,6,false
5,1,0,29,0,10,28,4,7,false
5,2,1,29,28,35,7,7,3,false
5,3,0,70,28,5,46,3,10,false
5,4,0,124,28,0,29,0,7,true
6,0,Null,0,0,68,83,10,11,false
6,0,1,0,25,34,9,7,3,false
6,1,1,0,35,16,6,4,2,false
6,2,0,17,35,1,18,1,4,false
6,3,0,30,35,9,22,4,6,false
6,4,1,30,58,25,2,6,1,false
6,5,0,56,58,4,30,1,6,false
6,6,0,64,58,9,17,3,6,false
6,7,0,89,58,8,33,3,7,false
6,8,0,126,58,10,47,4,7,true
7,0,Null,0,0,65,74,10,11,false
7,0,1,0,15,16,1,4,1,false
7,1,0,10,15,1,11,1,4,false
7,2,1,10,32,22,5,7,1,false
7,3,0,31,32,9,30,3,4,false
7,4,0,41,32,10,20,3,7,false
7,5,0,47,32,8,14,4,4,false
7,6,1,47,79,49,2,7,1,false
7,7,1,47,80,11,10,3,3,false
7,8,0,52,80,6,11,2,4,false
7,9,1,52,84,12,8,6,3,false
7,10,0,59,84,8,15,3,6,false
7,11,1,59,97,19,6,6,3,false
7,12,1,59,111,21,7,4,3,true
8,0,Null,0,0,63,78,10,11,false
8,0,1,0,29,30,1,7,1,false
8,1,1,0,69,45,5,10,2,false
8,2,1,0,111,46,4,10,1,true
9,0,Null,0,0,53,69,10,11,false
9,0,1,0,27,37,10,7,3,false
9,1,1,0,99,47,0,10,0,false
9,2,1,0,135,41,5,6,1,true
10,0,Null,0,0,55,78,10,11,false
10,0,1,0,54,55,1,10,1,false
10,1,1,0,65,20,9,5,4,false
10,2,1,0,87,26,4,6,1,false
10,3,0,17,87,1,18,1,6,false
10,4,1,17,123,46,10,7,3,true
11,0,Null,0,0,60,69,10,11,false
11,0,0,3,0,10,13,4,5,false
11,1,0,21,0,4,22,1,4,false
11,2,1,21,7,17,10,4,4,false
11,3,0,61,7,0,15,0,4,false
11,4,1,61,29,31,9,6,4,false
11,5,1,61,44,22,7,4,3,false
11,6,0,95,44,9,43,4,7,false
11,7,1,95,65,27,6,4,3,false
11,8,0,103,65,3,11,2,5,true
12,0,Null,0,0,63,74,10,11,false
12,0,0,12,0,9,21,3,4,false
12,1,0,31,0,8,27,4,6,false
12,2,0,53,0,7,29,3,7,false
12,3,0,72,0,10,29,4,7,false
12,4,0,77,0,7,12,3,4,false
12,5,1,77,22,32,10,7,3,false
12,6,0,100,22,10,33,4,7,true
13,0,Null,0,0,66,87,10,11,false
13,0,0,5,0,10,15,4,4,false
13,1,1,5,27,31,4,7,1,false
13,2,1,5,43,24,8,6,3,false
13,3,1,5,50,16,9,6,3,false
13,4,0,12,50,7,14,3,3,false
13,5,1,12,55,14,9,6,4,false
13,6,0,15,55,8,11,4,3,false
13,7,0,56,55,0,16,0,4,false
13,8,0,69,55,2,15,1,4,false
13,9,0,76,55,9,16,3,4,false
13,10,1,76,116,36,0,7,0,true
14,0,Null,0,0,82,58,10,11,false
14,0,1,0,23,31,8,6,4,false
14,1,1,0,39,22,6,6,3,false
14,2,1,0,42,11,8,4,4,false
14,3,0,5,42,6,11,1,3,false
14,4,1,5,71,36,7,7,3,false
14,5,1,5,85,20,6,4,1,false
14,6,1,5,113,29,1,7,1,true
15,0,Null,0,0,66,77,10,11,false
15,0,1,0,11,18,7,4,3,false
15,1,1,0,26,16,1,4,1,false
15,2,0,7,26,9,16,4,4,false
15,3,1,7,42,25,9,6,4,false
15,4,1,7,85,47,4,6,1,false
15,5,1,7,99,22,8,7,4,false
15,6,0,37,99,7,37,4,7,false
15,7,1,37,126,28,1,6,1,true
16,0,Null,0,0,81,67,10,11,false
16,0,0,50,0,7,57,1,10,false
16,1,1,50,33,43,10,7,3,false
16,2,0,102,33,10,62,4,10,true
17,0,Null,0,0,76,63,10,11,false
17,0,0,5,0,9,14,3,4,false
17,1,1,5,8,17,9,6,4,false
17,2,0,20,8,6,21,3,7,false
17,3,1,20,32,33,9,7,4,false
17,4,1,20,65,34,1,7,1,false
17,5,1,20,73,18,10,3,2,false
17,6,1,20,100,35,8,7,3,true
18,0,Null,0,0,61,46,10,11,false
18,0,0,3,0,9,12,3,4,false
18,1,1,3,17,19,2,6,1,false
18,2,1,3,55,43,5,7,1,false
18,3,0,12,55,8,17,4,7,false
18,4,1,12,77,26,4,7,2,false
18,5,0,42,77,5,35,3,7,false
18,6,1,42,96,29,10,7,4,false
18,7,1,42,110,21,7,4,3,true
19,0,Null,0,0,64,59,10,11,false
19,0,1,0,42,52,10,7,4,false
19,1,1,0,73,41,10,10,4,false
19,2,1,0,97,33,9,7,4,false
19,3,1,0,107,18,8,4,4,true
20,0,Null,0,0,62,77,10,11,false
20,0,1,0,12,21,9,4,4,false
20,1,1,0,21,15,6,4,1,false
20,2,1,0,59,48,10,10,4,false
20,3,0,15,59,4,19,2,4,false
20,4,1,15,71,20,8,6,3,false
20,5,0,60,71,3,48,1,10,false
20,6,0,94,71,4,38,2,10,false
20,7,0,97,71,10,13,1,4,false
20,8,1,97,104,43,10,7,4,true
21,0,Null,0,0,61,88,10,11,false
21,0,1,0,49,24,0,4,0,false
21,1,0,12,49,9,21,4,4,false
21,2,0,26,49,7,21,3,7,false
21,3,1,26,55,14,8,4,4,false
21,4,0,43,55,9,26,4,7,false
21,5,0,80,55,4,41,1,7,false
21,6,1,80,62,16,9,4,4,false
21,7,0,109,62,10,39,3,7,true
22,0,Null,0,0,66,69,10,11,false
22,0,1,0,12,22,10,4,4,false
22,1,1,0,13,11,10,4,3,false
22,2,1,0,24,19,8,4,3,false
22,3,1,0,30,13,7,5,4,false
22,4,1,0,37,11,4,3,3,false
22,5,1,0,73,45,9,7,3,false
22,6,0,32,73,4,36,2,7,false
22,7,1,32,87,23,9,4,2,false
22,8,1,32,94,12,5,4,3,false
22,9,0,44,94,1,13,1,4,false
22,10,1,44,139,53,8,10,4,true
23,0,Null,0,0,67,73,10,11,false
23,0,0,11,0,10,21,3,4,false
23,1,0,18,0,10,17,3,4,false
23,2,1,18,25,30,5,5,3,false
23,3,1,18,45,22,2,4,1,false
23,4,1,18,61,17,1,4,1,false
23,5,0,33,61,10,25,2,5,false
23,6,0,54,61,10,31,4,7,false
23,7,1,54,86,26,1,7,1,false
23,8,0,68,86,6,20,2,7,false
23,9,0,76,86,10,18,3,4,false
23,10,1,76,97,19,8,4,4,false
23,11,0,120,97,8,52,3,10,true
24,0,Null,0,0,44,71,10,11,false
24,0,1,0,21,30,9,7,4,false
24,1,0,5,21,7,12,4,4,false
24,2,0,16,21,10,21,3,3,false
24,3,1,16,37,17,1,6,1,false
24,4,1,16,70,43,10,7,3,false
24,5,0,32,70,10,26,4,7,false
24,6,0,54,70,4,26,1,7,false
24,7,1,54,90,28,8,7,3,false
24,8,1,54,123,39,6,7,4,true
25,0,Null,0,0,59,71,10,11,false
25,0,1,0,14,24,10,7,4,false
25,1,1,0,49,42,7,10,3,false
25,2,1,0,55,15,9,5,4,false
25,3,1,0,82,35,8,7,3,false
25,4,0,11,82,7,18,3,6,false
25,5,0,67,82,8,64,4,10,false
25,6,1,67,110,29,1,6,1,true
26,0,Null,0,0,71,76,10,11,false
26,0,0,9,0,8,17,3,4,false
26,1,1,9,7,16,9,2,4,false
26,2,0,51,7,10,52,4,10,false
26,3,1,51,43,46,10,7,3,false
26,4,0,53,43,10,12,3,4,false
26,5,1,53,66,31,8,6,4,false
26,6,1,53,75,11,2,4,1,false
26,7,0,81,75,10,38,4,7,false
26,8,0,88,75,8,15,3,4,false
26,9,1,88,85,14,4,3,1,false
26,10,1,88,117,41,9,7,4,true
27,0,Null,0,0,52,82,10,11,false
27,0,1,0,15,24,9,7,4,false
27,1,0,42,15,0,17,0,6,false
27,2,0,56,15,9,23,3,6,false
27,3,1,56,52,40,3,7,1,false
27,4,1,56,63,15,4,3,2,false
27,5,0,66,63,8,18,3,6,false
27,6,1,66,66,11,8,4,4,false
27,7,0,91,66,4,29,3,7,false
27,8,1,91,86,30,10,7,4,false
27,9,1,91,94,12,4,3,2,false
27,10,1,91,133,49,10,6,4,true
28,0,Null,0,0,68,74,10,11,false
28,0,0,8,0,10,18,3,6,false
28,1,0,20,0,7,19,4,5,false
28,2,0,63,0,4,47,1,10,false
28,3,0,91,0,3,31,2,7,false
28,4,0,113,0,10,32,2,7,true
29,0,Null,0,0,51,72,10,11,false
29,0,0,22,0,1,23,1,7,false
29,1,0,35,0,7,20,3,4,false
29,2,0,48,0,10,23,3,7,false
29,3,0,60,0,2,14,1,4,false
29,4,1,60,3,11,8,4,4,false
29,5,1,60,48,53,8,10,3,false
29,6,1,60,93,54,9,10,3,false
29,7,0,122,93,6,68,4,10,true
30,0,Null,0,0,50,87,10,11,false
30,0,0,10,0,1,11,1,3,false
30,1,0,21,0,1,12,1,4,false
30,2,1,21,73,82,9,10,3,false
30,3,1,21,79,16,10,4,4,false
30,4,1,21,111,40,8,7,3,true
31,0,Null,0,0,64,83,10,11,false
31,0,0,63,0,10,73,3,10,false
31,1,1,63,9,12,3,4,1,false
31,2,1,63,14,14,9,4,3,false
31,3,1,63,63,24,0,6,0,false
31,4,1,63,85,26,4,7,1,false
31,5,0,81,85,3,21,2,7,false
31,6,0,87,85,9,15,2,4,false
31,7,0,107,85,8,28,4,7,true
32,0,Null,0,0,49,79,10,11,false
32,0,1,0,41,51,10,10,4,false
32,1,1,0,56,23,8,6,3,false
32,2,0,14,56,1,15,1,4,false
32,3,0,23,56,10,19,4,4,false
32,4,1,23,62,11,5,3,3,false
32,5,0,27,62,10,14,3,4,false
32,6,1,27,75,19,6,4,4,false
32,7,1,27,96,23,2,4,1,false
32,8,0,69,96,9,51,3,10,false
32,9,1,69,111,16,1,4,1,true
33,0,Null,0,0,57,79,10,11,false
33,0,1,0,4,13,9,4,4,false
33,1,1,0,9,14,9,3,3,false
33,2,0,18,9,8,26,4,6,false
33,3,1,18,66,66,9,10,4,false
33,4,1,18,90,31,7,7,3,false
33,5,0,84,90,2,68,1,10,false
33,6,1,84,92,12,10,5,3,false
33,7,1,84,117,33,8,7,1,true
34,0,Null,0,0,51,77,10,11,false
34,0,0,20,0,5,25,3,7,false
34,1,0,36,0,10,26,4,7,false
34,2,1,36,15,25,10,7,4,false
34,3,1,36,27,16,4,4,1,false
34,4,1,36,68,16,0,4,0,false
34,5,1,36,86,19,1,6,1,false
34,6,1,36,136,59,9,10,4,true
35,0,Null,0,0,52,76,10,11,false
35,0,1,0,18,21,3,7,2,false
35,1,1,0,26,15,7,4,4,false
35,2,1,0,48,30,8,6,3,false
35,3,1,0,75,36,9,7,4,false
35,4,0,9,75,8,17,3,4,false
35,5,0,28,75,5,24,3,6,false
35,6,1,28,132,64,7,10,4,true
36,0,Null,0,0,59,76,10,11,false
36,0,0,11,0,8,19,4,5,false
36,1,1,11,35,36,1,7,1,false
36,2,1,11,65,31,1,7,1,false
36,3,0,30,65,9,28,4,7,false
36,4,1,30,75,20,10,4,3,false
36,5,1,30,93,22,4,7,3,false
36,6,0,58,93,10,38,2,7,false
36,7,0,73,93,8,23,4,7,false
36,8,1,73,121,37,9,7,3,true
37,0,Null,0,0,68,67,10,11,false
37,0,1,0,33,41,8,7,3,false
37,1,1,0,50,20,3,6,2,false
37,2,1,0,62,18,6,4,3,false
37,3,1,0,76,24,10,5,4,false
37,4,1,0,131,61,6,10,1,true
38,0,Null,0,0,51,73,10,11,false
38,0,0,35,0,10,45,1,7,false
38,1,1,35,24,34,10,7,4,false
38,2,1,35,38,22,8,6,4,false
38,3,1,35,49,14,3,3,1,false
38,4,1,35,88,43,4,10,3,false
38,5,1,35,110,29,7,5,3,true
39,0,Null,0,0,58,64,10,11,false
39,0,0,44,0,0,19,0,6,false
39,1,1,44,10,14,4,4,3,false
