GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
0,0,Null,0,0,74,58,10,11,false
0,0,0,9,0,2,11,1,4,false
0,1,1,9,21,30,9,7,4,false
0,2,1,9,39,26,8,7,4,false
0,3,1,9,52,20,7,6,3,false
0,4,1,9,62,18,8,4,4,false
0,5,0,14,62,8,13,4,3,false
0,6,0,16,62,10,12,4,3,false
0,7,1,16,69,11,4,4,1,false
0,8,1,16,109,49,9,10,4,true
1,0,Null,0,0,87,66,10,11,false
1,0,1,0,39,49,10,7,3,false
1,1,1,0,81,17,0,4,0,false
1,2,0,11,81,8,19,4,4,false
1,3,1,11,125,50,6,10,3,true
2,0,Null,0,0,69,75,10,11,false
2,0,1,0,10,11,1,4,1,false
2,1,0,43,10,0,18,0,4,false
2,2,1,43,13,12,9,4,4,false
2,3,1,43,20,17,10,7,4,false
2,4,0,50,20,4,11,1,5,false
2,5,0,79,20,9,38,4,7,false
2,6,1,79,38,24,6,7,3,false
2,7,0,90,38,1,12,1,4,false
2,8,0,109,38,8,27,3,7,true
3,0,Null,0,0,64,68,10,11,false
3,0,1,0,20,30,10,7,4,false
3,1,1,0,31,13,2,5,1,false
3,2,1,0,58,34,7,7,3,false
3,3,1,0,60,12,10,4,4,false
3,4,1,0,75,22,7,4,3,false
3,5,0,19,75,7,26,3,7,false
3,6,1,19,78,12,9,4,3,false
3,7,0,25,78,6,12,2,4,false
3,8,1,25,86,18,10,4,4,false
3,9,1,25,123,47,10,10,4,true
4,0,Null,0,0,68,67,10,11,false
4,0,0,1,0,10,11,4,4,false
4,1,0,12,0,3,14,1,4,false
4,2,0,20,0,6,14,3,3,false
4,3,0,48,0,10,38,3,7,false
4,4,0,73,0,9,34,3,7,false
4,5,1,73,17,26,9,7,3,false
4,6,0,79,17,7,13,4,4,false
4,7,0,95,17,4,20,3,6,false
4,8,1,95,20,12,9,3,4,false
4,9,1,95,31,21,10,6,4,false
4,10,1,95,48,22,5,7,3,false
4,11,1,95,58,20,10,7,4,false
4,12,1,95,79,28,7,6,3,false
4,13,0,137,79,4,46,1,7,true
5,0,Null,0,0,52,67,10,11,false
5,0,1,0,20,28,8,7,4,false
5,1,0,19,20,3,22,1,6,false
5,2,0,49,20,7,37,3,7,false
5,3,1,49,29,16,7,4,3,false
5,4,0,53,29,9,13,3,4,false
5,5,0,58,29,8,13,3,4,false
5,6,0,62,29,8,12,3,4,false
5,7,0,98,29,9,45,4,7,false
5,8,1,98,33,14,10,4,4,false
5,9,0,107,33,2,11,2,3,true
6,0,Null,0,0,63,76,10,11,false
6,0,0,23,0,8,31,4,7,false
6,1,0,66,0,7,50,3,10,false
6,2,1,66,3,12,9,4,4,false
6,3,1,66,56,62,9,10,2,false
6,4,0,93,56,6,33,1,7,false
6,5,0,96,56,9,12,3,4,false
6,6,0,104,56,8,16,4,4,true
7,0,Null,0,0,66,70,10,11,false
7,0,1,0,11,18,7,7,3,false
7,1,1,0,42,40,9,10,4,false
7,2,1,0,48,11,5,4,3,false
7,3,0,8,48,10,18,4,5,false
7,4,0,47,48,0,14,0,4,false
7,5,1,47,65,27,10,7,3,false
7,6,1,47,69,11,7,3,3,false
7,7,0,54,69,5,12,2,4,false
7,8,1,54,76,11,4,4,2,false
7,9,1,54,84,16,8,6,4,false
7,10,1,54,94,18,8,4,2,false
7,11,1,54,107,15,2,5,1,true
8,0,Null,0,0,61,79,10,11,false
8,0,1,0,30,31,1,7,1,false
8,1,1,0,54,30,6,7,2,false
8,2,1,0,69,24,9,7,5,false
8,3,1,0,76,16,9,3,3,false
8,4,0,6,76,9,15,4,4,false
8,5,0,19,76,4,17,3,4,false
8,6,1,19,93,24,7,7,3,false
8,7,1,19,105,18,6,7,4,true
9,0,Null,0,0,64,83,10,11,false
9,0,0,9,0,9,18,3,4,false
9,1,0,27,0,9,27,3,6,false
9,2,1,27,7,14,7,3,3,false
