GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
0,0,Null,0,0,78,59,10,11,false
0,0,0,24,0,10,34,3,7,false
0,1,0,36,0,9,21,3,7,false
0,2,0,55,0,10,29,3,7,false
0,3,0,74,0,7,26,2,7,false
0,4,0,79,0,7,12,4,4,false
0,5,0,115,0,1,37,1,6,true
1,0,Null,0,0,41,64,10,11,false
1,0,1,0,9,17,8,6,4,false
1,1,1,0,12,12,9,4,4,false
1,2,1,0,22,18,8,6,4,false
1,3,0,37,22,7,44,3,7,false
1,4,1,37,73,57,6,10,4,false
1,5,0,41,73,7,11,3,3,false
1,6,0,68,73,1,28,1,6,false
1,7,0,82,73,3,17,1,6,false
1,8,1,82,79,13,7,4,3,false
1,9,0,93,79,9,20,4,6,false
1,10,1,93,88,15,6,4,3,false
1,11,1,93,97,15,6,6,3,false
1,12,1,93,117,22,2,4,1,true
2,0,Null,0,0,67,70,10,11,false
2,0,0,2,0,9,11,3,3,false
2,1,1,2,18,28,10,6,3,false
2,2,1,2,24,11,5,4,1,false
2,3,1,2,43,23,4,7,1,false
2,4,0,31,43,8,37,3,7,false
2,5,0,50,43,10,29,4,6,false
2,6,0,93,43,9,52,4,10,false
2,7,1,93,65,23,1,6,1,false
2,8,0,134,65,7,48,1,10,true
3,0,Null,0,0,62,63,10,11,false
3,0,0,29,0,10,39,4,10,false
3,1,0,61,0,6,38,3,6,false
3,2,1,61,53,28,0,5,0,false
3,3,1,61,56,12,9,4,3,false
3,4,1,61,69,23,10,7,4,false
3,5,1,61,80,12,1,4,1,false
3,6,1,61,116,38,2,7,1,true
4,0,Null,0,0,76,63,10,11,false
4,0,1,0,19,21,2,7,1,false
4,1,1,0,26,13,6,4,3,false
4,2,0,15,26,6,21,4,4,false
4,3,0,33,26,9,27,3,4,false
4,4,0,59,26,9,35,2,7,false
4,5,1,59,47,28,7,7,2,false
4,6,1,59,76,36,7,7,3,false
4,7,1,59,94,24,6,7,3,false
4,8,0,82,94,7,30,3,7,false
4,9,0,124,94,9,51,4,10,true
5,0,Null,0,0,46,69,10,11,false
5,0,1,0,9,17,8,4,4,false
5,1,1,0,27,21,3,7,2,false
5,2,1,0,61,43,9,10,3,false
5,3,0,53,61,8,61,3,10,false
5,4,1,53,74,20,7,7,3,false
5,5,0,66,74,1,14,1,4,false
5,6,0,79,74,7,20,3,4,false
5,7,1,79,80,16,10,4,4,false
5,8,0,86,80,9,16,3,4,false
5,9,1,86,103,32,9,7,3,true
6,0,Null,0,0,71,61,10,11,false
6,0,0,8,0,8,16,4,6,false
6,1,1,8,10,12,2,4,1,false
6,2,0,45,10,10,47,4,6,false
6,3,0,56,10,5,16,2,4,false
6,4,1,56,36,34,8,6,3,false
6,5,1,56,90,64,10,10,3,false
6,6,1,56,113,28,5,7,2,true
7,0,Null,0,0,53,76,10,11,false
7,0,1,0,8,17,9,4,3,false
7,1,1,0,12,11,7,3,3,false
7,2,1,0,48,46,10,10,3,false
7,3,0,15,48,5,20,3,6,false
7,4,0,50,48,6,41,2,7,false
7,5,0,70,48,10,30,4,4,false
7,6,0,74,48,10,14,4,3,false
7,7,1,74,85,47,10,7,4,false
7,8,0,89,85,2,17,1,5,false
7,9,0,103,85,4,18,3,6,true
8,0,Null,0,0,54,60,10,11,false
8,0,0,3,0,9,12,4,4,false
8,1,0,18,0,1,16,1,4,false
8,2,1,18,9,13,4,3,3,false
8,3,0,34,9,6,22,4,6,false
8,4,0,66,9,9,41,2,7,false
8,5,1,66,21,19,7,6,3,false
8,6,1,66,30,17,8,3,3,false
8,7,0,99,30,9,42,4,10,false
8,8,0,117,30,7,25,3,7,true
9,0,Null,0,0,74,63,10,11,false
9,0,0,17,0,9,26,2,4,false
9,1,1,17,28,30,2,7,1,false
9,2,1,17,44,26,10,7,4,false
9,3,1,17,55,19,8,7,4,false
