RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,0,109,94,2,15,1,6
5,true,1,14,102,19,9,7,4
4,true,1,13,118,55,6,7,3
9,true,0,111,77,4,45,1,7
7,true,1,28,100,11,9,4,3
8,true,1,50,108,19,1,7,1
6,true,0,116,91,1,36,1,7
6,true,1,80,102,35,10,7,1
6,true,0,118,88,8,30,4,7
8,true,1,79,122,52,1,10,1
6,true,0,114,59,10,32,4,7
2,true,1,0,107,55,2,7,1
5,true,1,26,107,18,6,4,4
8,true,1,81,124,45,1,7,1
3,true,1,0,106,23,6,4,4
7,true,0,135,61,10,49,4,10
8,true,0,124,72,8,37,2,7
6,true,1,51,112,32,8,6,3
7,true,1,82,134,39,1,7,1
6,true,0,124,95,3,66,1,10
2,true,1,0,101,21,8,3,4
10,true,0,152,89,0,32,0,7
6,true,1,53,113,24,4,4,1
4,true,0,101,10,8,20,1,4
5,true,0,120,13,0,19,0,3
8,true,1,91,121,25,3,4,1
8,true,0,125,89,2,29,1,7
2,true,1,0,110,69,9,10,3
6,true,1,8,132,48,8,7,4
4,true,1,0,101,31,9,4,3
7,true,1,83,142,56,5,10,3
5,true,1,46,131,27,0,7,0
4,true,0,107,74,1,47,1,7
6,true,0,140,60,0,59,0,10
6,true,1,44,119,58,1,10,1
4,true,1,30,102,50,1,7,1
8,true,1,74,131,58,10,10,3
1,true,0,107,0,6,76,4,10
6,true,0,110,81,5,18,2,7
7,true,0,104,30,8,13,3,4
7,true,1,81,117,40,5,7,3
8,true,0,157,45,8,67,3,10
4,true,0,108,37,0,23,0,4
5,true,1,59,100,39,6,7,3
5,true,1,28,129,39,1,7,1
2,true,1,0,107,24,4,7,2
7,true,1,26,100,15,5,4,2
10,true,0,121,79,0,19,0,4
3,true,1,45,103,52,1,10,1
6,true,0,102,39,8,21,4,7
3,true,1,0,124,51,3,10,1
4,true,1,11,101,24,0,4,0
8,true,0,142,96,8,62,2,10
4,true,0,113,52,10,60,2,10
3,true,1,0,140,31,0,7,0
8,true,0,108,95,1,28,1,7
5,true,1,40,120,38,9,7,4
2,true,0,135,0,0,32,0,7
5,true,0,104,53,9,14,4,4
6,true,1,0,142,20,0,2,0
9,true,1,90,106,19,9,3,4
6,true,1,23,109,21,10,4,4
5,true,1,47,126,38,10,7,4
2,true,1,0,100,13,9,3,4
10,true,0,115,95,8,26,4,7
9,true,1,72,118,35,4,7,1
