RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
6,TRUE,0,112,65,2,43,1,6
6,TRUE,1,34,129,42,6,7,1
7,TRUE,0,108,79,10,22,4,7
4,TRUE,1,9,106,17,9,3,4
8,TRUE,0,112,63,10,41,3,6
12,TRUE,0,101,89,9,25,3,4
7,TRUE,0,135,79,8,52,3,7
7,TRUE,0,118,82,3,33,1,7
7,TRUE,0,108,61,8,33,3,6
9,TRUE,0,114,95,8,53,3,10
9,TRUE,0,145,64,8,57,3,10
5,TRUE,1,39,102,58,10,10,3
9,TRUE,0,133,80,0,42,0,7
6,TRUE,1,54,104,60,7,10,4
8,TRUE,1,76,120,47,2,10,1
8,TRUE,1,69,101,44,4,7,2
5,TRUE,1,90,104,55,2,10,1
7,TRUE,1,78,109,16,5,5,1
7,TRUE,1,94,107,39,10,7,3
10,TRUE,0,111,87,1,34,1,7
1,TRUE,1,0,105,63,3,10,2
10,TRUE,0,122,70,10,39,3,7
11,TRUE,0,103,64,6,53,1,10
3,TRUE,0,100,18,10,37,4,7
6,TRUE,1,89,121,42,1,7,1
6,TRUE,0,102,72,8,21,3,6
9,TRUE,0,109,69,5,27,3,7
3,TRUE,1,0,127,34,4,7,3
7,TRUE,1,71,110,30,10,7,4
6,TRUE,1,24,121,70,5,10,3
4,TRUE,0,106,50,6,23,3,6
7,TRUE,0,103,97,0,21,0,7
4,TRUE,0,111,96,9,61,4,7
4,TRUE,1,19,136,56,7,10,3
11,TRUE,0,127,89,10,39,4,7
5,TRUE,0,105,17,5,24,2,7
11,TRUE,0,105,89,9,15,4,4
6,TRUE,1,74,103,25,9,7,4
9,TRUE,0,118,82,1,34,1,6
7,TRUE,0,100,14,8,13,3,4
11,TRUE,1,71,100,26,8,6,3
9,TRUE,1,24,128,41,10,7,4
5,TRUE,1,62,105,36,7,7,4
4,TRUE,0,100,24,10,35,2,7
9,TRUE,0,114,86,7,29,3,7
3,TRUE,1,16,131,41,7,7,3
12,TRUE,0,122,57,6,33,2,7
8,TRUE,0,105,66,10,24,5,7
6,TRUE,1,62,103,39,8,10,4
9,TRUE,1,48,104,27,1,4,1
4,TRUE,1,5,111,32,10,7,3
6,TRUE,1,66,106,18,8,4,4
10,TRUE,0,116,80,8,36,4,7
5,TRUE,0,136,11,5,47,3,10
4,TRUE,1,0,131,50,3,10,1
10,TRUE,1,89,102,15,1,4,1
