Round#,FinalRound,Winner,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodP0,CardsInDeadwoodP1
Game: 1,,,,,,,,
0,FALSE,0,8,0,6,14,3,4
1,FALSE,1,8,44,51,7,10,3
2,FALSE,0,16,44,4,12,1,4
3,FALSE,1,16,58,21,7,4,4
4,FALSE,1,16,65,17,10,6,4
5,FALSE,0,71,65,9,64,3,10
6,TRUE,0,112,65,2,43,1,6
Game: 2,,,,,,,,
0,FALSE,0,34,0,1,35,1,7
1,FALSE,1,34,8,13,5,3,2
2,FALSE,1,34,19,16,5,4,2
3,FALSE,1,34,62,49,6,10,4
4,FALSE,1,34,72,17,7,7,2
5,FALSE,1,34,93,24,3,7,1
6,TRUE,1,34,129,42,6,7,1
Game: 3,,,,,,,,
0,FALSE,0,38,0,2,40,1,7
1,FALSE,1,38,33,41,8,7,3
2,FALSE,1,38,46,15,2,5,1
3,FALSE,0,72,46,9,43,4,7
4,FALSE,0,82,46,3,13,1,4
5,FALSE,1,82,79,42,9,7,3
6,FALSE,0,96,79,4,18,2,4
7,TRUE,0,108,79,10,22,4,7
Game: 4,,,,,,,,
0,FALSE,1,0,17,25,8,6,4
1,FALSE,0,9,17,6,15,3,4
2,FALSE,1,9,69,27,0,6,0
3,FALSE,1,9,98,37,8,7,4
4,TRUE,1,9,106,17,9,3,4
Game: 5,,,,,,,,
0,FALSE,1,0,8,16,8,6,3
1,FALSE,0,20,8,6,26,4,7
2,FALSE,0,27,8,5,12,3,4
3,FALSE,0,43,8,2,18,1,4
4,FALSE,0,81,8,10,48,4,10
5,FALSE,1,81,21,16,3,4,1
6,FALSE,1,81,48,34,7,6,2
7,FALSE,1,81,63,21,6,7,2
8,TRUE,0,112,63,10,41,3,6
Game: 6,,,,,,,,
0,FALSE,1,0,11,21,10,3,4
1,FALSE,0,41,11,0,16,0,4
2,FALSE,0,55,11,10,24,4,7
3,FALSE,0,66,11,3,14,1,4
4,FALSE,1,66,47,45,9,7,4
5,FALSE,1,66,54,15,8,4,4
6,FALSE,1,66,71,26,9,4,3
7,FALSE,1,66,76,14,9,4,3
8,FALSE,0,72,76,9,15,4,4
9,FALSE,1,72,85,15,6,6,4
10,FALSE,1,72,89,14,10,4,3
11,FALSE,0,85,89,7,20,2,6
12,TRUE,0,101,89,9,25,3,4
Game: 7,,,,,,,,
0,FALSE,1,0,35,41,6,10,3
1,FALSE,0,29,35,10,39,4,7
2,FALSE,0,43,35,1,15,1,4
3,FALSE,0,58,35,7,22,3,7
4,FALSE,1,58,74,48,9,10,3
5,FALSE,1,58,79,15,10,4,4
6,FALSE,0,91,79,7,40,4,7
7,TRUE,0,135,79,8,52,3,7
Game: 8,,,,,,,,
0,FALSE,0,18,0,8,26,3,7
1,FALSE,0,28,0,5,15,2,4
2,FALSE,0,72,0,9,53,3,10
3,FALSE,0,88,0,8,24,2,7
4,FALSE,1,88,31,38,7,7,3
5,FALSE,1,88,76,53,8,7,1
6,FALSE,1,88,82,12,6,4,1
7,TRUE,0,118,82,3,33,1,7
Game: 9,,,,,,,,
0,FALSE,1,0,47,56,9,10,4
1,FALSE,1,0,61,16,2,6,1
2,FALSE,0,23,61,9,32,4,7
3,FALSE,0,26,61,9,12,4,4
4,FALSE,0,80,61,2,56,1,10
5,FALSE,null,80,61,30,37,10,11
6,FALSE,0,83,61,8,11,3,4
7,TRUE,0,108,61,8,33,3,6
Game: 10,,,,,,,,
0,FALSE,0,14,0,1,15,1,6
1,FALSE,1,14,8,16,8,4,3
2,FALSE,1,14,35,37,10,7,4
3,FALSE,1,14,54,27,8,6,3
4,FALSE,0,36,54,2,24,1,6
5,FALSE,0,47,54,7,18,2,7
6,FALSE,0,69,54,3,25,1,6
7,FALSE,1,69,65,14,3,4,1
8,FALSE,1,69,95,36,6,7,3
9,TRUE,0,114,95,8,53,3,10
Game: 11,,,,,,,,
0,FALSE,1,0,3,12,9,3,3
1,FALSE,1,0,27,34,10,7,3
2,FALSE,1,0,30,12,9,4,3
3,FALSE,0,57,30,2,59,1,10
4,FALSE,1,57,38,18,10,6,4
5,FALSE,0,86,38,5,34,3,7
6,FALSE,0,96,38,3,13,1,4
7,FALSE,1,96,57,26,7,7,2
8,FALSE,1,96,64,17,10,6,4
9,TRUE,0,145,64,8,57,3,10
Game: 12,,,,,,,,
0,FALSE,1,0,7,16,9,6,2
1,FALSE,1,0,10,11,8,4,3
2,FALSE,1,0,54,46,2,7,1
3,FALSE,0,9,54,8,17,4,4
4,FALSE,0,39,54,2,32,1,6
5,TRUE,1,39,102,58,10,10,3
Game: 13,,,,,,,,
0,FALSE,0,28,0,1,29,1,7
1,FALSE,1,28,5,11,6,4,3
2,FALSE,1,28,37,42,10,7,4
3,FALSE,0,49,37,4,25,2,6
4,FALSE,0,56,37,10,17,4,4
5,FALSE,1,56,39,11,9,4,4
6,FALSE,1,56,47,18,10,6,3
7,FALSE,0,66,47,10,20,4,7
8,FALSE,1,66,80,34,1,7,1
9,TRUE,0,133,80,0,42,0,7
Game: 14,,,,,,,,
0,FALSE,1,0,22,31,9,7,4
1,FALSE,1,0,44,25,3,7,1
2,FALSE,0,39,44,0,14,0,3
3,FALSE,1,39,51,14,7,5,4
4,FALSE,0,49,51,8,18,3,4
5,FALSE,0,54,51,6,11,3,4
6,TRUE,1,54,104,60,7,10,4
Game: 15,,,,,,,,
0,FALSE,1,0,6,11,5,2,2
1,FALSE,0,2,6,10,12,4,4
2,FALSE,0,10,6,9,17,3,4
3,FALSE,1,10,33,35,8,7,4
4,FALSE,0,41,33,1,32,1,7
5,FALSE,0,61,33,9,29,4,7
6,FALSE,0,76,33,7,22,3,7
7,FALSE,1,76,75,51,9,10,4
8,TRUE,1,76,120,47,2,10,1
Game: 16,,,,,,,,
0,FALSE,0,12,0,8,20,2,4
1,FALSE,1,12,21,28,7,6,4
2,FALSE,0,14,21,9,11,3,4
3,FALSE,1,14,35,18,4,4,1
4,FALSE,0,20,35,10,16,4,4
5,FALSE,1,20,61,30,4,6,1
6,FALSE,0,30,61,4,14,1,3
7,FALSE,0,69,61,10,49,4,10
8,TRUE,1,69,101,44,4,7,2
Game: 17,,,,,,,,
0,FALSE,1,0,41,43,2,7,1
1,FALSE,0,58,41,9,67,4,10
2,FALSE,0,86,41,2,30,1,7
3,FALSE,1,86,51,20,10,6,4
4,FALSE,0,90,51,8,12,2,4
5,TRUE,1,90,104,55,2,10,1
Game: 18,,,,,,,,
0,FALSE,0,3,0,9,12,3,3
1,FALSE,0,22,0,9,28,3,4
2,FALSE,0,64,0,2,44,1,7
3,FALSE,1,64,25,30,5,4,3
4,FALSE,1,64,73,58,10,7,3
5,FALSE,1,64,98,34,9,7,4
6,FALSE,0,78,98,7,21,3,6
7,TRUE,1,78,109,16,5,5,1
Game: 19,,,,,,,,
0,FALSE,0,40,0,10,50,4,10
1,FALSE,0,74,0,10,44,3,7
2,FALSE,0,86,0,10,22,3,7
3,FALSE,0,94,0,3,11,1,4
4,FALSE,1,94,21,30,9,4,3
5,FALSE,1,94,37,24,8,6,3
6,FALSE,1,94,78,50,9,10,3
7,TRUE,1,94,107,39,10,7,3
Game: 20,,,,,,,,
0,FALSE,1,0,2,12,10,4,3
1,FALSE,1,0,15,18,5,4,3
2,FALSE,1,0,36,26,5,7,3
3,FALSE,0,35,36,7,42,4,10
4,FALSE,1,35,41,13,8,4,4
5,FALSE,0,39,41,8,12,3,4
6,FALSE,1,39,52,14,3,4,2
7,FALSE,1,39,67,20,5,7,3
8,FALSE,1,39,87,23,3,6,1
9,FALSE,0,78,87,10,49,3,10
10,TRUE,0,111,87,1,34,1,7
Game: 21,,,,,,,,
0,FALSE,1,0,45,52,7,10,3
1,TRUE,1,0,105,63,3,10,2
Game: 22,,,,,,,,
0,FALSE,1,0,3,12,9,4,4
1,FALSE,1,0,15,20,8,4,4
2,FALSE,0,47,15,5,52,1,7
3,FALSE,0,58,15,4,15,3,4
4,FALSE,1,58,47,38,6,7,3
5,FALSE,1,58,55,16,8,4,4
6,FALSE,0,70,55,8,20,4,6
7,FALSE,0,81,55,3,14,1,4
8,FALSE,1,81,70,16,1,4,1
9,FALSE,0,93,70,3,15,1,6
10,TRUE,0,122,70,10,39,3,7
Game: 23,,,,,,,,
0,FALSE,0,9,0,7,16,3,4
1,FALSE,1,9,9,19,10,7,4
2,FALSE,1,9,38,37,8,7,4
3,FALSE,1,9,41,13,10,4,4
4,FALSE,1,9,53,21,9,5,4
5,FALSE,0,13,53,8,12,3,4
6,FALSE,1,13,59,14,8,4,3
7,FALSE,0,26,59,1,14,1,6
8,FALSE,0,33,59,9,16,3,5
9,FALSE,0,56,59,7,30,3,7
10,FALSE,1,56,64,11,6,3,3
11,TRUE,0,103,64,6,53,1,10
Game: 24,,,,,,,,
0,FALSE,0,73,0,0,48,0,10
1,FALSE,1,73,10,13,3,4,1
2,FALSE,1,73,18,15,7,3,4
3,TRUE,0,100,18,10,37,4,7
Game: 25,,,,,,,,
0,FALSE,1,0,13,15,2,4,1
1,FALSE,1,0,26,23,10,7,3
2,FALSE,1,0,65,49,10,10,2
3,FALSE,0,20,65,9,29,3,7
4,FALSE,1,20,80,25,10,4,3
5,FALSE,0,89,80,0,44,0,7
6,TRUE,1,89,121,42,1,7,1
