RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
11,true,1,98,105,14,7,6,3
8,true,1,57,107,48,9,7,4
8,true,0,143,42,4,57,3,10
8,true,1,77,108,37,10,6,3
8,true,0,110,17,8,36,3,6
10,true,1,51,107,13,1,4,1
8,true,0,103,62,9,13,3,4
12,true,1,80,136,51,8,7,1
13,true,1,68,115,35,10,6,4
9,true,0,101,80,8,53,3,10
4,true,0,103,13,6,20,3,4
10,true,1,97,110,23,9,7,3
11,true,0,103,49,9,14,4,4
7,true,0,115,54,5,54,1,10
9,true,1,82,104,18,2,4,1
10,true,1,91,106,48,10,10,3
4,true,0,107,53,0,24,0,7
5,true,1,75,117,60,9,10,4
4,true,0,117,0,2,28,1,6
10,true,0,147,69,9,63,4,10
7,true,1,25,102,17,8,6,3
10,true,0,112,56,7,54,3,10
6,true,1,0,109,34,4,7,1
10,true,0,117,69,9,46,3,7
7,true,0,119,71,1,43,1,7
9,true,1,53,102,39,8,7,4
13,true,1,92,112,29,7,7,3
12,true,1,72,108,17,7,4,3
10,true,1,12,102,11,7,4,4
6,true,1,47,142,50,4,10,2
9,true,1,35,108,28,10,7,3
6,true,1,39,101,10,8,3,4
6,true,0,125,23,8,43,4,10
4,true,1,6,122,64,1,10,1
14,true,1,85,103,15,3,4,1
4,true,0,101,15,9,27,3,4
12,true,0,112,83,8,29,3,7
5,true,0,107,64,2,13,1,4
6,true,0,112,53,6,51,2,10
8,true,0,115,27,6,25,3,7
10,true,1,86,107,38,9,6,4
9,true,1,73,102,31,3,7,1
6,true,0,119,53,0,21,0,3
7,true,0,115,42,9,39,3,7
5,true,1,20,102,13,8,4,4
12,true,0,108,68,4,24,1,7
10,true,0,102,86,7,37,3,10
9,true,0,104,53,9,19,4,5
10,true,0,109,95,7,17,3,4
7,true,1,50,122,25,2,7,1
10,true,0,136,98,5,52,3,10
13,true,0,101,91,7,17,4,7
13,true,1,99,122,54,10,10,4
9,true,0,110,54,9,21,4,7
8,true,1,50,122,34,1,10,1
8,true,0,122,69,9,33,4,7
7,true,0,109,30,6,41,3,7
8,true,0,107,92,5,20,2,4
9,true,0,115,30,3,46,1,7
14,true,1,32,120,40,4,10,1
