RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,63,117,28,1,7,1
6,true,1,75,106,21,0,3,0
6,true,1,26,105,50,8,7,4
7,true,1,11,113,22,8,7,4
7,true,1,43,114,30,10,6,4
9,true,1,36,101,12,9,4,2
6,true,1,56,125,44,10,7,4
8,true,0,126,70,0,13,0,4
7,true,1,90,131,78,7,10,3
4,true,1,10,115,37,7,6,4
6,true,1,3,134,46,6,7,3
9,true,1,60,101,20,8,2,4
5,true,0,123,88,2,65,1,10
7,true,1,42,104,23,10,4,4
9,true,0,118,75,10,35,4,6
6,true,0,106,42,3,22,1,7
6,true,1,59,101,35,3,7,1
5,true,0,103,82,1,12,1,4
3,true,0,118,18,9,35,4,7
7,true,1,48,110,43,5,7,3
8,true,1,64,100,11,5,4,2
2,true,1,39,111,54,0,10,0
6,true,1,30,101,28,7,7,3
8,true,0,103,76,8,22,3,7
4,true,1,4,108,55,8,10,3
7,true,1,68,121,36,6,7,4
8,true,0,108,92,8,18,2,4
9,true,1,79,100,44,10,10,3
9,true,1,68,120,34,9,7,4
6,true,1,28,123,45,10,7,4
9,true,1,68,152,70,10,10,4
6,true,0,158,90,0,48,0,10
7,true,1,91,106,17,10,4,4
4,true,1,28,102,31,0,6,0
6,true,1,19,116,32,10,6,3
10,true,1,56,136,21,0,7,0
4,true,0,112,13,0,15,0,6
3,true,1,0,121,47,10,10,4
8,true,1,88,112,31,9,7,4
3,true,1,27,125,52,8,10,3
5,true,1,22,115,38,7,7,3
7,true,1,36,126,41,9,10,3
9,true,0,119,90,0,28,0,7
3,true,1,40,120,45,5,6,2
7,true,1,26,112,37,9,7,3
5,true,1,34,151,67,9,10,4
10,true,1,89,101,19,8,3,4
9,true,0,106,35,4,17,3,5
5,true,1,54,131,46,9,7,4
10,true,0,103,45,5,11,2,5
10,true,1,62,115,23,6,7,3
4,true,1,16,105,49,9,7,3
4,true,1,11,111,20,8,3,4
7,true,0,108,58,10,30,3,7
10,true,0,123,72,9,64,4,10
4,true,0,103,69,1,16,1,7
7,true,1,75,123,58,10,10,3
2,true,1,0,114,31,6,7,3
10,true,0,101,82,8,29,3,10
5,true,0,130,74,0,47,0,10
6,true,1,64,113,28,10,4,4
3,true,0,119,42,0,57,0,10
6,true,0,126,35,8,44,4,7
6,true,1,50,107,39,10,7,4
5,true,1,5,106,27,5,6,2
6,true,0,116,76,9,31,4,6
7,true,0,129,53,6,44,3,10
7,true,1,27,126,39,3,7,1
13,true,0,103,93,7,15,3,5
4,true,1,82,114,66,9,10,4
15,true,1,98,126,36,7,6,3
6,true,1,70,122,36,9,7,3
8,true,1,59,117,30,2,7,1
7,true,0,101,42,4,16,2,4
2,true,1,0,132,48,10,7,4
2,true,1,0,127,51,5,7,4
3,true,0,103,0,2,34,1,7
9,true,1,77,135,47,7,10,3
2,true,0,103,25,0,14,0,4
4,true,0,108,43,10,65,3,10
3,true,1,0,136,50,10,7,4
9,true,1,96,110,22,8,6,3
5,true,0,112,95,0,39,0,10
6,true,0,105,68,3,18,1,6
8,true,0,111,97,6,18,2,5
4,true,1,47,115,22,1,7,1
6,true,0,115,79,8,25,3,7
7,true,1,35,110,47,9,7,4
13,true,0,118,63,1,25,1,7
5,true,1,10,128,52,10,7,4
8,true,0,116,83,0,29,0,7
3,true,0,103,14,0,21,0,6
9,true,0,104,84,3,38,1,7
4,true,1,0,122,51,9,10,3
2,true,0,111,13,9,54,3,10
9,true,1,96,110,31,7,6,2
9,true,1,41,117,42,6,6,4
6,true,0,104,65,7,14,3,6
6,true,1,22,114,42,8,7,3
8,true,1,68,106,21,10,5,4
