RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,1,38,108,23,8,7,3
8,true,0,121,27,7,37,1,7
4,true,0,112,24,0,29,0,6
9,true,0,104,61,10,26,3,6
9,true,1,56,111,30,2,7,1
13,true,0,134,93,0,15,0,3
7,true,1,85,110,23,9,6,4
9,true,1,63,102,23,7,7,3
8,true,0,100,97,1,31,1,7
13,true,1,29,110,33,10,7,4
10,true,0,105,31,9,22,4,4
7,true,0,113,15,10,37,3,7
9,true,0,109,44,7,33,3,7
6,true,1,95,109,32,1,7,1
9,true,0,104,38,8,32,4,7
6,true,1,12,106,25,7,4,2
10,true,0,103,98,9,31,3,7
9,true,1,66,116,27,10,7,4
10,true,0,105,58,8,28,3,6
13,true,1,96,107,23,9,6,3
8,true,1,67,128,60,10,10,3
3,true,0,106,4,7,63,1,10
8,true,1,61,106,34,6,7,2
8,true,0,117,74,8,26,4,7
13,true,1,97,139,52,10,10,3
12,true,1,56,121,23,1,7,1
5,true,0,112,31,7,25,2,4
7,true,1,75,121,47,8,10,3
13,true,1,71,124,33,6,7,4
5,true,0,107,18,4,12,1,4
10,true,1,95,108,19,8,6,4
13,true,1,51,108,33,10,7,4
5,true,1,17,130,60,6,10,4
16,true,1,68,137,47,9,10,4
3,true,1,0,103,53,9,10,4
6,true,0,108,51,4,41,3,7
12,true,0,111,93,6,18,3,6
14,true,1,38,152,66,10,10,4
13,true,0,151,50,1,59,1,10
10,true,1,74,101,18,5,3,2
10,true,0,109,52,8,25,4,6
5,true,1,21,111,20,0,7,0
8,true,1,80,103,43,10,7,4
7,true,0,110,39,9,21,4,4
12,true,1,99,103,44,9,10,3
7,true,0,103,45,10,31,3,7
9,true,0,100,66,7,14,3,4
9,true,0,134,61,9,44,4,7
11,true,0,102,76,10,27,3,7
1,true,0,100,0,10,66,3,10
10,true,0,103,24,7,34,3,7
8,true,1,38,134,47,10,10,3
10,true,0,101,40,9,12,3,4
4,true,0,116,14,7,28,3,7
12,true,1,52,105,13,6,4,4
5,true,1,26,105,42,6,7,3
12,true,0,100,51,7,47,3,7
4,true,0,117,10,6,29,4,7
10,true,0,101,60,7,11,3,3
10,true,1,81,102,31,8,7,4
11,true,0,119,59,3,30,1,7
11,true,0,108,79,10,26,4,7
4,true,0,108,42,6,41,2,7
11,true,1,40,125,11,0,3,0
7,true,0,102,22,6,22,3,7
10,true,0,114,49,9,25,3,7
7,true,0,111,12,8,28,3,7
8,true,0,103,61,6,13,1,4
10,true,1,45,118,26,7,7,4
7,true,1,61,123,35,6,7,3
7,true,0,109,36,7,19,3,4
9,true,0,135,65,8,53,4,10
7,true,1,46,112,37,8,7,3
5,true,0,102,9,7,14,3,4
15,true,0,125,94,0,11,0,4
6,true,0,119,50,5,26,3,7
8,true,0,102,52,1,53,1,10
7,true,0,114,22,9,68,4,10
10,true,0,109,80,10,31,4,7
10,true,1,51,122,17,0,6,0
7,true,0,136,38,5,56,2,7
11,true,0,121,96,7,61,2,10
15,true,1,90,101,16,1,7,1
6,true,0,111,70,8,56,1,10
8,true,1,47,126,51,8,10,4
8,true,0,104,35,10,30,3,7
8,true,1,72,113,24,1,4,1
5,true,0,108,10,1,13,1,4
9,true,1,92,101,31,9,7,3
7,true,0,120,55,1,27,1,7
5,true,1,15,100,13,9,3,3
13,true,1,88,116,29,9,7,3
7,true,1,96,110,53,10,10,4
5,true,1,17,100,25,9,7,4
7,true,1,45,119,31,10,7,3
8,true,0,105,51,7,27,4,7
5,true,0,142,3,10,62,3,10
6,true,0,100,13,7,12,3,4
10,true,0,122,82,9,32,3,7
6,true,1,18,102,13,9,3,4
8,true,0,106,46,9,34,3,6
11,true,0,101,56,5,32,3,7
9,true,1,93,120,60,9,10,1
7,true,1,11,104,29,8,7,4
9,true,0,124,81,6,43,3,10
7,true,1,3,103,13,3,4,1
11,true,0,106,90,2,22,2,7
6,true,1,12,102,13,10,3,3
9,true,1,79,130,17,0,6,0
8,true,1,43,128,52,10,7,3
9,true,0,106,58,8,33,3,7
12,true,1,61,100,31,6,7,3
11,true,1,73,125,43,10,7,4
5,true,1,28,127,55,1,10,1
8,true,1,41,129,54,9,10,4
16,true,0,106,99,6,37,4,6
12,true,1,80,142,52,9,10,3
7,true,1,47,128,55,10,10,3
10,true,1,91,104,33,9,7,2
13,true,0,109,91,9,40,4,7
6,true,0,105,33,9,35,3,7
7,true,1,52,108,46,6,10,3
11,true,1,82,112,32,6,7,3
9,true,1,22,102,32,7,7,3
12,true,0,104,98,8,13,4,6
6,true,1,4,102,51,9,10,3
8,true,0,114,32,10,38,3,7
2,true,0,103,0,0,43,0,7
5,true,0,116,4,0,21,0,7
9,true,1,19,119,35,10,6,3
12,true,0,131,81,0,15,0,6
8,true,0,114,34,9,53,4,10
12,true,0,103,82,3,18,1,4
6,true,1,24,134,47,10,7,4
6,true,1,9,111,42,10,7,4
14,true,0,114,84,7,25,3,6
10,true,0,103,98,2,14,1,4
4,true,0,132,0,4,46,1,7
9,true,1,37,103,37,7,6,3
4,true,0,121,0,9,61,4,10
12,true,1,59,102,20,1,4,1
12,true,1,75,102,25,10,7,4
11,true,1,39,117,33,8,7,3
4,true,0,155,0,8,64,4,10
9,true,0,119,48,8,33,3,7
6,true,1,92,103,11,2,3,1
10,true,0,113,98,10,28,3,6
7,true,1,25,130,46,7,10,3
10,true,1,96,109,56,9,10,4
4,true,1,0,114,51,2,10,1
3,true,0,104,36,8,55,4,7
8,true,0,118,52,3,28,1,7
11,true,1,74,100,33,8,7,4
7,true,0,101,42,8,21,3,6
10,true,1,28,154,60,3,10,1
5,true,1,40,116,28,6,7,4
13,true,0,108,88,9,18,4,7
7,true,1,89,126,37,8,7,4
8,true,1,25,102,43,10,7,4
5,true,1,31,106,20,7,6,3
6,true,1,15,100,17,2,6,1
10,true,0,135,80,7,47,3,10
10,true,0,106,79,6,40,4,10
6,true,1,9,143,57,10,10,3
5,true,1,23,122,32,4,7,3
3,true,1,0,124,50,4,10,2
10,true,0,118,43,8,27,4,7
13,true,0,129,87,8,48,4,10
4,true,0,108,0,8,21,3,6
4,true,1,31,130,53,10,10,4
6,true,1,54,101,33,6,7,4
13,true,0,101,82,8,11,4,4
9,true,0,100,68,9,25,3,6
7,true,0,130,7,10,72,3,10
3,true,0,104,0,10,26,4,7
16,true,0,115,77,10,27,3,7
12,true,1,89,106,19,9,4,4
12,true,1,81,101,24,9,7,3
8,true,0,135,21,9,56,4,10
8,true,0,139,48,6,65,2,10
9,true,1,61,113,34,7,7,3
8,true,1,23,125,22,0,4,0
7,true,1,85,100,12,3,3,1
6,true,0,101,31,8,15,2,4
8,true,0,107,90,9,29,4,7
10,true,0,103,64,8,37,4,7
8,true,1,17,109,27,6,7,3
13,true,0,111,77,10,31,4,7
9,true,1,55,122,28,1,7,1
11,true,0,116,89,10,27,4,7
7,true,0,115,16,9,27,3,7
6,true,1,39,107,27,4,7,3
9,true,1,66,103,20,9,4,4
4,true,0,112,0,10,27,4,7
10,true,1,78,110,26,8,7,4
11,true,1,72,105,23,9,7,4
12,true,0,103,90,10,27,4,7
10,true,0,105,44,10,21,3,4
8,true,0,102,52,9,18,4,3
10,true,1,54,116,38,9,7,4
