RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,0,121,59,7,29,4,6
6,true,1,18,112,16,3,4,2
6,true,1,83,112,24,10,4,4
9,true,1,34,136,50,6,7,4
3,true,1,0,103,20,5,7,2
4,true,1,12,114,33,5,7,3
8,true,1,68,157,63,4,10,1
6,true,1,32,104,57,9,10,4
10,true,1,79,118,29,9,7,3
7,true,1,55,119,50,9,7,4
6,true,1,53,117,34,8,6,3
6,true,0,127,10,9,57,4,10
5,true,1,37,110,49,8,10,2
9,true,1,50,111,26,10,7,4
4,true,1,0,107,35,9,7,4
4,true,0,149,39,0,76,0,10
6,true,0,101,23,9,22,3,6
4,true,1,0,101,22,6,7,4
7,true,0,119,56,7,58,3,10
7,true,0,107,85,10,33,4,6
3,true,1,0,124,60,8,10,2
8,true,0,132,61,1,62,1,10
6,true,1,69,119,41,8,7,4
7,true,1,55,107,53,8,10,4
12,true,1,89,151,52,0,10,0
9,true,0,132,66,7,44,3,7
5,true,1,36,104,26,10,6,2
5,true,0,120,17,10,33,3,7
7,true,0,106,31,10,34,4,7
3,true,0,103,0,3,11,1,4
4,true,1,15,110,27,8,4,4
7,true,1,71,101,16,10,3,4
6,true,1,58,108,37,10,6,3
15,true,1,85,111,25,2,7,1
6,true,1,7,111,42,10,7,3
6,true,1,15,102,28,9,7,3
5,true,0,119,39,2,53,1,7
4,true,1,0,101,44,10,7,4
8,true,1,86,118,35,7,7,3
4,true,1,0,111,20,2,4,1
10,true,0,114,82,8,50,3,10
11,true,0,109,89,6,18,3,3
4,true,0,111,29,6,54,4,10
4,true,1,0,105,24,9,7,3
5,true,1,54,110,63,6,10,3
7,true,1,86,111,21,4,7,3
5,true,0,102,5,4,45,1,10
6,true,0,113,81,8,43,3,7
5,true,0,101,53,9,43,1,7
4,true,0,103,19,10,41,3,7
