Game,Rounds,P0 Score,P1 Score,Winner
0,12,28,106,1
1,11,117,26,0
2,13,124,74,0
3,7,10,108,1
4,10,63,117,1
5,19,104,65,0
6,13,54,105,1
7,9,125,82,0
8,8,55,117,1
9,2,0,100,1
10,7,7,146,1
11,7,41,110,1
12,11,113,39,0
13,7,107,3,0
14,8,107,27,0
15,10,106,88,0
16,6,106,39,0
17,5,45,118,1
18,5,101,32,0
19,8,104,60,0
20,8,96,108,1
21,9,124,36,0
22,7,77,119,1
23,11,99,109,1
24,13,84,118,1
25,9,114,52,0
26,9,129,83,0
27,5,0,116,1
28,10,101,26,0
29,12,101,29,0
30,10,108,81,0
31,12,103,90,0
32,9,99,126,1
33,7,47,108,1
34,7,107,55,0
35,11,103,82,0
36,13,41,117,1
37,10,92,111,1
38,8,76,120,1
39,6,107,21,0
40,7,51,139,1
41,7,121,48,0
42,6,102,50,0
43,6,108,6,0
44,11,59,109,1
45,7,0,112,1
46,9,107,97,0
47,13,107,53,0
48,14,90,105,1
49,10,80,123,1
