Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,43.0,74.0,1.24643E-4,0.014038718
0,0,1,37.0,74.0,1.23529E-4,0.012254165
0,0,2,25.0,44.0,2.08222E-4,0.01329043
0,0,3,25.0,38.0,1.71515E-4,0.011527993
0,0,4,25.0,35.0,1.65789E-4,0.014715488
0,0,5,24.0,35.0,1.70813E-4,0.01130806
0,0,6,24.0,32.0,1.72432E-4,0.011278798
0,0,7,24.0,27.0,2.19573E-4,0.011748989
0,0,8,23.0,27.0,2.40438E-4,0.007202948
0,0,9,23.0,23.0,1.73176E-4,0.013086125
0,0,10,5.0,0.0,4.22916E-4,0.0
0,1,0,46.0,39.0,1.0188E-4,0.014427951
0,1,1,46.0,39.0,1.08909E-4,0.017213446
0,1,2,18.0,39.0,2.40972E-4,0.022554896
0,1,3,18.0,39.0,1.41472E-4,0.016023432
0,1,4,18.0,39.0,1.63722E-4,0.017484098
0,1,5,17.0,17.0,1.63638E-4,0.017313541
0,1,6,0.0,2.0,0.0,0.00799215
0,2,0,60.0,76.0,9.921E-5,0.016384416
0,2,1,59.0,52.0,9.3656E-5,0.014201299
0,2,2,54.0,22.0,1.15616E-4,0.013188076
0,2,3,47.0,21.0,1.01709E-4,0.012125861
0,2,4,46.0,18.0,9.4074E-5,0.013956344
0,2,5,46.0,18.0,9.8838E-5,0.012850481
0,2,6,40.0,14.0,9.8392E-5,0.011802469
0,2,7,38.0,14.0,9.3369E-5,0.016336832
0,2,8,37.0,9.0,1.04004E-4,0.010065381
0,3,0,38.0,47.0,9.8222E-5,0.014455268
0,3,1,29.0,38.0,1.08929E-4,0.013847066
0,3,2,29.0,31.0,1.02032E-4,0.013115004
0,3,3,25.0,31.0,9.6513E-5,0.007258735
0,3,4,25.0,27.0,9.3827E-5,0.005497235
0,3,5,19.0,27.0,9.9312E-5,0.011658375
0,3,6,14.0,27.0,1.1423E-4,0.012791738
0,3,7,14.0,27.0,1.33381E-4,0.014078895
0,3,8,7.0,24.0,1.4931E-4,0.014400093
0,4,0,30.0,38.0,1.00831E-4,0.013951325
0,4,1,30.0,38.0,9.6723E-5,0.012048707
0,4,2,22.0,31.0,1.10566E-4,0.011490882
0,4,3,20.0,25.0,1.33521E-4,0.011330848
0,4,4,14.0,19.0,1.27478E-4,0.011501246
0,4,5,9.0,0.0,1.59662E-4,0.0
0,5,0,40.0,30.0,9.2379E-5,0.014331175
0,5,1,15.0,29.0,1.24333E-4,0.014401544
0,5,2,15.0,28.0,1.35249E-4,0.021954298
0,5,3,15.0,26.0,1.27172E-4,0.020183202
0,5,4,15.0,26.0,1.26442E-4,0.019593963
0,5,5,15.0,22.0,1.67646E-4,0.019152057
0,5,6,15.0,20.0,1.31482E-4,0.016316965
0,5,7,13.0,20.0,1.28974E-4,0.015050016
0,5,8,13.0,20.0,1.29588E-4,0.013697413
0,5,9,12.0,20.0,1.29329E-4,0.013088657
0,5,10,12.0,20.0,1.28225E-4,0.014093167
0,5,11,10.0,20.0,1.30607E-4,0.008335989
0,6,0,57.0,55.0,1.17203E-4,0.013337815
0,6,1,54.0,50.0,9.3419E-5,0.013516302
0,6,2,46.0,46.0,9.6906E-5,0.013437317
0,6,3,36.0,46.0,1.08955E-4,0.013812888
0,6,4,36.0,27.0,1.17757E-4,0.010438959
0,6,5,28.0,19.0,1.16305E-4,0.012182105
0,6,6,28.0,19.0,3.5762E-4,0.006495999
0,6,7,24.0,9.0,1.25664E-4,0.013216763
0,7,0,59.0,37.0,1.4665E-4,0.011936429
0,7,1,59.0,37.0,9.0027E-5,0.012870678
0,7,2,59.0,31.0,1.00731E-4,0.014471326
0,7,3,57.0,23.0,9.3471E-5,0.011630066
0,7,4,50.0,23.0,9.9777E-5,0.01781457
0,7,5,47.0,23.0,1.0043E-4,0.013815992
0,7,6,27.0,23.0,1.23425E-4,0.007445356
0,7,7,24.0,23.0,1.45207E-4,0.01056108
0,7,8,23.0,17.0,1.71634E-4,0.015112241
0,7,9,23.0,13.0,1.22384E-4,0.022717624
0,7,10,23.0,13.0,1.11295E-4,0.015987465
