Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,19,0,0,9,19,0,8,27
0,1,19,29,1,6,0,29,38,9
0,2,37,29,0,4,18,0,10,28
0,3,37,48,1,7,0,19,23,4
0,4,48,48,0,5,11,0,10,21
0,5,64,48,0,5,16,0,2,18
0,6,100,48,0,3,36,0,8,44
1,0,0,31,1,6,0,31,39,8
1,1,2,31,0,7,2,0,9,11
1,2,8,31,0,9,6,0,6,12
1,3,8,38,1,6,0,7,15,8
1,4,8,46,1,6,0,8,16,8
1,5,8,56,1,7,0,10,18,8
1,6,69,56,0,3,61,0,1,62
1,7,69,73,1,5,0,17,20,3
1,8,69,81,1,6,0,8,16,8
1,9,84,81,0,5,15,0,9,24
1,10,97,81,0,5,13,0,9,22
1,11,129,81,0,7,32,0,10,42
2,0,26,0,0,6,26,0,10,36
2,1,26,3,1,11,0,3,12,9
2,2,31,3,0,6,5,0,9,14
2,3,83,3,0,1,52,0,4,56
2,4,105,3,0,5,22,0,6,28
3,0,9,0,0,6,9,0,2,11
3,1,13,0,0,7,4,0,10,14
3,2,13,28,1,4,0,28,30,2
3,3,20,28,0,9,7,0,10,17
3,4,31,28,0,10,11,0,4,15
3,5,31,61,1,3,0,33,40,7
3,6,31,64,1,9,0,3,13,10
3,7,38,64,0,9,7,0,8,15
3,8,38,68,1,9,0,4,14,10
3,9,38,79,1,6,0,11,14,3
3,10,38,102,1,6,0,23,32,9
4,0,24,0,0,3,24,0,5,29
4,1,24,53,1,3,0,53,62,9
4,2,24,70,1,6,0,17,25,8
4,3,24,80,1,7,0,10,20,10
4,4,24,87,1,10,0,7,16,9
4,5,24,100,1,9,0,13,14,1
5,0,13,0,0,10,13,0,7,20
5,1,13,25,1,8,0,25,28,3
5,2,13,31,1,4,0,6,16,10
5,3,27,31,0,12,14,0,10,24
5,4,27,49,1,7,0,18,28,10
5,5,50,49,0,9,23,0,8,31
5,6,73,49,0,6,23,0,4,27
5,7,97,49,0,4,24,0,10,34
5,8,105,49,0,11,8,0,9,17
6,0,7,0,0,11,7,0,7,14
6,1,20,0,0,7,13,0,4,17
6,2,20,28,1,5,0,28,35,7
6,3,20,49,1,6,0,21,31,10
6,4,20,61,1,10,0,12,14,2
6,5,56,61,0,6,36,0,0,11
6,6,69,61,0,8,13,0,7,20
6,7,69,71,1,9,0,10,19,9
6,8,69,128,1,5,0,57,67,10
7,0,3,0,0,5,3,0,10,13
7,1,3,7,1,9,0,7,15,8
7,2,30,7,0,3,27,0,6,33
7,3,40,7,0,6,10,0,5,15
7,4,56,7,0,7,16,0,10,26
7,5,56,34,1,4,0,27,34,7
7,6,73,34,0,9,17,0,8,25
7,7,73,36,1,9,0,2,11,9
7,8,73,101,1,7,0,65,40,0
8,0,9,0,0,7,9,0,7,16
8,1,9,7,1,11,0,7,15,8
8,2,9,33,1,2,0,26,36,10
8,3,37,33,0,9,28,0,8,36
8,4,75,33,0,11,38,0,5,43
8,5,97,33,0,2,22,0,5,27
8,6,97,82,1,5,0,49,58,9
8,7,117,82,0,7,20,0,8,28
9,0,0,20,1,7,0,20,29,9
9,1,0,28,1,9,0,8,16,8
9,2,8,28,0,14,8,0,7,15
9,3,56,28,0,5,48,0,7,55
9,4,65,28,0,5,9,0,10,19
9,5,68,28,0,8,3,0,8,11
9,6,68,53,1,3,0,25,35,10
9,7,68,66,1,9,0,13,21,8
9,8,68,70,1,7,0,4,13,9
9,9,68,81,1,11,0,11,21,10
9,10,96,81,0,8,28,0,6,34
9,11,110,81,0,8,14,0,8,22
10,0,37,0,0,3,37,0,1,38
10,1,37,31,1,5,0,31,33,2
10,2,37,44,1,9,0,13,14,1
10,3,37,81,1,5,0,37,46,9
10,4,37,89,1,10,0,8,16,8
10,5,37,115,1,8,0,26,27,1
11,0,0,34,1,7,0,34,41,7
11,1,33,34,0,3,33,0,10,43
11,2,42,34,0,7,9,0,10,19
11,3,42,44,1,5,0,10,18,8
11,4,62,44,0,6,20,0,10,30
11,5,62,45,1,6,0,1,11,10
11,6,73,45,0,4,11,0,9,20
11,7,73,54,1,8,0,9,16,7
11,8,73,55,1,6,0,1,11,10
11,9,73,89,1,4,0,34,38,4
11,10,79,89,0,7,6,0,7,13
11,11,79,95,1,10,0,6,11,5
11,12,79,113,1,9,0,18,27,9
12,0,10,0,0,8,10,0,6,16
12,1,23,0,0,14,13,0,10,23
12,2,23,34,1,5,0,34,43,9
12,3,34,34,0,13,11,0,6,17
12,4,52,34,0,4,18,0,10,28
12,5,52,91,1,2,0,57,67,10
12,6,74,91,0,8,22,0,8,30
12,7,110,91,0,4,36,0,9,45
13,0,60,0,0,3,60,0,5,65
13,1,76,0,0,9,16,0,9,25
13,2,76,22,1,2,0,22,29,7
13,3,76,80,1,1,0,58,68,10
13,4,76,91,1,10,0,11,19,8
13,5,76,97,1,12,0,6,13,7
13,6,76,108,1,4,0,11,21,10
14,0,0,14,1,4,0,14,20,6
14,1,4,14,0,10,4,0,8,12
14,2,12,14,0,10,8,0,4,12
14,3,16,14,0,13,4,0,8,12
14,4,43,14,0,10,27,0,2,29
14,5,43,44,1,8,0,30,37,7
14,6,53,44,0,10,10,0,7,17
14,7,53,82,1,3,0,38,13,0
14,8,53,137,1,1,0,55,63,8
15,0,0,16,1,6,0,16,26,10
15,1,22,16,0,5,22,0,3,25
15,2,28,16,0,11,6,0,9,15
15,3,28,37,1,3,0,21,29,8
15,4,28,53,1,5,0,16,24,8
15,5,39,53,0,12,11,0,7,18
15,6,42,53,0,7,3,0,8,11
15,7,81,53,0,7,39,0,2,41
15,8,81,64,1,11,0,11,13,2
15,9,89,64,0,5,8,0,10,18
15,10,91,64,0,9,2,0,9,11
15,11,91,78,1,8,0,14,16,2
15,12,105,78,0,3,14,0,10,24
16,0,0,31,1,3,0,31,37,6
16,1,0,41,1,6,0,10,18,8
16,2,24,41,0,6,24,0,6,30
16,3,58,41,0,3,34,0,9,43
16,4,58,44,1,10,0,3,12,9
16,5,58,50,1,8,0,6,15,9
16,6,58,61,1,10,0,11,20,9
16,7,58,70,1,6,0,9,19,10
16,8,58,77,1,7,0,7,13,6
16,9,58,92,1,7,0,15,25,10
16,10,58,99,1,11,0,7,14,7
16,11,58,120,1,8,0,21,24,3
17,0,16,0,0,6,16,0,9,25
17,1,16,27,1,4,0,27,34,7
17,2,27,27,0,11,11,0,1,12
17,3,56,27,0,6,29,0,4,33
17,4,77,27,0,7,21,0,6,27
17,5,87,27,0,6,10,0,5,15
17,6,87,39,1,10,0,12,22,10
17,7,103,39,0,5,16,0,8,24
18,0,0,7,1,8,0,7,14,7
18,1,16,7,0,7,16,0,8,24
18,2,29,7,0,10,13,0,10,23
18,3,29,17,1,6,0,10,12,2
18,4,29,34,1,7,0,17,26,9
18,5,62,34,0,3,33,0,6,39
18,6,62,36,1,9,0,2,11,9
18,7,98,36,0,8,36,0,6,42
18,8,104,36,0,5,6,0,6,12
19,0,0,14,1,8,0,14,23,9
19,1,0,70,1,5,0,56,65,9
19,2,15,70,0,6,15,0,7,22
19,3,18,70,0,7,3,0,9,12
19,4,59,70,0,3,41,0,10,51
19,5,59,132,1,5,0,62,72,10
20,0,0,11,1,8,0,11,12,1
20,1,0,18,1,7,0,7,15,8
20,2,10,18,0,10,10,0,9,19
20,3,17,18,0,8,7,0,6,13
20,4,33,18,0,6,16,0,8,24
20,5,33,34,1,5,0,16,26,10
20,6,43,34,0,6,10,0,3,13
20,7,60,34,0,7,17,0,8,25
20,8,90,34,0,9,30,0,6,36
20,9,129,34,0,6,39,0,10,49
21,0,0,15,1,8,0,15,24,9
21,1,2,15,0,6,2,0,10,12
21,2,14,15,0,8,12,0,10,22
21,3,33,15,0,6,19,0,5,24
21,4,52,15,0,8,19,0,9,28
21,5,52,56,1,1,0,41,51,10
21,6,52,56,null,14,0,0,11,33
21,7,59,56,0,7,7,0,8,15
21,8,97,56,0,3,38,0,5,43
21,9,97,59,1,7,0,3,11,8
21,10,117,59,0,5,20,0,10,30
22,0,25,0,0,8,25,0,8,33
22,1,25,45,1,3,0,45,47,2
22,2,51,45,0,3,26,0,9,35
22,3,83,45,0,1,32,0,1,33
22,4,92,45,0,5,9,0,7,16
22,5,105,45,0,6,13,0,3,16
23,0,0,40,1,7,0,40,44,4
23,1,0,94,1,3,0,54,29,0
23,2,34,94,0,6,34,0,6,40
23,3,34,114,1,6,0,20,30,10
24,0,0,4,1,11,0,4,13,9
24,1,0,22,1,4,0,18,26,8
24,2,0,29,1,9,0,7,12,5
24,3,55,29,0,3,55,0,3,58
24,4,55,41,1,9,0,12,20,8
24,5,55,57,1,8,0,16,21,5
24,6,66,57,0,7,11,0,7,18
24,7,87,57,0,8,21,0,1,22
24,8,90,57,0,8,3,0,8,11
24,9,90,78,1,8,0,21,23,2
24,10,90,92,1,5,0,14,15,1
24,11,106,92,0,4,16,0,10,26
25,0,53,0,0,6,53,0,0,28
25,1,53,8,1,6,0,8,18,10
25,2,63,8,0,7,10,0,1,11
25,3,78,8,0,8,15,0,9,24
25,4,84,8,0,6,6,0,9,15
25,5,113,8,0,3,29,0,9,38
26,0,0,32,1,7,0,32,41,9
26,1,8,32,0,8,8,0,5,13
26,2,25,32,0,9,17,0,8,25
26,3,73,32,0,4,48,0,4,52
26,4,73,40,1,6,0,8,14,6
26,5,73,80,1,7,0,40,15,0
26,6,88,80,0,10,15,0,6,21
26,7,88,93,1,8,0,13,19,6
26,8,109,93,0,9,21,0,8,29
27,0,39,0,0,7,39,0,0,14
27,1,63,0,0,4,24,0,3,27
27,2,63,9,1,6,0,9,14,5
27,3,76,9,0,7,13,0,10,23
27,4,76,13,1,7,0,4,11,7
27,5,89,13,0,8,13,0,8,21
27,6,89,25,1,10,0,12,20,8
27,7,89,42,1,7,0,17,23,6
27,8,95,42,0,9,6,0,10,16
27,9,95,52,1,4,0,10,19,9
27,10,95,56,1,4,0,4,14,10
27,11,118,56,0,6,23,0,2,25
28,0,15,0,0,5,15,0,9,24
28,1,42,0,0,3,27,0,8,35
28,2,42,0,null,14,0,0,20,13
28,3,42,61,1,4,0,61,65,4
28,4,42,77,1,9,0,16,23,7
28,5,68,77,0,4,26,0,2,28
28,6,68,113,1,3,0,36,44,8
29,0,9,0,0,8,9,0,7,16
29,1,9,2,1,11,0,2,11,9
29,2,21,2,0,7,12,0,2,14
29,3,21,50,1,4,0,48,54,6
29,4,21,81,1,8,0,31,40,9
29,5,34,81,0,7,13,0,10,23
29,6,34,118,1,3,0,37,46,9
30,0,0,16,1,5,0,16,23,7
30,1,17,16,0,7,17,0,10,27
30,2,17,38,1,3,0,22,30,8
30,3,17,47,1,16,0,9,16,7
30,4,52,47,0,4,35,0,8,43
30,5,66,47,0,6,14,0,10,24
30,6,71,47,0,10,5,0,8,13
30,7,92,47,0,9,21,0,8,29
30,8,94,47,0,7,2,0,10,12
30,9,102,47,0,12,8,0,9,17
31,0,0,19,1,4,0,19,27,8
31,1,0,27,1,6,0,8,17,9
31,2,33,27,0,5,33,0,7,40
31,3,33,58,1,2,0,31,40,9
31,4,33,68,1,7,0,10,20,10
31,5,33,76,1,6,0,8,16,8
31,6,42,76,0,11,9,0,8,17
31,7,87,76,0,1,45,0,8,53
31,8,87,93,1,2,0,17,25,8
31,9,107,93,0,6,20,0,1,21
32,0,0,24,1,5,0,24,34,10
32,1,16,24,0,13,16,0,2,18
32,2,16,29,1,7,0,5,14,9
32,3,31,29,0,4,15,0,1,16
32,4,77,29,0,7,46,0,7,53
32,5,83,29,0,6,6,0,7,13
32,6,105,29,0,3,22,0,9,31
33,0,0,4,1,10,0,4,11,7
33,1,0,9,1,9,0,5,14,9
33,2,23,9,0,5,23,0,9,32
33,3,23,42,1,3,0,33,39,6
33,4,23,49,1,16,0,7,13,6
33,5,23,55,1,9,0,6,11,5
33,6,41,55,0,8,18,0,10,28
33,7,55,55,0,6,14,0,6,20
33,8,69,55,0,9,14,0,8,22
33,9,69,72,1,7,0,17,21,4
33,10,69,95,1,6,0,23,33,10
33,11,77,95,0,6,8,0,10,18
33,12,77,144,1,7,0,49,52,3
34,0,8,0,0,7,8,0,10,18
34,1,8,13,1,6,0,13,16,3
34,2,8,18,1,7,0,5,12,7
34,3,8,34,1,4,0,16,23,7
34,4,34,34,0,4,26,0,4,30
34,5,54,34,0,8,20,0,9,29
34,6,54,37,1,13,0,3,11,8
34,7,64,37,0,4,10,0,10,20
34,8,76,37,0,8,12,0,6,18
34,9,94,37,0,7,18,0,9,27
34,10,99,37,0,5,5,0,9,14
34,11,126,37,0,4,27,0,10,37
35,0,36,0,0,5,36,0,9,45
35,1,37,0,0,8,1,0,10,11
35,2,56,0,0,8,19,0,9,28
35,3,90,0,0,6,34,0,2,36
35,4,90,15,1,5,0,15,24,9
35,5,90,42,1,7,0,27,34,7
35,6,90,92,1,6,0,50,60,10
35,7,90,102,1,9,0,10,19,9
36,0,18,0,0,9,18,0,4,22
36,1,21,0,0,14,3,0,8,11
36,2,21,20,1,8,0,20,26,6
36,3,34,20,0,10,13,0,5,18
36,4,73,20,0,10,39,0,0,14
36,5,136,20,0,3,63,0,8,71
37,0,24,0,0,4,24,0,7,31
37,1,28,0,0,7,4,0,7,11
37,2,28,37,1,8,0,37,12,0
37,3,38,37,0,7,10,0,8,18
37,4,51,37,0,6,13,0,8,21
37,5,52,37,0,10,1,0,10,11
37,6,52,38,1,4,0,1,11,10
37,7,52,75,1,5,0,37,45,8
37,8,52,86,1,4,0,11,21,10
37,9,52,133,1,4,0,47,55,8
38,0,0,17,1,4,0,17,22,5
38,1,0,27,1,12,0,10,12,2
38,2,44,27,0,3,44,0,10,54
38,3,44,46,1,3,0,19,29,10
38,4,44,48,1,12,0,2,12,10
38,5,80,48,0,5,36,0,10,46
38,6,80,69,1,6,0,21,27,6
38,7,109,69,0,4,29,0,1,30
39,0,0,27,1,5,0,27,35,8
39,1,5,27,0,6,5,0,6,11
39,2,5,67,1,5,0,40,49,9
39,3,5,114,1,3,0,47,54,7
40,0,28,0,0,5,28,0,9,37
40,1,38,0,0,9,10,0,10,20
40,2,49,0,0,8,11,0,4,15
40,3,60,0,0,4,11,0,7,18
40,4,73,0,0,8,13,0,10,23
40,5,82,0,0,10,9,0,9,18
40,6,82,5,1,8,0,5,14,9
40,7,86,5,0,6,4,0,9,13
40,8,91,5,0,12,5,0,8,13
40,9,99,5,0,10,8,0,8,16
40,10,99,20,1,9,0,15,23,8
40,11,99,36,1,11,0,16,24,8
40,12,113,36,0,10,14,0,4,18
41,0,14,0,0,5,14,0,6,20
41,1,56,0,0,4,42,0,10,52
41,2,56,11,1,5,0,11,21,10
41,3,56,23,1,3,0,12,21,9
41,4,56,25,1,10,0,2,11,9
41,5,56,43,1,9,0,18,19,1
41,6,56,94,1,5,0,51,57,6
41,7,56,142,1,4,0,48,57,9
42,0,27,0,0,10,27,0,2,29
42,1,27,14,1,9,0,14,21,7
42,2,27,17,1,9,0,3,11,8
42,3,27,36,1,7,0,19,27,8
42,4,27,43,1,7,0,7,15,8
42,5,27,67,1,6,0,24,28,4
42,6,38,67,0,8,11,0,3,14
42,7,69,67,0,5,31,0,8,39
42,8,88,67,0,5,19,0,7,26
42,9,88,86,1,7,0,19,29,10
42,10,88,97,1,4,0,11,16,5
42,11,90,97,0,9,2,0,9,11
42,12,120,97,0,6,30,0,10,40
43,0,15,0,0,9,15,0,2,17
43,1,36,0,0,7,21,0,9,30
43,2,36,46,1,4,0,46,55,9
43,3,36,67,1,3,0,21,23,2
43,4,36,105,1,6,0,38,48,10
44,0,60,0,0,4,60,0,6,66
44,1,67,0,0,6,7,0,9,16
44,2,108,0,0,5,41,0,5,46
45,0,0,21,1,7,0,21,23,2
45,1,19,21,0,5,19,0,6,25
45,2,29,21,0,6,10,0,10,20
45,3,32,21,0,10,3,0,9,12
45,4,36,21,0,7,4,0,8,12
45,5,36,67,1,7,0,46,21,0
45,6,75,67,0,4,39,0,6,45
45,7,77,67,0,5,2,0,10,12
45,8,121,67,0,6,44,0,0,19
46,0,15,0,0,6,15,0,10,25
46,1,17,0,0,6,2,0,9,11
46,2,18,0,0,6,1,0,10,11
46,3,18,9,1,10,0,9,18,9
46,4,18,19,1,8,0,10,16,6
46,5,32,19,0,4,14,0,9,23
46,6,45,19,0,10,13,0,1,14
46,7,45,23,1,9,0,4,11,7
46,8,54,23,0,7,9,0,6,15
46,9,54,35,1,13,0,12,16,4
46,10,61,35,0,10,7,0,8,15
46,11,61,44,1,10,0,9,15,6
46,12,61,49,1,8,0,5,12,7
46,13,61,57,1,11,0,8,16,8
46,14,98,57,0,5,37,0,2,39
46,15,98,71,1,7,0,14,15,1
46,16,98,92,1,6,0,21,22,1
46,17,98,102,1,8,0,10,12,2
47,0,9,0,0,6,9,0,7,16
47,1,9,39,1,3,0,39,47,8
47,2,21,39,0,9,12,0,9,21
47,3,51,39,0,7,30,0,5,35
47,4,51,56,1,8,0,17,27,10
47,5,51,82,1,3,0,26,34,8
47,6,63,82,0,6,12,0,8,20
47,7,63,97,1,4,0,15,22,7
47,8,82,97,0,9,19,0,6,25
47,9,88,97,0,5,6,0,6,12
47,10,88,136,1,2,0,39,48,9
48,0,25,0,0,3,25,0,10,35
48,1,25,19,1,5,0,19,27,8
48,2,25,28,1,7,0,9,19,10
48,3,25,48,1,6,0,20,28,8
48,4,79,48,0,3,54,0,0,29
48,5,95,48,0,5,16,0,10,26
48,6,107,48,0,8,12,0,10,22
49,0,15,0,0,9,15,0,6,21
49,1,15,26,1,6,0,26,34,8
49,2,34,26,0,3,19,0,8,27
49,3,34,31,1,4,0,5,14,9
49,4,46,31,0,8,12,0,10,22
49,5,46,75,1,2,0,44,48,4
49,6,63,75,0,4,17,0,9,26
49,7,82,75,0,6,19,0,7,26
49,8,82,80,1,8,0,5,11,6
49,9,86,80,0,10,4,0,8,12
49,10,86,103,1,4,0,23,32,9
