Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,60.0,58.0,1.064291312,2.34149E-4
0,0,1,53.0,58.0,0.670447594,1.88962E-4
0,0,2,53.0,29.0,0.541351089,1.61916E-4
0,0,3,53.0,27.0,0.460421748,2.00557E-4
0,0,4,53.0,8.0,0.410321761,2.78259E-4
0,1,0,38.0,19.0,0.449298808,3.02206E-4
0,1,1,38.0,11.0,0.474717116,2.25651E-4
0,1,2,0.0,1.0,0.0,2.51777E-4
0,2,0,46.0,65.0,0.490590253,1.26136E-4
0,2,1,45.0,57.0,0.50017651,1.28621E-4
0,2,2,44.0,48.0,0.494510954,1.65613E-4
0,2,3,44.0,48.0,0.461887748,1.3323E-4
0,2,4,39.0,47.0,0.515740698,1.33112E-4
0,2,5,16.0,23.0,0.481641505,0.001410484
0,2,6,16.0,19.0,0.707934528,1.4041E-4
0,2,7,12.0,16.0,0.672886667,1.49252E-4
0,2,8,7.0,0.0,0.422132693,0.0
0,3,0,31.0,55.0,0.50556227,1.97613E-4
0,3,1,31.0,55.0,0.50427525,1.45044E-4
0,3,2,27.0,55.0,0.523514488,1.43402E-4
0,3,3,27.0,52.0,0.739214878,1.52141E-4
0,3,4,16.0,26.0,0.842445377,1.69533E-4
0,3,5,5.0,23.0,1.168299012,2.00773E-4
0,4,0,42.0,40.0,0.45245366,1.89777E-4
0,4,1,27.0,39.0,0.564238734,1.76678E-4
0,4,2,27.0,13.0,0.668522494,2.21002E-4
0,4,3,26.0,7.0,0.653549565,5.08049E-4
1,0,0,43.0,45.0,0.953472183,1.29865E-4
1,0,1,43.0,38.0,0.479940754,1.7878E-4
1,0,2,43.0,37.0,0.489759312,2.1504E-4
1,0,3,41.0,32.0,0.458124872,1.2199E-4
1,0,4,35.0,32.0,0.536443335,2.98356E-4
1,0,5,14.0,11.0,0.437352886,2.0051E-4
1,0,6,2.0,0.0,0.565692097,0.0
1,1,0,54.0,46.0,0.440753949,2.1138E-4
1,1,1,29.0,46.0,0.45608995,2.10797E-4
1,1,2,25.0,20.0,0.631332161,1.83709E-4
1,1,3,25.0,19.0,0.521133717,2.26449E-4
1,1,4,25.0,13.0,0.534682884,2.20155E-4
1,1,5,9.0,13.0,0.535435342,3.36168E-4
1,2,0,49.0,48.0,0.459488953,1.2285E-4
1,2,1,23.0,45.0,0.626140654,1.32875E-4
1,2,2,23.0,45.0,0.750370923,1.26851E-4
1,2,3,23.0,21.0,0.662176103,1.4678E-4
1,2,4,20.0,18.0,0.569065107,1.60376E-4
1,2,5,20.0,12.0,0.529271781,1.65272E-4
1,2,6,20.0,8.0,0.539979239,1.6695E-4
1,3,0,59.0,76.0,0.42794153,1.43716E-4
1,3,1,29.0,54.0,0.409269837,1.25578E-4
1,3,2,26.0,25.0,0.500166944,1.75342E-4
1,3,3,23.0,16.0,0.633545231,2.10589E-4
1,3,4,23.0,13.0,0.386612321,2.68524E-4
1,3,5,0.0,1.0,0.0,3.65462E-4
1,4,0,69.0,41.0,0.433250408,1.4331E-4
1,4,1,39.0,34.0,0.442466833,1.51263E-4
1,4,2,39.0,33.0,0.458839301,1.48479E-4
1,4,3,30.0,31.0,0.436925767,1.51159E-4
1,4,4,30.0,17.0,0.513190887,2.52119E-4
1,4,5,26.0,5.0,0.505003562,3.15747E-4
1,5,0,36.0,23.0,0.461964416,6.23909E-4
1,5,1,30.0,23.0,0.448837327,1.5238E-4
1,5,2,28.0,22.0,0.498410892,1.52947E-4
1,5,3,0.0,10.0,0.0,2.11833E-4
1,6,0,67.0,30.0,0.425349836,1.10933E-4
1,6,1,40.0,16.0,0.435409725,1.6114E-4
1,6,2,36.0,16.0,0.544637829,1.62092E-4
1,6,3,27.0,16.0,0.498673857,1.75488E-4
1,6,4,27.0,13.0,0.428786252,1.54667E-4
1,6,5,21.0,13.0,0.483666166,2.72487E-4
1,6,6,21.0,13.0,0.236567572,1.66115E-4
1,6,7,18.0,8.0,0.526183566,2.1071E-4
1,7,0,68.0,24.0,0.469313297,1.42016E-4
1,7,1,68.0,24.0,0.463420184,1.15554E-4
1,7,2,65.0,24.0,0.459389567,1.12547E-4
1,7,3,63.0,21.0,0.436581172,1.25078E-4
1,7,4,63.0,21.0,0.41775742,1.56756E-4
1,7,5,55.0,21.0,0.446016676,1.16685E-4
1,7,6,55.0,21.0,0.417985989,1.22338E-4
1,7,7,53.0,19.0,0.435752512,1.4076E-4
1,7,8,50.0,19.0,0.420259913,2.23535E-4
1,7,9,30.0,19.0,0.407191558,1.18949E-4
1,7,10,24.0,19.0,0.397128168,1.14312E-4
1,7,11,19.0,18.0,0.443844797,1.32406E-4
1,7,12,0.0,6.0,0.0,1.54613E-4
1,8,0,45.0,45.0,0.584604047,1.11766E-4
1,8,1,30.0,35.0,0.478450699,1.65736E-4
1,8,2,30.0,34.0,0.660971039,2.03581E-4
1,8,3,29.0,18.0,0.651743505,1.92166E-4
1,8,4,10.0,0.0,0.322070932,0.0
1,9,0,43.0,26.0,0.452507578,1.8769E-4
1,9,1,33.0,20.0,0.515330643,1.49745E-4
1,9,2,31.0,15.0,0.531209137,1.61053E-4
1,9,3,31.0,15.0,0.519558942,1.59983E-4
1,9,4,0.0,0.0,0.0,3.266E-4
2,0,0,53.0,56.0,0.420955985,9.3555E-5
2,0,1,50.0,28.0,0.403390854,1.37039E-4
2,0,2,41.0,28.0,0.400455367,1.59529E-4
2,0,3,41.0,24.0,0.393539135,1.83828E-4
2,0,4,32.0,24.0,0.397552153,1.16379E-4
2,0,5,32.0,24.0,0.458179449,1.08145E-4
2,0,6,31.0,21.0,0.412657653,1.77769E-4
2,0,7,14.0,21.0,0.473833824,1.19192E-4
2,0,8,14.0,21.0,0.529703531,1.17021E-4
2,0,9,14.0,21.0,0.251907537,1.17572E-4
2,0,10,14.0,21.0,0.518573602,1.20527E-4
2,0,11,14.0,16.0,0.524268435,1.53532E-4
2,0,12,3.0,0.0,5.59076E-4,0.0
2,1,0,57.0,22.0,0.461241154,1.80442E-4
2,1,1,54.0,20.0,0.484921899,1.81597E-4
2,1,2,54.0,12.0,0.498395399,2.09773E-4
2,1,3,51.0,12.0,0.423969968,1.88003E-4
2,1,4,0.0,5.0,0.0,1.91015E-4
2,2,0,70.0,54.0,0.427385018,1.0885E-4
2,2,1,70.0,47.0,0.416987098,9.5769E-5
2,2,2,64.0,46.0,0.411326985,1.11658E-4
2,2,3,36.0,20.0,0.405719638,1.33577E-4
2,2,4,32.0,8.0,0.426444623,1.77243E-4
2,3,0,34.0,26.0,0.439597466,1.64458E-4
2,3,1,34.0,26.0,0.460899025,1.54619E-4
2,3,2,32.0,25.0,0.56868177,2.15449E-4
2,3,3,25.0,23.0,0.782047927,1.47327E-4
2,3,4,22.0,21.0,0.918390202,1.66211E-4
2,3,5,22.0,19.0,0.92537244,2.03209E-4
2,3,6,18.0,15.0,0.795363137,1.52327E-4
2,3,7,18.0,14.0,0.690418743,1.46358E-4
2,3,8,18.0,14.0,0.722792536,1.50172E-4
2,3,9,0.0,1.0,0.0,2.14534E-4
2,4,0,51.0,36.0,0.436434553,1.39563E-4
2,4,1,50.0,36.0,0.494847833,1.2482E-4
2,4,2,43.0,12.0,0.501667022,2.6527E-4
2,4,3,43.0,9.0,0.590846313,2.02893E-4
