Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,14,0,0,5,14,0,6,20
0,1,14,13,1,13,0,13,16,3
0,2,14,28,1,9,0,15,17,2
0,3,15,28,0,6,1,0,10,11
0,4,15,39,1,7,0,11,21,10
0,5,15,63,1,9,0,24,34,10
0,6,15,75,1,8,0,12,20,8
0,7,47,75,0,4,32,0,2,34
0,8,68,75,0,4,21,0,8,29
0,9,76,75,0,9,8,0,10,18
0,10,109,75,0,7,33,0,6,39
1,0,34,0,0,5,34,0,3,37
1,1,58,0,0,6,24,0,7,31
1,2,82,0,0,6,24,0,7,31
1,3,102,0,0,6,20,0,8,28
2,0,15,0,0,9,15,0,7,22
2,1,23,0,0,7,8,0,7,15
2,2,28,0,0,6,5,0,10,15
2,3,28,24,1,3,0,24,27,3
2,4,43,24,0,5,15,0,7,22
2,5,47,24,0,7,4,0,9,13
2,6,83,24,0,4,36,0,3,39
2,7,83,41,1,6,0,17,26,9
2,8,83,49,1,8,0,8,13,5
2,9,130,49,0,3,47,0,5,52
3,0,12,0,0,8,12,0,3,15
3,1,38,0,0,5,26,0,4,30
3,2,38,13,1,13,0,13,16,3
3,3,65,13,0,4,27,0,8,35
3,4,73,13,0,10,8,0,10,18
3,5,87,13,0,7,14,0,9,23
3,6,105,13,0,7,18,0,10,28
4,0,24,0,0,2,24,0,10,34
4,1,24,24,1,5,0,24,25,1
4,2,32,24,0,5,8,0,8,16
4,3,48,24,0,8,16,0,1,17
4,4,48,30,1,7,0,6,15,9
4,5,96,30,0,5,48,0,3,51
4,6,96,53,1,4,0,23,32,9
4,7,96,84,1,7,0,31,35,4
4,8,96,88,1,9,0,4,12,8
4,9,96,88,null,16,0,0,16,25
4,10,96,96,1,6,0,8,17,9
4,11,96,128,1,2,0,32,41,9
5,0,0,25,1,5,0,25,32,7
5,1,3,25,0,7,3,0,9,12
5,2,3,39,1,5,0,14,18,4
5,3,3,53,1,8,0,14,24,10
5,4,4,53,0,12,1,0,10,11
5,5,14,53,0,6,10,0,3,13
5,6,14,66,1,7,0,13,23,10
5,7,14,107,1,5,0,41,51,10
6,0,25,0,0,7,25,0,7,32
6,1,39,0,0,6,14,0,10,24
6,2,39,1,1,7,0,1,11,10
6,3,39,8,1,13,0,7,12,5
6,4,58,8,0,8,19,0,6,25
6,5,78,8,0,7,20,0,5,25
6,6,103,8,0,5,25,0,4,29
7,0,23,0,0,8,23,0,10,33
7,1,33,0,0,7,10,0,7,17
7,2,33,22,1,3,0,22,31,9
7,3,33,37,1,7,0,15,21,6
7,4,74,37,0,4,41,0,9,50
7,5,74,74,1,5,0,37,45,8
7,6,74,82,1,7,0,8,16,8
7,7,119,82,0,2,45,0,6,51
8,0,16,0,0,5,16,0,4,20
8,1,42,0,0,2,26,0,3,29
8,2,72,0,0,7,30,0,8,38
8,3,72,42,1,6,0,42,52,10
8,4,72,49,1,7,0,7,17,10
8,5,72,52,1,9,0,3,13,10
8,6,94,52,0,5,22,0,1,23
8,7,139,52,0,4,45,0,9,54
9,0,0,4,1,6,0,4,11,7
9,1,0,7,1,13,0,3,11,8
9,2,19,7,0,8,19,0,5,24
9,3,25,7,0,10,6,0,7,13
9,4,36,7,0,5,11,0,6,17
9,5,38,7,0,9,2,0,9,11
9,6,38,27,1,3,0,20,30,10
9,7,42,27,0,10,4,0,7,11
9,8,67,27,0,3,25,0,6,31
9,9,109,27,0,4,42,0,0,17
10,0,0,5,1,10,0,5,14,9
10,1,0,56,1,6,0,51,26,0
10,2,0,75,1,10,0,19,26,7
10,3,12,75,0,6,12,0,2,14
10,4,52,75,0,7,40,0,2,42
10,5,52,76,1,6,0,1,11,10
10,6,52,94,1,4,0,18,28,10
10,7,52,96,1,13,0,2,11,9
10,8,52,110,1,9,0,14,20,6
11,0,0,21,1,7,0,21,31,10
11,1,17,21,0,6,17,0,7,24
11,2,47,21,0,3,30,0,9,39
11,3,66,21,0,8,19,0,10,29
11,4,84,21,0,4,18,0,10,28
11,5,84,38,1,7,0,17,26,9
11,6,119,38,0,5,35,0,8,43
12,0,0,2,1,10,0,2,12,10
12,1,0,35,1,3,0,33,39,6
12,2,6,35,0,8,6,0,7,13
12,3,47,35,0,5,41,0,5,46
12,4,47,42,1,5,0,7,17,10
12,5,47,84,1,9,0,42,17,0
12,6,47,93,1,5,0,9,17,8
12,7,55,93,0,6,8,0,7,15
12,8,55,106,1,4,0,13,19,6
13,0,5,0,0,7,5,0,10,15
13,1,5,16,1,6,0,16,24,8
13,2,7,16,0,10,2,0,10,12
13,3,7,30,1,6,0,14,15,1
13,4,29,30,0,7,22,0,9,31
13,5,29,43,1,11,0,13,20,7
13,6,35,43,0,11,6,0,5,11
13,7,52,43,0,6,17,0,3,20
13,8,52,56,1,6,0,13,20,7
13,9,52,65,1,3,0,9,18,9
13,10,56,65,0,8,4,0,10,14
13,11,90,65,0,2,34,0,6,40
13,12,111,65,0,8,21,0,3,24
14,0,7,0,0,5,7,0,9,16
14,1,7,7,1,8,0,7,13,6
14,2,11,7,0,7,4,0,10,14
14,3,21,7,0,11,10,0,3,13
14,4,21,13,1,9,0,6,16,10
14,5,38,13,0,9,17,0,6,23
14,6,47,13,0,10,9,0,3,12
14,7,47,40,1,7,0,27,33,6
14,8,78,40,0,3,31,0,9,40
14,9,95,40,0,7,17,0,6,23
14,10,107,40,0,10,12,0,6,18
15,0,0,31,1,3,0,31,40,9
15,1,12,31,0,10,12,0,10,22
15,2,12,52,1,7,0,21,30,9
15,3,17,52,0,8,5,0,6,11
15,4,33,52,0,14,16,0,2,18
15,5,33,56,1,8,0,4,12,8
15,6,33,80,1,5,0,24,28,4
15,7,43,80,0,10,10,0,10,20
