Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,30,0,0,4,30,0,7,37
0,1,30,27,1,3,0,27,35,8
0,2,30,65,1,8,0,38,13,0
0,3,45,65,0,11,15,0,5,20
0,4,45,79,1,9,0,14,22,8
0,5,45,84,1,6,0,5,12,7
0,6,45,92,1,4,0,8,17,9
0,7,50,92,0,11,5,0,8,13
0,8,55,92,0,4,5,0,9,14
0,9,79,92,0,8,24,0,6,30
0,10,79,100,1,10,0,8,18,10
1,0,0,4,1,8,0,4,11,7
1,1,0,16,1,8,0,12,18,6
1,2,0,27,1,8,0,11,17,6
1,3,25,27,0,10,25,0,7,32
1,4,25,40,1,7,0,13,21,8
1,5,25,57,1,6,0,17,25,8
1,6,28,57,0,6,3,0,9,12
1,7,28,65,1,10,0,8,11,3
1,8,83,65,0,5,55,0,10,65
1,9,98,65,0,7,15,0,7,22
1,10,98,74,1,4,0,9,19,10
1,11,120,74,0,4,22,0,8,30
2,0,11,0,0,10,11,0,2,13
2,1,11,19,1,9,0,19,25,6
2,2,11,41,1,5,0,22,28,6
2,3,11,86,1,4,0,45,54,9
2,4,11,102,1,4,0,16,26,10
3,0,5,0,0,16,5,0,7,12
3,1,29,0,0,4,24,0,9,33
3,2,29,17,1,6,0,17,25,8
3,3,29,35,1,8,0,18,26,8
3,4,35,35,0,5,6,0,7,13
3,5,35,42,1,14,0,7,13,6
3,6,38,42,0,10,3,0,8,11
3,7,38,50,1,7,0,8,15,7
3,8,38,74,1,9,0,24,33,9
3,9,38,102,1,3,0,28,35,7
4,0,4,0,0,6,4,0,10,14
4,1,24,0,0,4,20,0,10,30
4,2,47,0,0,6,23,0,7,30
4,3,90,0,0,2,43,0,8,51
4,4,99,0,0,16,9,0,7,16
4,5,99,10,1,8,0,10,18,8
4,6,99,26,1,4,0,16,24,8
4,7,112,26,0,2,13,0,5,18
5,0,0,3,1,9,0,3,12,9
5,1,10,3,0,11,10,0,6,16
5,2,43,3,0,3,33,0,8,41
5,3,65,3,0,7,22,0,1,23
5,4,65,26,1,3,0,23,29,6
5,5,65,51,1,5,0,25,31,6
5,6,95,51,0,8,30,0,3,33
5,7,95,79,1,13,0,28,29,1
5,8,102,79,0,10,7,0,6,13
6,0,18,0,0,3,18,0,9,27
6,1,20,0,0,5,2,0,10,12
6,2,29,0,0,6,9,0,9,18
6,3,34,0,0,7,5,0,7,12
6,4,35,0,0,8,1,0,10,11
6,5,43,0,0,6,8,0,10,18
6,6,48,0,0,5,5,0,9,14
6,7,48,31,1,9,0,31,38,7
6,8,55,31,0,9,7,0,9,16
6,9,78,31,0,6,23,0,5,28
6,10,78,38,1,9,0,7,17,10
6,11,107,38,0,9,29,0,7,36
7,0,0,25,1,5,0,25,26,1
7,1,22,25,0,7,22,0,3,25
7,2,22,39,1,14,0,14,21,7
