Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,17,1,9,0,17,21,4
0,1,0,25,1,6,0,8,12,4
0,2,19,25,0,9,19,0,7,26
0,3,19,37,1,10,0,12,20,8
0,4,19,40,1,6,0,3,12,9
0,5,86,40,0,3,67,0,3,70
0,6,86,48,1,7,0,8,12,4
0,7,86,60,1,10,0,12,21,9
0,8,108,60,0,10,22,0,1,23
1,0,0,11,1,8,0,11,21,10
1,1,49,11,0,4,49,0,3,52
1,2,72,11,0,4,23,0,10,33
1,3,72,41,1,4,0,30,35,5
1,4,90,41,0,4,18,0,8,26
1,5,120,41,0,6,30,0,10,40
2,0,0,4,1,11,0,4,13,9
2,1,0,7,1,8,0,3,11,8
2,2,23,7,0,5,23,0,8,31
2,3,39,7,0,7,16,0,7,23
2,4,39,19,1,7,0,12,22,10
2,5,39,53,1,3,0,34,41,7
2,6,39,59,1,7,0,6,14,8
2,7,55,59,0,4,16,0,10,26
2,8,55,64,1,13,0,5,15,10
2,9,55,117,1,4,0,53,56,3
3,0,28,0,0,3,28,0,6,34
3,1,64,0,0,3,36,0,4,40
3,2,70,0,0,6,6,0,7,13
3,3,70,9,1,8,0,9,13,4
3,4,81,9,0,7,11,0,7,18
3,5,81,16,1,5,0,7,15,8
3,6,93,16,0,10,12,0,8,20
3,7,99,16,0,6,6,0,10,16
3,8,99,51,1,5,0,35,36,1
3,9,99,73,1,7,0,22,24,2
3,10,99,76,1,6,0,3,11,8
3,11,105,76,0,9,6,0,9,15
4,0,0,4,1,9,0,4,11,7
4,1,37,4,0,5,37,0,0,12
4,2,37,34,1,6,0,30,36,6
4,3,37,46,1,10,0,12,21,9
4,4,52,46,0,6,15,0,8,23
4,5,58,46,0,9,6,0,6,12
4,6,76,46,0,8,18,0,1,19
4,7,88,46,0,9,12,0,10,22
4,8,89,46,0,5,1,0,10,11
4,9,97,46,0,5,8,0,10,18
4,10,97,54,1,3,0,8,17,9
4,11,110,54,0,9,13,0,7,20
5,0,0,7,1,9,0,7,15,8
5,1,13,7,0,7,13,0,7,20
5,2,13,10,1,10,0,3,13,10
5,3,13,21,1,4,0,11,17,6
5,4,13,24,1,6,0,3,12,9
5,5,27,24,0,6,14,0,3,17
5,6,27,38,1,7,0,14,18,4
5,7,62,38,0,5,35,0,10,45
5,8,70,38,0,9,8,0,3,11
5,9,75,38,0,6,5,0,9,14
5,10,81,38,0,9,6,0,10,16
