Game,Rounds,P0 Score,P1 Score,Winner
0,11,109,75,0
1,4,102,0,0
2,10,130,49,0
3,7,105,13,0
4,12,96,128,1
5,8,14,107,1
6,7,103,8,0
7,8,119,82,0
8,8,139,52,0
9,10,109,27,0
10,9,52,110,1
11,7,119,38,0
12,9,55,106,1
13,13,111,65,0
14,11,107,40,0
15,12,53,103,1
16,9,54,111,1
17,13,66,114,1
18,12,87,120,1
19,10,67,109,1
20,7,108,43,0
21,12,151,54,0
22,7,103,37,0
23,8,76,101,1
24,11,103,86,0
25,7,14,103,1
26,7,110,42,0
27,14,101,99,0
28,10,73,111,1
29,13,38,103,1
30,9,49,120,1
31,7,34,100,1
32,10,112,44,0
33,10,101,83,0
34,11,80,119,1
35,9,50,107,1
36,4,112,0,0
37,13,79,104,1
38,8,34,116,1
39,8,79,103,1
40,11,58,107,1
41,9,101,86,0
42,10,101,81,0
43,10,107,45,0
44,8,118,68,0
45,16,103,91,0
46,10,103,32,0
47,16,94,111,1
48,9,103,85,0
49,8,107,69,0
