Game,Rounds,P0 Score,P1 Score,Winner
0,7,106,34,0
1,6,36,107,1
2,7,112,63,0
3,8,120,53,0
4,7,57,108,1
5,11,97,113,1
6,10,94,136,1
7,6,140,84,0
8,9,48,113,1
9,10,21,108,1
10,7,57,109,1
11,11,85,132,1
12,8,12,108,1
13,8,103,45,0
14,9,66,143,1
15,5,40,104,1
16,13,103,91,0
17,7,16,105,1
18,9,111,34,0
19,8,96,108,1
20,8,53,104,1
21,12,115,74,0
22,13,103,50,0
23,11,140,72,0
24,13,125,56,0
25,11,110,83,0
26,10,50,111,1
27,6,106,36,0
28,9,104,83,0
29,11,107,82,0
30,11,130,95,0
31,3,0,101,1
32,7,100,20,0
33,15,94,127,1
34,9,129,89,0
35,12,26,108,1
36,6,111,24,0
37,9,108,35,0
38,6,20,116,1
39,13,94,106,1
40,12,107,94,0
41,7,76,111,1
42,8,105,9,0
43,16,106,84,0
44,6,101,71,0
45,13,109,98,0
46,5,0,136,1
47,14,70,121,1
48,6,106,36,0
49,9,108,48,0
