Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,37.0,46.0,1.0821E-4,0.614252893
0,0,1,37.0,44.0,1.01125E-4,0.523032406
0,0,2,36.0,44.0,9.9815E-5,27.824484981
0,0,3,28.0,38.0,9.939E-5,25.603046601
0,0,4,28.0,31.0,1.01315E-4,0.597503382
0,0,5,27.0,31.0,1.23171E-4,0.635999657
0,0,6,27.0,27.0,1.80305E-4,0.562672103
0,0,7,27.0,24.0,1.00638E-4,0.546366682
0,0,8,26.0,24.0,1.04176E-4,0.783163329
0,0,9,7.0,0.0,2.39819E-4,0.0
0,1,0,62.0,48.0,9.3631E-5,50.922770111
0,1,1,24.0,46.0,1.05002E-4,0.606218074
0,1,2,24.0,44.0,1.19205E-4,0.540564483
0,1,3,22.0,19.0,1.23574E-4,41.747231686
0,1,4,20.0,19.0,1.29222E-4,0.409179661
0,1,5,20.0,18.0,1.24882E-4,0.606701734
0,1,6,13.0,18.0,1.6352E-4,0.581506922
0,1,7,8.0,18.0,2.30536E-4,0.621037528
0,2,0,27.0,56.0,1.67836E-4,0.557610536
0,2,1,23.0,27.0,1.85748E-4,0.538293194
0,2,2,23.0,6.0,1.31605E-4,0.705955581
0,3,0,23.0,39.0,1.6137E-4,28.735637131
0,3,1,23.0,32.0,2.1513E-4,44.226512151
0,3,2,23.0,30.0,1.70487E-4,0.650252253
0,3,3,20.0,30.0,1.67461E-4,0.648064362
0,3,4,4.0,12.0,2.66472E-4,0.663313269
0,4,0,32.0,45.0,1.3475E-4,29.074169667
0,4,1,12.0,40.0,1.47333E-4,81.779112367
0,4,2,7.0,0.0,2.34943E-4,0.0
0,5,0,34.0,49.0,9.1256E-5,0.505954408
0,5,1,34.0,45.0,9.9418E-5,0.584212015
0,5,2,24.0,16.0,1.26061E-4,0.574823859
0,5,3,18.0,16.0,1.24038E-4,0.376380364
0,5,4,18.0,16.0,1.22761E-4,0.096134778
0,5,5,18.0,16.0,1.27639E-4,0.704525961
0,5,6,0.0,1.0,0.0,0.654211311
0,6,0,67.0,69.0,9.5564E-5,0.523706785
0,6,1,58.0,60.0,8.5726E-5,0.431601987
0,6,2,44.0,53.0,9.1273E-5,0.479123087
0,6,3,34.0,47.0,1.11761E-4,0.462208369
0,6,4,9.0,0.0,2.43341E-4,0.0
1,0,0,34.0,41.0,1.89845E-4,67.205469185
1,0,1,34.0,15.0,9.9903E-5,0.723056828
1,0,2,32.0,8.0,1.10822E-4,0.364940772
1,1,0,62.0,62.0,8.1322E-5,0.485385021
1,1,1,47.0,62.0,8.9593E-5,0.513643848
1,1,2,37.0,57.0,1.03101E-4,0.427652225
1,1,3,36.0,57.0,1.16829E-4,0.468788473
1,1,4,10.0,37.0,1.76102E-4,0.518402434
1,2,0,45.0,61.0,9.7878E-5,0.661123488
1,2,1,45.0,60.0,8.5451E-5,0.533385964
1,2,2,45.0,54.0,1.18925E-4,0.616594507
1,2,3,45.0,30.0,8.4383E-5,0.563416743
1,2,4,45.0,30.0,8.8973E-5,0.711380404
1,2,5,45.0,30.0,8.7395E-5,0.719007458
1,2,6,45.0,25.0,1.00784E-4,0.844708853
1,2,7,23.0,25.0,9.7435E-5,42.252860022
1,2,8,17.0,25.0,1.23102E-4,36.960598998
1,2,9,17.0,25.0,1.2187E-4,74.045253809
1,2,10,17.0,25.0,1.16515E-4,86.296852304
1,2,11,17.0,7.0,1.53911E-4,70.145964333
1,3,0,61.0,36.0,1.00998E-4,0.682246837
1,3,1,59.0,18.0,9.26899E-4,63.591269095
1,3,2,56.0,15.0,9.3173E-5,39.850477166
1,3,3,49.0,15.0,9.2576E-5,36.814053135
1,3,4,0.0,9.0,0.0,41.812407025
1,4,0,45.0,51.0,1.31198E-4,0.560705703
1,4,1,37.0,51.0,1.2944E-4,0.550686093
1,4,2,34.0,28.0,1.21983E-4,0.491217593
1,4,3,14.0,11.0,1.32193E-4,0.62841559
1,4,4,2.0,0.0,2.29897E-4,0.0
1,5,0,51.0,44.0,8.4363E-5,32.066393901
1,5,1,51.0,37.0,8.1861E-5,0.522722149
1,5,2,44.0,34.0,8.1889E-5,33.977116858
1,5,3,43.0,29.0,8.4717E-5,0.537419222
1,5,4,40.0,11.0,9.6017E-5,0.545021733
1,5,5,0.0,7.0,0.0,0.338674336
2,0,0,62.0,58.0,9.0438E-5,0.446561311
2,0,1,33.0,58.0,9.4075E-5,0.534730142
2,0,2,10.0,0.0,1.23691E-4,0.0
2,1,0,68.0,42.0,1.8732E-4,0.463706313
2,1,1,68.0,41.0,8.3181E-5,0.576376662
2,1,2,67.0,37.0,8.0412E-5,31.209713824
2,1,3,66.0,32.0,8.1518E-5,0.554381881
2,1,4,40.0,12.0,1.06482E-4,0.625830973
2,1,5,37.0,12.0,1.06362E-4,0.022744081
2,1,6,0.0,9.0,0.0,0.87484013
2,2,0,20.0,37.0,1.31215E-4,0.419568926
2,2,1,19.0,33.0,2.12463E-4,37.120362993
2,2,2,16.0,21.0,1.32066E-4,0.506666276
2,2,3,10.0,0.0,1.90402E-4,0.0
2,3,0,49.0,57.0,1.0531E-4,47.247263024
2,3,1,45.0,48.0,1.68291E-4,0.484024304
2,3,2,44.0,42.0,9.1246E-5,0.418458085
2,3,3,40.0,35.0,9.4611E-5,0.554617965
2,3,4,20.0,35.0,1.26777E-4,0.748405902
2,3,5,20.0,35.0,1.25978E-4,0.509477593
2,3,6,20.0,35.0,1.8251E-4,0.480249913
2,3,7,18.0,35.0,1.28468E-4,0.688556543
2,3,8,13.0,35.0,1.67023E-4,0.349350611
2,3,9,13.0,19.0,1.79124E-4,0.354394374
2,3,10,13.0,19.0,1.69809E-4,0.411771797
2,3,11,11.0,19.0,1.65978E-4,0.399294661
2,3,12,0.0,11.0,3.10037E-4,2.53484E-4
2,4,0,62.0,51.0,9.9504E-5,0.70942214
2,4,1,33.0,49.0,9.7268E-5,0.613985924
2,4,2,33.0,29.0,9.4869E-5,0.538511491
2,4,3,33.0,29.0,1.08047E-4,0.645777481
2,4,4,30.0,6.0,1.13626E-4,0.619532649
2,5,0,26.0,37.0,1.68475E-4,21.93480868
2,5,1,18.0,30.0,1.24335E-4,40.292484042
2,5,2,0.0,7.0,0.0,0.50479421
2,6,0,38.0,30.0,1.25666E-4,0.549270909
2,6,1,37.0,25.0,9.7907E-5,0.656330108
2,6,2,14.0,25.0,1.26971E-4,0.298246477
2,6,3,8.0,0.0,1.88319E-4,0.0
3,0,0,70.0,34.0,9.7843E-5,0.713412205
3,0,1,65.0,31.0,8.3983E-5,0.604912307
3,0,2,56.0,31.0,8.2824E-5,0.555357441
3,0,3,56.0,31.0,8.9365E-5,0.632405219
3,0,4,55.0,31.0,8.8354E-5,0.651909688
3,0,5,29.0,24.0,9.6982E-5,0.566644151
3,0,6,27.0,18.0,1.00409E-4,0.563997256
3,0,7,20.0,18.0,1.19975E-4,0.461800582
3,0,8,14.0,18.0,1.34954E-4,0.469969117
3,0,9,14.0,17.0,1.40034E-4,0.431728285
3,0,10,14.0,6.0,1.37079E-4,0.357420594
3,1,0,46.0,45.0,8.8445E-5,0.490007243
3,1,1,37.0,45.0,9.4376E-5,0.510537423
3,1,2,37.0,43.0,9.8954E-5,21.469900872
3,1,3,34.0,43.0,9.7099E-5,0.808852341
3,1,4,32.0,28.0,9.5842E-5,0.523825557
