Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,55.0,46.0,0.920011156,2.77703E-4
0,0,1,55.0,37.0,0.597254499,1.97551E-4
0,0,2,54.0,37.0,0.496787983,1.52982E-4
0,0,3,48.0,36.0,0.47963064,1.6246E-4
0,0,4,29.0,32.0,0.512569992,1.81038E-4
0,0,5,21.0,26.0,0.679280426,2.13918E-4
0,0,6,14.0,10.0,0.56524818,3.35597E-4
0,1,0,39.0,67.0,0.499347101,1.68258E-4
0,1,1,35.0,37.0,0.509194058,1.55516E-4
0,1,2,14.0,29.0,0.655402336,1.47752E-4
0,1,3,14.0,23.0,0.834442052,1.87891E-4
0,1,4,14.0,14.0,0.674279431,2.3263E-4
0,1,5,14.0,14.0,4.426091785,1.95401E-4
0,1,6,9.0,14.0,0.951794257,2.77057E-4
0,2,0,31.0,86.0,29.389036985,1.19819E-4
0,2,1,20.0,56.0,34.581874828,1.6557E-4
0,2,2,18.0,54.0,0.605983781,3.08434E-4
0,2,3,18.0,53.0,0.079100116,2.2685E-4
0,2,4,18.0,27.0,54.745023709,2.27481E-4
0,2,5,14.0,25.0,12.533594621,5.51459E-4
0,2,6,8.0,0.0,1.990786976,0.0
0,3,0,38.0,77.0,0.52374851,1.36505E-4
0,3,1,35.0,48.0,0.583945838,1.33945E-4
0,3,2,35.0,40.0,0.607099374,1.39225E-4
0,3,3,33.0,39.0,0.806225474,1.50449E-4
0,3,4,15.0,16.0,0.569259912,2.0611E-4
0,3,5,15.0,16.0,0.669519401,1.92752E-4
0,3,6,0.0,9.0,0.0,2.2638E-4
0,4,0,66.0,52.0,0.625579317,1.18344E-4
0,4,1,26.0,22.0,23.906801351,1.78041E-4
0,4,2,26.0,14.0,0.884970379,1.99308E-4
0,4,3,23.0,14.0,0.747415044,2.04156E-4
0,4,4,18.0,13.0,0.018763806,2.19125E-4
0,4,5,18.0,10.0,0.017455452,2.13866E-4
0,5,0,67.0,48.0,0.466904952,3.20102E-4
0,5,1,62.0,40.0,0.404653887,1.19274E-4
0,5,2,54.0,34.0,0.411249829,1.18021E-4
0,5,3,53.0,26.0,0.420244946,1.40542E-4
0,5,4,33.0,26.0,0.449860362,1.95692E-4
0,5,5,21.0,24.0,0.967427385,1.48808E-4
0,5,6,20.0,21.0,0.602151475,2.30449E-4
0,5,7,20.0,21.0,0.656631058,1.34416E-4
0,5,8,0.0,7.0,0.0,1.61422E-4
0,6,0,59.0,67.0,0.492053598,1.02109E-4
0,6,1,46.0,66.0,0.548962318,1.09457E-4
0,6,2,44.0,58.0,0.701224713,1.09613E-4
0,6,3,43.0,32.0,0.581949325,1.19412E-4
0,6,4,38.0,31.0,0.730294342,1.27781E-4
0,6,5,33.0,30.0,28.585224008,2.37498E-4
0,6,6,33.0,30.0,0.680363959,1.2187E-4
0,6,7,33.0,9.0,0.549078177,1.76946E-4
0,7,0,55.0,59.0,71.600477986,1.32662E-4
0,7,1,55.0,42.0,22.466080067,1.14197E-4
0,7,2,46.0,41.0,59.370622713,1.49944E-4
0,7,3,38.0,41.0,34.505834356,1.43687E-4
0,7,4,36.0,12.0,65.546294999,1.69981E-4
0,7,5,30.0,12.0,85.352244299,2.14568E-4
0,7,6,0.0,1.0,0.0,2.62974E-4
0,8,0,56.0,54.0,0.475881472,1.6521E-4
0,8,1,47.0,40.0,0.457405167,1.34405E-4
0,8,2,21.0,40.0,0.589682873,2.1036E-4
0,8,3,21.0,19.0,30.146485391,2.16482E-4
0,8,4,16.0,13.0,0.583509819,1.91345E-4
0,8,5,9.0,0.0,0.581196797,0.0
0,9,0,50.0,37.0,0.425320014,4.81577E-4
0,9,1,26.0,36.0,0.44447363,1.49824E-4
0,9,2,13.0,34.0,0.876401063,1.81969E-4
0,9,3,13.0,14.0,0.353433576,1.6245E-4
0,9,4,8.0,14.0,5.70187E-4,1.61547E-4
0,10,0,61.0,43.0,0.477508423,1.10712E-4
0,10,1,52.0,38.0,0.46175685,1.11017E-4
0,10,2,27.0,32.0,0.451299159,1.35397E-4
0,10,3,27.0,32.0,0.681406367,1.36504E-4
0,10,4,25.0,13.0,0.67439879,1.71422E-4
0,10,5,25.0,7.0,0.365834968,2.19084E-4
1,0,0,2.0,0.0,0.675058166,0.0
1,1,0,29.0,28.0,0.660564506,2.23776E-4
1,1,1,29.0,24.0,0.47931807,2.0104E-4
1,1,2,0.0,4.0,0.0,3.77087E-4
1,2,0,59.0,67.0,0.457107634,1.41023E-4
1,2,1,53.0,59.0,24.105926369,9.6782E-5
1,2,2,52.0,59.0,0.465495426,9.6478E-5
1,2,3,52.0,54.0,0.500821977,9.6388E-5
1,2,4,37.0,28.0,0.663235457,1.33446E-4
1,2,5,34.0,22.0,0.744737525,1.1867E-4
1,2,6,14.0,22.0,31.278389656,1.2799E-4
1,2,7,14.0,17.0,0.613481083,1.3956E-4
1,2,8,14.0,17.0,0.015288616,1.39961E-4
1,2,9,14.0,17.0,3.0827E-4,1.35448E-4
1,2,10,14.0,13.0,0.286682354,1.79674E-4
1,2,11,9.0,0.0,0.012913262,0.0
1,3,0,47.0,58.0,65.374676958,1.24195E-4
1,3,1,46.0,32.0,52.961091392,1.23175E-4
1,3,2,43.0,31.0,0.497259978,1.14604E-4
1,3,3,19.0,31.0,0.541210535,1.22879E-4
1,3,4,13.0,31.0,0.689470833,1.30717E-4
1,3,5,13.0,29.0,0.017906011,1.40919E-4
1,3,6,9.0,29.0,0.016758382,1.46776E-4
1,4,0,35.0,62.0,0.716525269,1.40949E-4
1,4,1,35.0,32.0,30.560168569,1.20315E-4
1,4,2,35.0,30.0,0.771200527,1.17969E-4
1,4,3,34.0,30.0,0.633500515,1.1283E-4
1,4,4,33.0,30.0,0.016747255,1.12208E-4
1,4,5,26.0,11.0,0.729971144,1.44365E-4
1,4,6,24.0,9.0,0.647207448,1.6158E-4
1,5,0,23.0,41.0,0.493010654,1.34762E-4
1,5,1,23.0,41.0,0.024418555,1.21757E-4
1,5,2,15.0,41.0,0.640199709,1.22604E-4
1,5,3,12.0,41.0,0.639887902,1.26859E-4
1,5,4,12.0,35.0,0.017060254,1.3983E-4
1,5,5,7.0,27.0,0.327004401,1.46926E-4
1,6,0,49.0,43.0,0.46441529,1.08758E-4
1,6,1,25.0,39.0,0.458247367,1.21216E-4
1,6,2,24.0,39.0,0.653173326,1.19757E-4
