RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,0,103,83,10,37,4,7
7,true,0,116,89,9,32,4,7
4,true,0,108,66,0,12,0,4
11,true,0,105,63,5,29,2,6
8,true,0,101,41,10,17,4,4
11,true,0,111,61,10,22,4,3
5,true,0,103,61,10,32,3,7
4,true,1,4,110,29,1,6,1
3,true,0,100,0,5,21,1,7
8,true,1,9,105,30,8,7,4
3,true,1,0,120,51,5,10,2
10,true,0,117,58,10,32,4,7
5,true,1,12,111,21,9,7,4
7,true,1,38,102,23,9,7,3
4,true,0,103,12,10,66,3,10
6,true,0,102,19,7,25,4,6
8,true,0,104,54,6,54,4,10
13,true,1,76,123,43,8,10,3
9,true,1,93,113,27,8,7,3
7,true,1,37,119,28,8,6,3
