RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
6,true,0,100,26,10,31,4,7
8,true,0,111,25,1,16,1,4
10,true,1,43,123,45,6,10,3
9,true,1,40,127,35,4,7,1
10,true,1,69,106,25,4,7,3
11,true,0,105,82,9,35,4,7
5,true,0,132,5,9,56,3,10
12,true,0,117,56,8,28,3,6
11,true,1,98,120,39,7,10,3
5,true,1,0,104,33,7,10,2
11,true,0,105,50,7,17,4,5
10,true,1,48,128,41,8,10,4
4,true,1,17,115,30,0,7,0
11,true,1,95,111,23,8,7,4
12,true,0,134,60,10,47,3,7
2,true,0,109,0,10,57,3,10
8,true,0,101,77,0,22,0,7
8,true,0,116,13,8,32,4,6
15,true,1,97,103,16,8,4,3
11,true,0,107,64,8,16,4,4
