RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,48,137,20,0,6,0
4,true,1,21,123,56,10,10,4
3,true,1,13,109,37,5,7,3
7,true,0,107,33,3,17,1,6
9,true,1,63,108,20,5,4,1
10,true,1,68,111,41,8,7,3
11,true,0,101,64,7,12,3,4
9,true,0,100,55,1,11,1,4
4,true,0,109,17,10,39,3,10
9,true,1,38,103,23,7,7,3
10,true,1,45,106,12,3,4,2
10,true,1,69,116,28,6,7,4
8,true,1,23,111,24,4,4,3
6,true,1,63,124,38,10,7,4
7,true,0,109,58,7,36,4,7
9,true,0,109,66,5,60,3,10
6,true,0,104,15,8,32,3,7
8,true,0,106,62,9,55,4,10
14,true,1,94,134,53,6,10,3
4,true,0,143,0,3,64,1,10
9,true,0,124,39,4,32,2,7
7,true,1,33,110,41,8,7,3
8,true,1,87,105,51,9,7,4
5,true,1,70,124,33,8,7,3
13,true,0,105,85,9,25,3,7
6,true,0,142,31,9,64,4,10
5,true,1,11,100,54,10,7,4
7,true,0,114,11,2,25,1,6
6,true,0,111,22,9,46,4,7
9,true,0,125,73,10,39,4,7
9,true,0,105,99,8,21,3,6
11,true,1,49,127,40,8,7,4
4,true,1,29,109,54,8,10,2
15,true,0,114,82,3,18,1,7
7,true,1,34,127,36,7,6,2
4,true,1,0,106,23,5,6,3
8,true,0,119,54,10,42,3,7
9,true,0,109,72,2,42,1,7
4,true,0,109,13,10,57,3,10
8,true,0,102,62,10,13,4,5
9,true,1,11,123,47,8,10,3
6,true,0,125,24,0,12,0,6
12,true,0,107,92,10,44,3,7
7,true,1,54,103,43,1,7,1
6,true,0,120,74,7,31,3,7
9,true,1,76,108,25,7,6,2
8,true,0,103,58,8,42,3,6
9,true,0,116,84,7,38,3,7
4,true,1,0,106,37,10,7,4
10,true,0,101,99,10,35,4,7
