RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
14,true,0,121,80,8,38,4,7
9,true,1,89,105,23,0,7,0
12,true,1,60,110,33,10,7,3
7,true,1,54,104,22,9,6,3
7,true,0,104,32,10,16,3,4
9,true,0,118,57,7,34,3,6
9,true,0,100,39,6,23,3,7
12,true,1,97,103,15,1,4,1
10,true,1,97,112,55,10,10,4
4,true,1,2,106,45,7,7,1
9,true,0,117,46,7,50,3,7
7,true,0,104,69,7,50,3,10
8,true,0,110,65,9,34,2,7
15,true,0,110,95,8,27,4,4
7,true,0,101,23,7,12,3,4
7,true,1,58,123,54,9,10,4
3,true,1,4,105,31,9,7,4
10,true,0,129,71,9,46,3,10
6,true,0,120,10,1,31,1,7
5,true,0,108,31,8,30,4,7
