RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,0,117,50,9,47,3,10
11,true,0,107,92,10,23,4,6
10,true,0,164,41,0,42,0,6
8,true,0,117,87,2,26,1,7
6,true,0,103,14,7,33,2,7
9,true,1,73,113,29,0,7,0
10,true,0,108,71,6,38,3,7
8,true,0,109,52,10,37,3,6
12,true,1,65,127,38,7,7,3
10,true,1,64,122,30,7,7,3
2,true,0,105,18,4,76,1,10
11,true,0,140,66,0,17,0,7
6,true,0,108,61,5,16,2,4
6,true,1,0,100,22,7,7,3
8,true,1,99,122,41,10,7,1
9,true,1,48,108,40,9,10,4
6,true,0,124,3,0,19,0,4
8,true,1,79,124,35,8,7,4
10,true,0,116,17,10,31,3,7
8,true,0,115,67,8,31,3,5
13,true,0,113,91,10,37,2,10
4,true,1,9,123,21,0,6,0
3,true,0,110,0,9,23,3,4
11,true,0,101,74,7,45,4,7
8,true,0,104,56,9,26,3,7
8,true,0,100,30,10,56,3,10
3,true,0,123,45,7,44,1,6
6,true,1,17,127,22,0,7,0
7,true,0,135,13,10,56,4,10
7,true,1,70,111,28,7,6,3
12,true,1,92,110,23,5,7,3
7,true,1,72,120,39,8,7,4
10,true,1,85,108,27,7,7,2
9,true,0,118,32,8,51,3,10
6,true,1,10,109,17,7,4,3
6,true,1,69,111,21,2,6,1
8,true,0,102,59,10,34,4,7
9,true,0,116,96,10,31,4,7
8,true,0,110,47,1,39,1,7
8,true,0,120,59,9,38,4,7
13,true,1,42,118,34,9,7,3
11,true,0,145,50,5,59,1,10
7,true,1,29,102,11,0,4,0
5,true,0,101,64,9,14,4,4
8,true,0,109,33,9,39,4,10
5,true,0,105,58,7,26,3,4
6,true,1,44,105,35,9,7,3
9,true,1,87,102,12,3,4,2
7,true,1,60,100,14,5,4,1
6,true,1,80,105,14,2,4,1
