RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
12,true,0,133,68,8,48,3,10
12,true,0,119,97,10,54,4,10
11,true,0,129,64,7,69,3,10
11,true,0,102,54,8,17,3,6
5,true,0,118,22,1,28,1,7
9,true,1,61,101,34,3,10,1
10,true,0,100,43,6,20,4,4
11,true,0,106,93,8,38,4,7
5,true,1,54,109,60,7,10,1
5,true,1,47,100,76,8,10,4
8,true,1,34,109,57,6,10,3
7,true,0,149,55,6,68,4,10
6,true,0,101,48,4,12,2,5
8,true,1,44,121,32,10,7,3
2,true,1,8,111,57,10,10,4
12,true,0,105,82,10,30,3,7
9,true,0,111,90,6,29,3,7
3,true,1,3,100,13,5,4,1
13,true,0,132,97,9,45,3,10
12,true,1,84,105,26,9,7,4
