Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,3,0,0,8,3,0,9,12
0,1,3,11,1,10,0,11,21,10
0,2,49,11,0,6,46,0,5,51
0,3,49,26,1,7,0,15,23,8
0,4,85,26,0,8,36,0,0,11
0,5,85,65,1,8,0,39,14,0
0,6,92,65,0,10,7,0,9,16
0,7,92,95,1,8,0,30,39,9
0,8,106,95,0,10,14,0,6,20
1,0,0,9,1,7,0,9,15,6
1,1,4,9,0,5,4,0,9,13
1,2,4,17,1,5,0,8,18,10
1,3,4,47,1,4,0,30,38,8
1,4,55,47,0,8,51,0,0,26
1,5,86,47,0,12,31,0,9,40
1,6,115,47,0,3,29,0,3,32
2,0,35,0,0,2,35,0,7,42
2,1,41,0,0,6,6,0,10,16
2,2,69,0,0,4,28,0,7,35
2,3,69,28,1,3,0,28,38,10
2,4,69,38,1,6,0,10,20,10
2,5,97,38,0,3,28,0,2,30
2,6,97,43,1,4,0,5,12,7
2,7,113,43,0,10,16,0,5,21
3,0,0,20,1,8,0,20,30,10
3,1,0,61,1,3,0,41,51,10
3,2,0,115,1,3,0,54,63,9
4,0,30,0,0,7,30,0,4,34
4,1,30,48,1,5,0,48,57,9
4,2,30,50,1,8,0,2,12,10
4,3,50,50,0,7,20,0,1,21
4,4,66,50,0,7,16,0,8,24
4,5,84,50,0,8,18,0,4,22
4,6,133,50,0,8,49,0,0,24
5,0,0,27,1,5,0,27,36,9
5,1,4,27,0,6,4,0,7,11
5,2,4,62,1,11,0,35,40,5
5,3,23,62,0,3,19,0,8,27
5,4,62,62,0,10,39,0,0,14
5,5,88,62,0,5,26,0,2,28
5,6,151,62,0,4,63,0,0,38
6,0,8,0,0,9,8,0,3,11
6,1,36,0,0,5,28,0,1,29
6,2,44,0,0,7,8,0,8,16
6,3,62,0,0,5,18,0,10,28
6,4,69,0,0,5,7,0,10,17
6,5,82,0,0,7,13,0,10,23
6,6,82,25,1,8,0,25,35,10
6,7,82,29,1,9,0,4,14,10
6,8,93,29,0,10,11,0,1,12
6,9,129,29,0,6,36,0,10,46
7,0,35,0,0,7,35,0,10,45
7,1,35,55,1,5,0,55,62,7
7,2,35,81,1,8,0,26,34,8
7,3,35,101,1,3,0,20,29,9
8,0,16,0,0,7,16,0,7,23
8,1,25,0,0,6,9,0,8,17
8,2,52,0,0,7,27,0,2,29
8,3,79,0,0,3,27,0,8,35
8,4,97,0,0,5,18,0,10,28
8,5,97,10,1,6,0,10,18,8
8,6,120,10,0,5,23,0,6,29
9,0,46,0,0,5,46,0,0,21
9,1,54,0,0,9,8,0,4,12
9,2,54,40,1,6,0,40,44,4
9,3,82,40,0,8,28,0,1,29
9,4,82,42,1,2,0,2,12,10
9,5,82,63,1,6,0,21,25,4
9,6,90,63,0,7,8,0,7,15
9,7,90,74,1,5,0,11,20,9
9,8,137,74,0,5,47,0,9,56
10,0,0,23,1,7,0,23,26,3
10,1,0,33,1,10,0,10,11,1
10,2,10,33,0,9,10,0,9,19
10,3,37,33,0,8,27,0,7,34
10,4,37,38,1,5,0,5,15,10
10,5,43,38,0,4,6,0,6,12
10,6,43,59,1,7,0,21,29,8
10,7,43,75,1,8,0,16,17,1
10,8,79,75,0,3,36,0,9,45
10,9,97,75,0,7,18,0,8,26
10,10,97,85,1,6,0,10,12,2
10,11,97,108,1,8,0,23,33,10
11,0,0,7,1,3,0,7,17,10
11,1,16,7,0,5,16,0,8,24
11,2,56,7,0,7,40,0,3,43
11,3,56,48,1,3,0,41,51,10
11,4,56,89,1,3,0,41,45,4
11,5,56,133,1,6,0,44,50,6
12,0,16,0,0,5,16,0,5,21
12,1,16,29,1,7,0,29,31,2
12,2,37,29,0,4,21,0,6,27
12,3,37,48,1,7,0,19,23,4
12,4,37,66,1,7,0,18,27,9
12,5,37,124,1,3,0,58,64,6
13,0,5,0,0,10,5,0,6,11
13,1,5,33,1,2,0,33,43,10
13,2,51,33,0,4,46,0,5,51
13,3,87,33,0,3,36,0,2,38
13,4,95,33,0,7,8,0,6,14
13,5,109,33,0,9,14,0,2,16
14,0,13,0,0,5,13,0,8,21
14,1,13,57,1,3,0,57,32,0
14,2,50,57,0,5,37,0,7,44
14,3,50,89,1,2,0,32,39,7
14,4,50,137,1,8,0,48,56,8
15,0,7,0,0,9,7,0,8,15
15,1,7,36,1,5,0,36,44,8
15,2,7,50,1,10,0,14,16,2
15,3,7,114,1,4,0,64,72,8
16,0,22,0,0,9,22,0,1,23
16,1,51,0,0,4,29,0,10,39
16,2,85,0,0,6,34,0,4,38
16,3,93,0,0,6,8,0,10,18
16,4,104,0,0,7,11,0,7,18
17,0,43,0,0,6,43,0,1,44
17,1,49,0,0,7,6,0,7,13
17,2,74,0,0,5,25,0,8,33
17,3,74,18,1,9,0,18,22,4
17,4,74,37,1,5,0,19,29,10
17,5,94,37,0,8,20,0,3,23
17,6,94,45,1,12,0,8,16,8
17,7,94,49,1,10,0,4,14,10
17,8,120,49,0,8,26,0,1,27
18,0,28,0,0,5,28,0,6,34
18,1,45,0,0,5,17,0,3,20
18,2,58,0,0,7,13,0,6,19
18,3,79,0,0,7,21,0,1,22
18,4,101,0,0,6,22,0,5,27
19,0,36,0,0,8,36,0,0,11
19,1,58,0,0,4,22,0,10,32
19,2,58,23,1,5,0,23,24,1
19,3,58,47,1,2,0,24,32,8
19,4,75,47,0,6,17,0,3,20
19,5,85,47,0,7,10,0,4,14
19,6,85,58,1,6,0,11,21,10
19,7,143,58,0,4,58,0,7,65
