Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,6.53E-5,2.9371259
0,0,1,75.0,14.0,4.67E-5,2.6983031
0,0,2,46.0,9.0,5.66E-5,2.4735835
0,1,0,57.0,60.0,4.63E-5,3.6843839
0,1,1,43.0,30.0,5.27E-5,3.2051515
0,1,2,40.0,21.0,5.7E-5,2.9353649
0,1,3,40.0,21.0,5.68E-5,2.7100566
0,1,4,0.0,1.0,0.0,2.2104842
0,2,0,46.0,49.0,5.52E-5,3.3902145
0,2,1,39.0,42.0,5.69E-5,3.0832853
0,2,2,31.0,16.0,5.66E-5,2.5281304
0,2,3,11.0,13.0,8.2E-5,2.3672047
0,2,4,11.0,17.0,8.5E-5,2.2051687
0,2,5,6.0,0.0,1.253E-4,0.0
0,3,0,59.0,71.0,4.39E-5,3.7425314
0,3,1,32.0,68.0,7.04E-5,3.5087333
0,3,2,26.0,38.0,7.25E-5,3.3873519
0,3,3,18.0,13.0,8.88E-5,2.7957869
0,3,4,3.0,12.0,1.576E-4,2.2767033
0,4,0,39.0,42.0,5.56E-5,3.7879125
0,4,1,39.0,42.0,9.87E-5,3.5795997
0,4,2,37.0,37.0,8.25E-5,3.4706864
0,4,3,37.0,41.0,7.99E-5,3.1195499
0,4,4,34.0,22.0,7.71E-5,2.8594037
0,4,5,32.0,22.0,5.79E-5,2.4713431
0,4,6,32.0,7.0,5.85E-5,2.141478
1,0,0,49.0,62.0,5.94E-5,3.6680709
1,0,1,41.0,61.0,5.91E-5,3.3436549
1,0,2,39.0,63.0,5.63E-5,3.1047052
1,0,3,34.0,59.0,5.61E-5,3.1471361
1,0,4,34.0,36.0,5.78E-5,2.8331269
1,0,5,26.0,33.0,6.82E-5,2.6811945
1,0,6,26.0,17.0,7.79E-5,2.3290172
1,0,7,21.0,5.0,7.49E-5,1.6939681
1,1,0,50.0,39.0,5.64E-5,3.8580977
1,1,1,50.0,32.0,5.57E-5,3.7968396
1,1,2,48.0,34.0,1.295E-4,3.4725215
1,1,3,20.0,25.0,7.85E-5,3.1105196
1,1,4,12.0,25.0,1.406E-4,2.9263931
1,1,5,0.0,7.0,0.0,2.6500733
1,2,0,29.0,35.0,5.48E-5,3.5452418
1,2,1,24.0,42.0,6.01E-5,3.5266246
1,2,2,21.0,42.0,5.83E-5,3.5576126
1,2,3,14.0,18.0,8.04E-5,3.0464245
1,2,4,3.0,0.0,1.405E-4,0.0
1,3,0,55.0,55.0,4.49E-5,3.4479563
1,3,1,53.0,27.0,4.53E-5,2.9173976
1,3,2,50.0,30.0,4.38E-5,2.7512911
1,3,3,43.0,30.0,4.48E-5,2.6538302
1,3,4,0.0,0.0,0.0,2.4878861
1,4,0,62.0,45.0,4.49E-5,3.5078882
1,4,1,57.0,48.0,4.55E-5,3.3587363
1,4,2,50.0,39.0,4.84E-5,3.2160807
1,4,3,50.0,30.0,4.69E-5,3.0273982
1,4,4,49.0,25.0,4.69E-5,2.7599406
1,4,5,48.0,25.0,4.99E-5,2.6441741
1,4,6,23.0,25.0,5.82E-5,2.3360123
1,4,7,23.0,25.0,5.76E-5,2.2441536
1,4,8,7.0,0.0,9.14E-5,0.0
1,5,0,54.0,72.0,4.62E-5,3.6543834
1,5,1,30.0,47.0,5.43E-5,3.4621781
1,5,2,9.0,42.0,1.223E-4,3.2821
1,6,0,18.0,63.0,1.124E-4,3.7192799
1,6,1,13.0,54.0,1.244E-4,3.6632454
1,6,2,13.0,32.0,1.212E-4,3.4504548
1,6,3,5.0,0.0,1.599E-4,0.0
1,7,0,36.0,30.0,5.36E-5,3.4023501
1,7,1,32.0,35.0,5.51E-5,3.319073
1,7,2,32.0,35.0,5.65E-5,3.2815859
1,7,3,0.0,10.0,0.0,2.5521546
2,0,0,11.0,44.0,1.133E-4,3.4065226
2,0,1,11.0,44.0,8.34E-5,3.113577
2,0,2,11.0,44.0,8.79E-5,2.9968825
2,0,3,11.0,14.0,8.64E-5,2.5601583
2,0,4,7.0,0.0,1.215E-4,0.0
2,1,0,55.0,33.0,1.029E-4,3.2573938
2,1,1,0.0,4.0,0.0,2.6502212
2,2,0,17.0,50.0,8.45E-5,3.6901515
2,2,1,12.0,46.0,8.43E-5,3.5332103
2,2,2,9.0,0.0,9.22E-5,0.0
2,3,0,32.0,31.0,6.05E-5,3.3950779
2,3,1,30.0,15.0,7.76E-5,3.0924763
2,3,2,30.0,16.0,5.83E-5,2.7146298
2,3,3,0.0,6.0,0.0,2.2898098
2,4,0,53.0,62.0,4.72E-5,3.5826314
2,4,1,49.0,35.0,5.16E-5,3.3014647
2,4,2,47.0,34.0,5.03E-5,3.1543612
2,4,3,25.0,30.0,5.91E-5,2.8188927
2,4,4,25.0,30.0,6.17E-5,2.8794421
2,4,5,21.0,8.0,6.28E-5,2.1759653
2,5,0,78.0,60.0,4.45E-5,3.6453504
2,5,1,69.0,58.0,4.67E-5,3.7133676
2,5,2,60.0,58.0,4.64E-5,3.6177501
2,5,3,48.0,56.0,5.35E-5,3.3613651
2,5,4,40.0,56.0,5.67E-5,3.1411004
2,5,5,36.0,55.0,5.57E-5,3.0265685
2,5,6,33.0,49.0,5.9E-5,2.807785
2,5,7,32.0,26.0,5.94E-5,2.3986524
2,5,8,13.0,19.0,8.43E-5,2.2078446
2,5,9,13.0,19.0,8.25E-5,1.8063542
2,5,10,13.0,19.0,8.28E-5,1.8149757
2,5,11,0.0,19.0,1.976E-4,1.6267918
2,6,0,66.0,36.0,4.88E-5,3.410144
2,6,1,36.0,35.0,6.03E-5,3.1449338
2,6,2,34.0,36.0,5.96E-5,3.067599
2,6,3,29.0,24.0,6.21E-5,3.2415416
2,6,4,29.0,26.0,6.37E-5,3.015615
2,6,5,26.0,3.0,6.37E-5,2.3639978
3,0,0,66.0,71.0,5.46E-5,3.5907901
3,0,1,48.0,71.0,5.8E-5,3.4316312
3,0,2,48.0,41.0,5.66E-5,3.1795815
3,0,3,48.0,43.0,5.67E-5,2.8777573
3,0,4,45.0,35.0,5.45E-5,2.6498633
3,0,5,43.0,30.0,5.78E-5,2.4426561
3,0,6,36.0,28.0,5.78E-5,2.3121362
3,0,7,13.0,9.0,8.2E-5,1.9198726
3,1,0,81.0,37.0,4.35E-5,4.006577
3,1,1,77.0,34.0,8.81E-5,3.8743029
3,1,2,0.0,4.0,0.0,2.8333193
3,2,0,70.0,33.0,4.33E-5,3.3299149
3,2,1,64.0,28.0,4.58E-5,3.2221462
3,2,2,62.0,28.0,4.72E-5,3.1164677
3,2,3,56.0,29.0,4.47E-5,2.973611
3,2,4,30.0,30.0,5.49E-5,2.7586726
3,2,5,29.0,30.0,5.76E-5,2.7801631
3,2,6,25.0,9.0,6.34E-5,2.154018
3,3,0,64.0,54.0,4.56E-5,3.7526216
3,3,1,58.0,60.0,4.58E-5,3.5925783
3,3,2,34.0,63.0,5.89E-5,3.5835059
3,3,3,26.0,33.0,5.94E-5,2.9943945
3,3,4,26.0,27.0,5.53E-5,2.9794741
3,3,5,22.0,31.0,5.49E-5,2.9973915
3,3,6,8.0,31.0,1.023E-4,2.9010566
3,4,0,51.0,57.0,4.16E-5,3.7497159
3,4,1,49.0,56.0,4.56E-5,3.5664087
3,4,2,49.0,51.0,4.87E-5,3.3185623
3,4,3,27.0,35.0,5.33E-5,3.006035
3,4,4,11.0,35.0,8.15E-5,2.8820942
3,4,5,1.0,0.0,1.607E-4,0.0
3,5,0,58.0,60.0,4.54E-5,3.5126601
3,5,1,56.0,62.0,4.65E-5,3.4167519
3,5,2,49.0,56.0,4.61E-5,3.3847336
3,5,3,45.0,53.0,4.67E-5,3.1167922
3,5,4,45.0,24.0,4.73E-5,2.7207662
3,5,5,45.0,19.0,4.76E-5,2.4418494
3,5,6,24.0,11.0,5.76E-5,2.1216895
3,5,7,24.0,11.0,5.84E-5,2.011483
3,5,8,14.0,11.0,7.4E-5,1.7856203
3,5,9,0.0,8.0,0.0,1.578758
3,6,0,58.0,50.0,4.5E-5,3.3366961
3,6,1,50.0,43.0,4.65E-5,3.3884773
3,6,2,48.0,42.0,4.6E-5,3.0925712
3,6,3,30.0,46.0,5.46E-5,3.0721871
3,6,4,27.0,20.0,5.69E-5,2.8063901
3,6,5,27.0,22.0,5.92E-5,2.6830422
3,6,6,21.0,16.0,5.92E-5,2.4876409
3,6,7,21.0,13.0,5.95E-5,2.1352107
3,6,8,19.0,0.0,5.75E-5,1.5302176
4,0,0,46.0,71.0,5.81E-5,3.6777792
4,0,1,43.0,72.0,5.76E-5,3.4692714
4,0,2,17.0,53.0,8.96E-5,3.2422564
4,0,3,13.0,49.0,8.42E-5,3.1421981
4,0,4,8.0,0.0,1.243E-4,0.0
4,1,0,76.0,20.0,4.57E-5,3.2464557
4,1,1,76.0,20.0,4.69E-5,3.0728896
4,1,2,54.0,20.0,5.56E-5,3.0950465
4,1,3,52.0,17.0,5.66E-5,2.828452
4,1,4,0.0,10.0,0.0,2.4085828
4,2,0,40.0,71.0,5.58E-5,3.486635
4,2,1,32.0,73.0,6.24E-5,3.6405965
4,2,2,28.0,67.0,5.62E-5,3.5003928
4,2,3,16.0,60.0,7.49E-5,3.4497431
4,2,4,16.0,34.0,8.83E-5,3.0523259
4,2,5,16.0,16.0,8.59E-5,2.4137472
4,2,6,12.0,16.0,1.104E-4,2.346237
4,2,7,12.0,8.0,1.196E-4,2.1402188
4,3,0,27.0,74.0,5.39E-5,3.6263096
4,3,1,11.0,50.0,8.22E-5,3.2504628
4,3,2,11.0,24.0,8.19E-5,2.8510117
4,3,3,11.0,16.0,8.25E-5,2.6682323
4,3,4,5.0,16.0,1.149E-4,2.3056251
4,4,0,40.0,33.0,5.38E-5,3.2776624
4,4,1,40.0,33.0,5.74E-5,3.1025864
4,4,2,40.0,25.0,5.75E-5,2.9780496
4,4,3,18.0,19.0,8.16E-5,2.6014612
4,4,4,7.0,0.0,1.556E-4,0.0
4,5,0,7.0,64.0,1.724E-4,3.6947775
5,0,0,63.0,73.0,4.37E-5,3.6662239
5,0,1,57.0,67.0,4.78E-5,3.6359651
5,0,2,39.0,67.0,5.36E-5,3.5807375
5,0,3,39.0,38.0,5.77E-5,3.1872789
5,0,4,16.0,35.0,7.41E-5,3.0845545
5,0,5,13.0,30.0,1.075E-4,2.9424782
5,0,6,13.0,30.0,1.216E-4,2.7305666
5,0,7,13.0,30.0,1.212E-4,2.6383653
5,0,8,13.0,26.0,1.203E-4,2.2189531
5,0,9,12.0,20.0,1.181E-4,2.0543982
5,0,10,12.0,24.0,8.64E-5,1.9437299
5,0,11,8.0,0.0,1.271E-4,0.0
5,1,0,70.0,59.0,4.52E-5,3.6318309
5,1,1,40.0,50.0,5.16E-5,3.547461
5,1,2,40.0,32.0,6.34E-5,3.5342358
5,1,3,39.0,33.0,5.59E-5,3.342265
5,1,4,30.0,26.0,1.088E-4,3.0948361
5,1,5,29.0,16.0,7.37E-5,2.9150845
5,1,6,24.0,17.0,7.99E-5,3.0024319
5,1,7,20.0,16.0,7.73E-5,2.9775201
5,1,8,20.0,16.0,7.74E-5,2.7366034
5,1,9,7.0,15.0,1.136E-4,2.4767916
5,2,0,49.0,48.0,5.25E-5,3.6583168
5,2,1,42.0,51.0,5.73E-5,3.5410711
5,2,2,14.0,25.0,1.133E-4,3.1369726
5,2,3,13.0,21.0,1.222E-4,2.9944493
5,2,4,13.0,15.0,1.176E-4,2.8273499
5,2,5,13.0,15.0,1.18E-4,2.5256813
5,2,6,7.0,0.0,1.593E-4,0.0
5,3,0,31.0,31.0,7.03E-5,3.6200927
5,3,1,27.0,36.0,7.33E-5,3.4299884
5,3,2,0.0,7.0,0.0,2.726533
5,4,0,61.0,75.0,4.56E-5,3.5096971
5,4,1,56.0,75.0,4.76E-5,3.4037194
5,4,2,49.0,50.0,4.89E-5,3.1352156
5,4,3,48.0,48.0,4.89E-5,3.0427346
5,4,4,28.0,18.0,1.003E-4,2.6527959
5,4,5,28.0,22.0,6.82E-5,2.2323135
5,4,6,28.0,1.0,5.78E-5,1.7739716
5,5,0,25.0,36.0,1.026E-4,3.7877085
5,5,1,21.0,33.0,1.039E-4,3.5531344
5,5,2,21.0,33.0,1.06E-4,3.4880678
5,5,3,17.0,33.0,1.129E-4,3.3550451
5,5,4,13.0,33.0,9.41E-5,3.4503167
5,5,5,13.0,29.0,8.3E-5,3.2981759
5,5,6,13.0,29.0,8.26E-5,3.1134674
5,5,7,13.0,26.0,8.29E-5,2.9625171
5,5,8,8.0,17.0,1.219E-4,2.9004791
5,6,0,32.0,57.0,7.79E-5,3.296153
5,6,1,26.0,51.0,8.34E-5,3.3477559
5,6,2,17.0,51.0,1.085E-4,3.0836913
5,6,3,17.0,47.0,1.229E-4,2.9433716
5,6,4,10.0,0.0,1.319E-4,0.0
5,7,0,41.0,60.0,5.7E-5,3.5925744
5,7,1,39.0,32.0,9.13E-5,3.2849996
5,7,2,35.0,28.0,5.55E-5,3.0467927
5,7,3,12.0,28.0,1.141E-4,3.0134695
5,7,4,7.0,23.0,1.654E-4,2.8334333
5,8,0,38.0,41.0,5.6E-5,3.4023387
5,8,1,38.0,46.0,5.91E-5,3.1770702
5,8,2,34.0,18.0,5.63E-5,2.9126009
5,8,3,12.0,15.0,8.75E-5,2.4905094
5,8,4,7.0,0.0,1.209E-4,0.0
6,0,0,35.0,69.0,5.35E-5,3.4080872
6,0,1,32.0,40.0,7.14E-5,3.2279434
6,0,2,26.0,43.0,7.18E-5,3.1325525
6,0,3,14.0,23.0,8.05E-5,2.7649287
6,0,4,14.0,15.0,8.27E-5,2.5183934
6,0,5,13.0,15.0,8.2E-5,2.3643573
6,0,6,13.0,15.0,8.46E-5,2.2494969
6,0,7,13.0,6.0,8.87E-5,2.0291332
6,1,0,49.0,65.0,7.43E-5,3.5543363
6,1,1,42.0,37.0,7.53E-5,3.291301
6,1,2,33.0,37.0,7.58E-5,3.0629212
6,1,3,33.0,30.0,7.57E-5,2.7868506
6,1,4,33.0,27.0,7.58E-5,2.576407
6,1,5,32.0,20.0,7.35E-5,2.2303483
6,1,6,0.0,10.0,0.0,2.0757232
6,2,0,47.0,42.0,5.53E-5,3.7956724
6,2,1,45.0,40.0,5.88E-5,3.6375895
6,2,2,39.0,40.0,5.72E-5,3.4907974
6,2,3,37.0,40.0,5.85E-5,3.2435843
6,2,4,35.0,42.0,5.58E-5,3.0560584
6,2,5,33.0,16.0,5.47E-5,2.6930704
6,2,6,13.0,16.0,7.37E-5,2.5912219
6,2,7,8.0,0.0,1.12E-4,0.0
6,3,0,31.0,42.0,5.59E-5,3.6392349
6,3,1,26.0,38.0,5.51E-5,3.3239134
6,3,2,11.0,40.0,8.38E-5,3.1675162
6,3,3,11.0,44.0,8.19E-5,3.225092
6,3,4,11.0,33.0,8.27E-5,3.1369146
6,3,5,9.0,40.0,1.233E-4,3.0896846
6,4,0,64.0,39.0,4.23E-5,3.3275291
6,4,1,37.0,35.0,5.5E-5,3.0902306
6,4,2,31.0,6.0,5.62E-5,2.3493691
6,5,0,63.0,45.0,5.32E-5,3.391077
6,5,1,63.0,45.0,4.53E-5,3.4404599
6,5,2,60.0,45.0,4.44E-5,3.4513282
6,5,3,60.0,40.0,4.99E-5,3.2323732
6,5,4,60.0,37.0,4.86E-5,3.0049128
6,5,5,48.0,37.0,5.44E-5,2.8144096
6,5,6,42.0,37.0,5.83E-5,2.6085413
6,5,7,19.0,29.0,8.15E-5,2.3519607
6,5,8,19.0,29.0,8.55E-5,2.1006856
6,5,9,17.0,15.0,8.23E-5,1.8536513
6,5,10,0.0,9.0,0.0,1.580816
6,6,0,32.0,36.0,5.47E-5,3.4301346
6,6,1,26.0,32.0,5.84E-5,3.3036562
6,6,2,15.0,31.0,8.75E-5,3.033612
6,6,3,15.0,31.0,9.11E-5,2.9389325
6,6,4,6.0,0.0,1.28E-4,0.0
6,7,0,63.0,43.0,4.66E-5,3.5230427
6,7,1,59.0,36.0,4.57E-5,3.284622
6,7,2,33.0,35.0,5.47E-5,3.2901604
6,7,3,29.0,40.0,5.67E-5,3.0032996
6,7,4,29.0,32.0,5.58E-5,3.1203048
6,7,5,0.0,6.0,0.0,2.2384538
6,8,0,42.0,33.0,5.38E-5,3.1799253
6,8,1,40.0,24.0,5.76E-5,2.9704711
6,8,2,20.0,24.0,7.8E-5,2.7855554
6,8,3,12.0,27.0,1.216E-4,2.570286
6,8,4,3.0,0.0,1.952E-4,0.0
6,9,0,73.0,74.0,4.82E-5,3.6514006
6,9,1,67.0,74.0,4.59E-5,3.6919457
6,9,2,65.0,69.0,4.66E-5,3.595448
6,9,3,37.0,39.0,5.58E-5,3.2769717
6,9,4,19.0,42.0,8.13E-5,3.1061576
6,9,5,16.0,17.0,8.52E-5,2.831068
6,9,6,2.0,18.0,1.674E-4,2.5525991
7,0,0,40.0,41.0,8.19E-5,3.4619314
7,0,1,36.0,33.0,5.57E-5,3.2721208
7,0,2,36.0,38.0,9.15E-5,2.8815751
7,0,3,31.0,12.0,5.72E-5,2.3665997
7,0,4,28.0,12.0,5.96E-5,2.1447258
7,0,5,25.0,11.0,5.97E-5,2.2280412
7,0,6,25.0,4.0,6.07E-5,1.660432
7,1,0,56.0,37.0,4.42E-5,3.4575595
7,1,1,54.0,38.0,4.46E-5,3.2516114
7,1,2,52.0,29.0,4.57E-5,2.9880213
7,1,3,50.0,30.0,4.58E-5,2.7217534
7,1,4,50.0,18.0,4.56E-5,2.6870994
7,1,5,0.0,2.0,0.0,2.3270864
7,2,0,39.0,74.0,6.1E-5,3.6965545
7,2,1,36.0,46.0,5.73E-5,3.3306153
7,2,2,36.0,40.0,5.97E-5,3.2262971
7,2,3,36.0,18.0,6.35E-5,2.7743651
7,2,4,32.0,8.0,5.94E-5,2.1320283
7,3,0,34.0,29.0,5.65E-5,3.1795992
7,3,1,33.0,16.0,5.61E-5,3.3004525
7,3,2,0.0,9.0,0.0,2.683933
8,0,0,49.0,67.0,5.02E-5,3.6037033
8,0,1,47.0,51.0,4.58E-5,3.571724
8,0,2,47.0,43.0,4.97E-5,3.539006
8,0,3,47.0,43.0,4.71E-5,3.4171669
8,0,4,35.0,43.0,5.47E-5,3.0808447
8,0,5,35.0,40.0,5.91E-5,2.8439598
8,0,6,35.0,34.0,5.69E-5,2.5405234
8,0,7,15.0,34.0,8.03E-5,2.2884293
8,0,8,2.0,0.0,2.042E-4,0.0
8,1,0,42.0,43.0,5.77E-5,3.4926553
8,1,1,39.0,33.0,5.67E-5,3.4951646
8,1,2,34.0,28.0,5.67E-5,3.3690231
8,1,3,16.0,26.0,9.14E-5,3.1790347
8,1,4,9.0,22.0,1.139E-4,2.8557507
8,2,0,48.0,63.0,5.11E-5,3.6188912
8,2,1,23.0,46.0,8.27E-5,3.478668
8,2,2,7.0,0.0,1.374E-4,0.0
8,3,0,43.0,66.0,5.36E-5,3.7182744
8,3,1,35.0,74.0,5.73E-5,3.5049328
8,3,2,30.0,74.0,5.52E-5,3.6328614
8,3,3,28.0,45.0,5.74E-5,3.2945353
8,3,4,16.0,21.0,7.98E-5,2.7742891
8,3,5,0.0,3.0,0.0,2.3462709
8,4,0,25.0,39.0,1.227E-4,3.5057412
8,4,1,20.0,30.0,1.769E-4,3.3114183
8,4,2,13.0,30.0,1.981E-4,2.9221726
8,4,3,10.0,0.0,1.666E-4,0.0
9,0,0,71.0,44.0,4.4E-5,3.6360017
9,0,1,67.0,42.0,4.64E-5,3.4732243
9,0,2,37.0,42.0,5.56E-5,3.16012
9,0,3,33.0,13.0,5.71E-5,2.5060416
9,0,4,33.0,11.0,6.15E-5,2.2771649
9,0,5,18.0,10.0,7.47E-5,1.9271525
9,1,0,61.0,61.0,4.7E-5,3.6544018
9,1,1,31.0,45.0,5.34E-5,3.4868857
9,1,2,28.0,30.0,5.39E-5,3.1747351
9,1,3,21.0,38.0,5.52E-5,2.8442139
9,1,4,21.0,32.0,5.35E-5,2.9485266
9,1,5,15.0,26.0,7.01E-5,3.0146892
9,1,6,13.0,23.0,7.36E-5,2.858363
9,1,7,9.0,16.0,9.73E-5,2.8748601
9,2,0,58.0,57.0,4.54E-5,3.4325627
9,2,1,54.0,64.0,4.64E-5,3.3464973
9,2,2,40.0,25.0,9.15E-5,3.087397
9,2,3,38.0,16.0,5.89E-5,2.4067808
