Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,76,1,5,0,39,40,1
0,2,11,76,0,6,11,0,6,17
0,3,20,76,0,5,9,0,3,12
0,4,20,101,1,7,0,25,32,7
1,0,0,16,1,8,0,16,21,5
1,1,0,21,1,6,0,5,12,7
1,2,15,21,0,5,15,0,3,18
1,3,15,89,1,4,0,68,43,0
1,4,33,89,0,9,18,0,7,25
1,5,66,89,0,3,33,0,9,42
1,6,93,89,0,4,27,0,5,32
1,7,93,111,1,4,0,22,32,10
2,0,7,0,0,5,7,0,7,14
2,1,7,51,1,2,0,51,55,4
2,2,44,51,0,3,37,0,9,46
2,3,44,75,1,4,0,24,30,6
2,4,44,88,1,6,0,13,21,8
2,5,88,88,0,12,44,0,0,19
2,6,88,111,1,6,0,23,26,3
3,0,0,4,1,8,0,4,13,9
3,1,0,77,1,3,0,73,77,4
3,2,0,93,1,7,0,16,25,9
3,3,23,93,0,7,23,0,8,31
3,4,57,93,0,6,34,0,1,35
3,5,57,99,1,10,0,6,14,8
3,6,57,143,1,9,0,44,19,0
4,0,41,0,0,5,41,0,8,49
4,1,41,42,1,5,0,42,52,10
4,2,41,46,1,8,0,4,12,8
4,3,52,46,0,5,11,0,5,16
4,4,64,46,0,5,12,0,7,19
4,5,121,46,0,1,57,0,7,64
5,0,16,0,0,12,16,0,8,24
5,1,24,0,0,10,8,0,7,15
5,2,32,0,0,7,8,0,7,15
5,3,32,20,1,3,0,20,27,7
5,4,32,47,1,7,0,27,28,1
5,5,41,47,0,9,9,0,8,17
5,6,78,47,0,5,37,0,10,47
5,7,94,47,0,5,16,0,7,23
5,8,102,47,0,5,8,0,7,15
6,0,0,7,1,8,0,7,13,6
6,1,0,29,1,7,0,22,32,10
6,2,8,29,0,8,8,0,8,16
6,3,39,29,0,6,31,0,9,40
6,4,39,54,1,3,0,25,31,6
6,5,39,62,1,11,0,8,17,9
6,6,64,62,0,5,25,0,6,31
6,7,64,85,1,6,0,23,29,6
6,8,88,85,0,5,24,0,3,27
6,9,104,85,0,7,16,0,2,18
7,0,0,21,1,7,0,21,25,4
7,1,0,69,1,6,0,48,50,2
7,2,0,93,1,5,0,24,32,8
7,3,0,117,1,3,0,24,33,9
8,0,32,0,0,9,32,0,2,34
8,1,45,0,0,5,13,0,9,22
8,2,84,0,0,3,39,0,7,46
8,3,84,13,1,6,0,13,16,3
8,4,104,13,0,4,20,0,10,30
9,0,0,8,1,6,0,8,18,10
9,1,7,8,0,8,7,0,9,16
9,2,7,40,1,5,0,32,34,2
9,3,53,40,0,5,46,0,7,53
9,4,53,83,1,1,0,43,53,10
9,5,63,83,0,12,10,0,2,12
9,6,75,83,0,6,12,0,7,19
9,7,79,83,0,8,4,0,7,11
9,8,79,122,1,5,0,39,48,9
10,0,0,26,1,5,0,26,28,2
10,1,14,26,0,9,14,0,7,21
10,2,14,39,1,8,0,13,20,7
10,3,27,39,0,6,13,0,8,21
10,4,27,44,1,6,0,5,15,10
10,5,36,44,0,6,9,0,3,12
10,6,47,44,0,8,11,0,8,19
10,7,47,70,1,8,0,26,34,8
10,8,104,70,0,3,57,0,6,63
11,0,0,15,1,8,0,15,25,10
11,1,0,20,1,9,0,5,13,8
11,2,0,24,1,11,0,4,13,9
11,3,0,43,1,6,0,19,28,9
11,4,4,43,0,6,4,0,10,14
11,5,4,57,1,7,0,14,22,8
11,6,4,120,1,3,0,63,70,7
12,0,0,24,1,3,0,24,34,10
12,1,0,43,1,2,0,19,26,7
12,2,29,43,0,3,29,0,2,31
12,3,37,43,0,6,8,0,8,16
12,4,37,70,1,6,0,27,32,5
12,5,37,95,1,4,0,25,34,9
12,6,49,95,0,8,12,0,8,20
12,7,49,104,1,6,0,9,13,4
13,0,0,48,1,3,0,48,57,9
13,1,0,81,1,2,0,33,43,10
13,2,0,85,1,9,0,4,14,10
13,3,3,85,0,8,3,0,10,13
13,4,3,116,1,5,0,31,38,7
14,0,0,21,1,5,0,21,28,7
14,1,7,21,0,7,7,0,9,16
14,2,16,21,0,9,9,0,9,18
14,3,16,48,1,3,0,27,36,9
14,4,16,78,1,8,0,30,39,9
14,5,43,78,0,5,27,0,7,34
14,6,43,102,1,5,0,24,30,6
15,0,0,12,1,7,0,12,21,9
15,1,0,35,1,7,0,23,31,8
15,2,0,40,1,6,0,5,14,9
15,3,0,97,1,3,0,57,65,8
15,4,0,115,1,6,0,18,26,8
16,0,10,0,0,6,10,0,1,11
16,1,34,0,0,6,24,0,7,31
16,2,63,0,0,6,29,0,10,39
16,3,69,0,0,9,6,0,7,13
16,4,78,0,0,9,9,0,7,16
16,5,78,10,1,6,0,10,19,9
16,6,78,24,1,4,0,14,22,8
16,7,78,38,1,5,0,14,24,10
16,8,78,60,1,2,0,22,30,8
16,9,79,60,0,5,1,0,10,11
16,10,79,62,1,7,0,2,12,10
16,11,115,62,0,5,36,0,10,46
17,0,0,31,1,5,0,31,41,10
17,1,0,39,1,9,0,8,18,10
17,2,0,61,1,3,0,22,30,8
17,3,0,71,1,6,0,10,20,10
17,4,0,89,1,6,0,18,28,10
17,5,0,108,1,5,0,19,23,4
18,0,7,0,0,5,7,0,10,17
18,1,12,0,0,12,5,0,9,14
18,2,12,14,1,4,0,14,24,10
18,3,39,14,0,9,27,0,3,30
18,4,74,14,0,6,35,0,2,37
18,5,74,31,1,4,0,17,25,8
18,6,82,31,0,12,8,0,6,14
18,7,119,31,0,2,37,0,8,45
19,0,0,1,1,6,0,1,11,10
19,1,57,1,0,3,57,0,10,67
19,2,57,9,1,6,0,8,17,9
19,3,64,9,0,4,7,0,10,17
19,4,64,27,1,3,0,18,27,9
19,5,64,70,1,9,0,43,18,0
19,6,117,70,0,6,53,0,9,62
