Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,79.0,41.0,1.0622705,2.08E-4
0,0,1,49.0,33.0,0.6120648,1.262E-4
0,0,2,41.0,31.0,0.5258506,9.21E-5
0,0,3,46.0,28.0,0.4720942,7.2E-5
0,0,4,46.0,21.0,0.5141726,9.56E-5
0,0,5,41.0,9.0,0.480288,1.715E-4
0,1,0,66.0,60.0,0.5830154,1.508E-4
0,1,1,56.0,51.0,0.6044031,8.22E-5
0,1,2,56.0,47.0,0.5703582,8.47E-5
0,1,3,57.0,38.0,0.5754395,1.048E-4
0,1,4,57.0,37.0,0.6243483,8.18E-5
0,1,5,56.0,32.0,0.5782874,1.501E-4
0,1,6,32.0,32.0,0.5289166,1.073E-4
0,1,7,30.0,28.0,0.4660782,1.111E-4
0,1,8,32.0,28.0,0.4173491,1.048E-4
0,1,9,0.0,10.0,0.0,2.077E-4
0,2,0,46.0,49.0,0.573467,8.98E-5
0,2,1,39.0,42.0,0.5607713,8.93E-5
0,2,2,39.0,34.0,0.5044311,9.11E-5
0,2,3,19.0,32.0,0.485817,7.46E-5
0,2,4,19.0,28.0,0.4293711,1.52E-4
0,2,5,26.0,14.0,0.4247525,2.239E-4
0,2,6,18.0,14.0,0.4207923,1.452E-4
0,2,7,12.0,10.0,0.3491882,2.346E-4
0,3,0,62.0,63.0,0.6175246,1.037E-4
0,3,1,63.0,62.0,0.5838679,6.76E-5
0,3,2,68.0,59.0,0.5479318,6.8E-5
0,3,3,63.0,54.0,0.5293214,6.57E-5
0,3,4,63.0,31.0,0.4843294,7.96E-5
0,3,5,63.0,12.0,0.4376365,1.212E-4
0,3,6,49.0,12.0,0.411962,1.537E-4
0,3,7,53.0,12.0,0.3875377,2.0E-4
0,3,8,0.0,7.0,0.0,1.98E-4
1,0,0,49.0,62.0,0.5701221,6.23E-5
1,0,1,41.0,59.0,0.5497802,5.86E-5
1,0,2,41.0,56.0,0.5450117,1.099E-4
1,0,3,25.0,51.0,0.4848216,6.14E-5
1,0,4,2.0,0.0,0.3995267,0.0
1,1,0,58.0,48.0,0.5613585,7.8E-5
1,1,1,51.0,47.0,0.5392815,9.4E-5
1,1,2,49.0,19.0,0.4748933,1.041E-4
1,1,3,0.0,1.0,0.0,2.229E-4
1,2,0,35.0,59.0,0.5574135,8.01E-5
1,2,1,35.0,29.0,0.5576172,7.36E-5
1,2,2,35.0,26.0,0.5156827,7.44E-5
1,2,3,40.0,12.0,0.494844,1.039E-4
1,2,4,32.0,12.0,0.534823,1.421E-4
1,2,5,29.0,12.0,0.529085,1.923E-4
1,2,6,22.0,11.0,0.4946336,1.269E-4
1,2,7,3.0,0.0,0.3630255,0.0
1,3,0,53.0,50.0,0.5746164,9.0E-5
1,3,1,53.0,20.0,0.5145326,1.283E-4
1,3,2,36.0,14.0,0.5377801,1.709E-4
1,3,3,0.0,8.0,0.0,1.527E-4
1,4,0,59.0,61.0,0.565203,9.79E-5
1,4,1,68.0,52.0,0.5610975,5.82E-5
1,4,2,38.0,40.0,0.517901,1.069E-4
1,4,3,15.0,20.0,0.4596273,9.65E-5
1,4,4,12.0,18.0,0.3463701,1.011E-4
1,4,5,12.0,18.0,0.3303576,1.029E-4
1,4,6,6.0,0.0,0.256774,0.0
1,5,0,56.0,71.0,0.6423671,9.96E-5
1,5,1,61.0,67.0,0.5694286,1.024E-4
1,5,2,64.0,61.0,0.5326303,6.53E-5
1,5,3,48.0,53.0,0.5299075,6.49E-5
1,5,4,49.0,53.0,0.4796368,6.31E-5
1,5,5,49.0,30.0,0.4606895,8.04E-5
1,5,6,41.0,30.0,0.4250765,8.63E-5
1,5,7,33.0,30.0,0.4040163,8.18E-5
1,5,8,22.0,30.0,0.4015312,8.29E-5
1,5,9,29.0,30.0,0.3713218,7.57E-5
1,5,10,29.0,23.0,0.343707,7.52E-5
1,5,11,9.0,22.0,0.2598076,1.191E-4
1,6,0,18.0,56.0,0.5110081,6.13E-5
1,6,1,11.0,55.0,0.4192876,6.36E-5
1,6,2,11.0,33.0,0.3756302,7.26E-5
1,6,3,11.0,19.0,0.3863136,9.54E-5
1,6,4,3.0,0.0,0.3343948,0.0
1,7,0,65.0,29.0,0.6083083,8.54E-5
1,7,1,67.0,29.0,0.5710001,1.379E-4
1,7,2,39.0,22.0,0.5936239,1.144E-4
1,7,3,0.0,6.0,0.0,1.039E-4
2,0,0,11.0,42.0,0.5055582,7.43E-5
2,0,1,7.0,0.0,0.3395383,0.0
