Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,68,1,3,0,31,39,8
0,2,13,68,0,5,13,0,10,23
0,3,82,68,0,5,69,0,10,79
0,4,82,72,1,6,0,4,12,8
0,5,106,72,0,5,24,0,10,34
1,0,30,0,0,9,30,0,9,39
1,1,33,0,0,11,3,0,8,11
1,2,41,0,0,5,8,0,3,11
1,3,41,11,1,8,0,11,19,8
1,4,66,11,0,9,25,0,7,32
1,5,66,38,1,5,0,27,28,1
1,6,122,38,0,3,56,0,3,59
2,0,7,0,0,7,7,0,7,14
2,1,7,55,1,2,0,55,59,4
2,2,53,55,0,2,46,0,8,54
2,3,56,55,0,6,3,0,10,13
2,4,56,86,1,7,0,31,36,5
2,5,72,86,0,6,16,0,4,20
2,6,72,101,1,6,0,15,20,5
3,0,9,0,0,8,9,0,6,15
3,1,9,44,1,4,0,44,53,9
3,2,9,60,1,7,0,16,25,9
3,3,25,60,0,8,16,0,7,23
3,4,46,60,0,7,21,0,8,29
3,5,46,91,1,9,0,31,34,3
3,6,72,91,0,5,26,0,9,35
3,7,114,91,0,6,42,0,7,49
4,0,33,0,0,6,33,0,4,37
4,1,33,39,1,5,0,39,49,10
4,2,33,44,1,7,0,5,11,6
4,3,33,56,1,6,0,12,22,10
4,4,33,79,1,4,0,23,33,10
4,5,51,79,0,8,18,0,4,22
4,6,67,79,0,5,16,0,7,23
4,7,67,90,1,8,0,11,18,7
4,8,97,90,0,4,30,0,10,40
4,9,104,90,0,1,7,0,9,16
5,0,0,28,1,10,0,28,32,4
5,1,0,30,1,10,0,2,12,10
5,2,0,44,1,6,0,14,15,1
5,3,0,64,1,3,0,20,27,7
5,4,0,70,1,6,0,6,15,9
5,5,27,70,0,4,27,0,6,33
5,6,46,70,0,7,19,0,10,29
5,7,66,70,0,5,20,0,9,29
5,8,89,70,0,8,23,0,10,33
5,9,98,70,0,7,9,0,8,17
5,10,126,70,0,8,28,0,7,35
6,0,0,12,1,7,0,12,20,8
6,1,0,23,1,10,0,11,19,8
6,2,9,23,0,7,9,0,9,18
6,3,52,23,0,4,43,0,5,48
6,4,52,43,1,8,0,20,24,4
6,5,56,43,0,11,4,0,9,13
6,6,56,55,1,6,0,12,20,8
6,7,56,71,1,8,0,16,26,10
6,8,56,74,1,4,0,3,13,10
6,9,64,74,0,10,8,0,4,12
6,10,67,74,0,7,3,0,9,12
6,11,91,74,0,8,24,0,2,26
6,12,133,74,0,2,42,0,10,52
7,0,0,11,1,7,0,11,17,6
7,1,0,20,1,11,0,9,18,9
7,2,0,36,1,4,0,16,18,2
7,3,0,64,1,2,0,28,37,9
7,4,15,64,0,3,15,0,8,23
7,5,15,72,1,10,0,8,15,7
7,6,56,72,0,7,41,0,4,45
7,7,56,74,1,9,0,2,12,10
7,8,56,90,1,6,0,16,17,1
7,9,56,121,1,6,0,31,34,3
8,0,19,0,0,10,19,0,6,25
8,1,19,30,1,4,0,30,36,6
8,2,54,30,0,9,35,0,8,43
8,3,97,30,0,3,43,0,2,45
8,4,116,30,0,4,19,0,10,29
9,0,0,28,1,5,0,28,33,5
9,1,0,75,1,6,0,47,48,1
9,2,0,80,1,4,0,5,14,9
9,3,0,85,1,8,0,5,12,7
9,4,0,128,1,1,0,43,53,10
10,0,24,0,0,8,24,0,6,30
10,1,47,0,0,8,23,0,7,30
10,2,47,13,1,10,0,13,17,4
10,3,47,24,1,8,0,11,21,10
10,4,89,24,0,6,42,0,5,47
10,5,98,24,0,6,9,0,3,12
10,6,107,24,0,10,9,0,10,19
11,0,0,26,1,9,0,26,27,1
11,1,39,26,0,6,39,0,6,45
11,2,82,26,0,6,43,0,10,53
11,3,82,44,1,6,0,18,27,9
