Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,42.0,1.5720838,6.34E-5
0,0,1,48.0,34.0,1.5152056,6.01E-5
0,0,2,43.0,29.0,1.4118809,5.94E-5
0,0,3,46.0,28.0,1.3998003,6.26E-5
0,0,4,46.0,21.0,1.2777016,7.74E-5
0,0,5,46.0,17.0,1.3014319,7.71E-5
0,0,6,36.0,17.0,1.2478739,7.85E-5
0,0,7,31.0,17.0,1.1377167,8.19E-5
0,0,8,35.0,17.0,1.0486661,7.86E-5
0,0,9,34.0,8.0,1.0197727,9.99E-5
0,1,0,57.0,60.0,1.5883664,5.75E-5
0,1,1,52.0,52.0,1.6349613,6.53E-5
0,1,2,49.0,48.0,1.4848269,6.13E-5
0,1,3,49.0,48.0,1.3821033,6.41E-5
0,1,4,49.0,22.0,1.2683861,7.98E-5
0,1,5,31.0,22.0,1.1386308,9.21E-5
0,1,6,19.0,12.0,1.0914563,1.116E-4
0,1,7,7.0,12.0,1.0460469,1.278E-4
0,2,0,46.0,49.0,1.5393475,5.61E-5
0,2,1,39.0,42.0,1.4128589,5.89E-5
0,2,2,31.0,38.0,1.3657089,6.07E-5
0,2,3,33.0,22.0,1.3015629,8.43E-5
0,2,4,38.0,18.0,1.2424822,1.199E-4
0,2,5,32.0,1.0,1.1831446,1.73E-4
0,3,0,61.0,63.0,1.580949,4.69E-5
0,3,1,54.0,61.0,1.5828781,5.16E-5
0,3,2,54.0,60.0,1.469044,5.28E-5
0,3,3,53.0,44.0,1.4428804,1.209E-4
0,3,4,57.0,19.0,1.3901671,8.14E-5
0,3,5,34.0,12.0,1.2563247,1.208E-4
0,3,6,0.0,10.0,0.0,1.636E-4
0,4,0,42.0,46.0,1.5330437,5.07E-5
0,4,1,42.0,46.0,1.4272302,4.87E-5
0,4,2,43.0,40.0,1.40109,4.7E-5
0,4,3,48.0,35.0,1.3888908,4.75E-5
0,4,4,18.0,12.0,1.1483116,6.85E-5
0,4,5,18.0,12.0,1.0327932,7.89E-5
0,4,6,12.0,12.0,0.8844547,7.67E-5
0,4,7,6.0,0.0,0.6961571,0.0
0,5,0,25.0,52.0,1.7001516,5.86E-5
0,5,1,25.0,26.0,1.6731297,8.08E-5
0,5,2,28.0,18.0,1.5381417,9.44E-5
0,5,3,30.0,18.0,1.4411662,9.14E-5
0,5,4,30.0,17.0,1.3510506,9.51E-5
0,5,5,2.0,17.0,1.1555432,8.97E-5
0,6,0,53.0,77.0,1.6101846,4.87E-5
0,6,1,60.0,70.0,1.5477414,4.68E-5
0,6,2,62.0,68.0,1.4882077,4.91E-5
0,6,3,56.0,68.0,1.4966307,4.83E-5
0,6,4,32.0,62.0,1.3430573,4.78E-5
0,6,5,21.0,36.0,1.2367469,7.6E-5
0,6,6,26.0,32.0,1.2464931,6.06E-5
0,6,7,25.0,25.0,1.2819933,7.96E-5
0,6,8,24.0,25.0,1.225535,7.8E-5
0,6,9,24.0,20.0,1.0695558,1.153E-4
0,6,10,2.0,0.0,0.8482765,0.0
0,7,0,58.0,68.0,1.6002211,4.72E-5
0,7,1,59.0,67.0,1.5429324,5.04E-5
0,7,2,44.0,40.0,1.4057806,6.08E-5
0,7,3,46.0,35.0,1.3323755,6.28E-5
0,7,4,49.0,34.0,1.3692278,6.16E-5
0,7,5,42.0,32.0,1.3048475,6.32E-5
0,7,6,14.0,32.0,1.0608488,6.22E-5
0,7,7,5.0,32.0,0.8597566,6.4E-5
0,8,0,31.0,54.0,1.694699,4.74E-5
0,8,1,22.0,54.0,1.4481724,4.88E-5
0,8,2,22.0,52.0,1.3572676,4.75E-5
0,8,3,20.0,45.0,1.2922894,4.67E-5
0,8,4,13.0,20.0,1.124748,5.8E-5
0,8,5,13.0,20.0,1.0453521,6.54E-5
0,8,6,13.0,20.0,0.9708983,6.1E-5
0,8,7,16.0,20.0,0.9656063,6.3E-5
0,8,8,16.0,11.0,0.8926178,7.76E-5
0,8,9,16.0,11.0,0.8131822,9.06E-5
0,8,10,7.0,0.0,0.6655313,0.0
0,9,0,62.0,43.0,1.6558587,1.023E-4
0,9,1,59.0,38.0,1.6090823,6.3E-5
0,9,2,63.0,33.0,1.5089833,6.55E-5
0,9,3,62.0,31.0,1.4770815,6.22E-5
0,9,4,57.0,15.0,1.4301851,9.91E-5
0,9,5,54.0,14.0,1.4678523,1.215E-4
0,9,6,63.0,14.0,1.3420366,9.01E-5
0,9,7,0.0,10.0,0.0,9.41E-5
1,0,0,55.0,56.0,1.5880273,4.88E-5
1,0,1,29.0,52.0,1.4866622,4.73E-5
1,0,2,25.0,49.0,1.256953,4.8E-5
1,0,3,25.0,27.0,1.1823161,6.09E-5
1,0,4,25.0,27.0,1.128873,6.16E-5
1,0,5,21.0,27.0,1.1447153,6.02E-5
1,0,6,20.0,27.0,1.1153168,6.66E-5
1,0,7,10.0,0.0,0.8720469,0.0
1,1,0,54.0,48.0,1.5097731,5.71E-5
1,1,1,60.0,28.0,1.4785377,1.26E-4
1,1,2,53.0,22.0,1.4675238,8.58E-5
1,1,3,25.0,16.0,1.313044,8.74E-5
1,1,4,3.0,16.0,1.0853301,8.76E-5
1,2,0,29.0,35.0,1.5309279,5.69E-5
1,2,1,35.0,29.0,1.442677,5.97E-5
1,2,2,37.0,24.0,1.4909055,5.84E-5
1,2,3,37.0,19.0,1.5028964,6.19E-5
1,2,4,39.0,19.0,1.4949031,6.04E-5
1,2,5,19.0,19.0,1.2251476,5.99E-5
1,2,6,18.0,19.0,1.1779707,5.93E-5
1,2,7,18.0,19.0,1.052112,6.15E-5
1,2,8,11.0,19.0,0.9945153,1.088E-4
1,2,9,6.0,0.0,0.82932,0.0
1,3,0,60.0,50.0,1.6024699,7.86E-5
1,3,1,53.0,20.0,1.6321488,1.206E-4
1,3,2,35.0,20.0,1.5530258,1.267E-4
1,3,3,24.0,15.0,1.4900566,1.265E-4
1,3,4,0.0,9.0,0.0,1.319E-4
