Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,11,0,0,7,11,0,5,16
0,1,11,45,1,5,0,45,55,10
0,2,17,45,0,9,6,0,8,14
0,3,17,95,1,10,0,50,60,10
0,4,58,95,0,6,41,0,0,16
0,5,74,95,0,6,16,0,2,18
0,6,104,95,0,7,30,0,2,32
1,0,26,0,0,5,26,0,7,33
1,1,37,0,0,5,11,0,2,13
1,2,41,0,0,11,4,0,9,13
1,3,41,30,1,5,0,30,38,8
1,4,45,30,0,12,4,0,7,11
1,5,45,52,1,14,0,22,25,3
1,6,74,52,0,3,29,0,3,32
1,7,74,80,1,4,0,28,38,10
1,8,92,80,0,7,18,0,9,27
1,9,119,80,0,6,27,0,8,35
2,0,49,0,0,2,49,0,8,57
2,1,49,8,1,11,0,8,18,10
2,2,77,8,0,4,28,0,7,35
2,3,77,38,1,3,0,30,39,9
2,4,77,69,1,5,0,31,41,10
2,5,95,69,0,5,18,0,7,25
2,6,98,69,0,8,3,0,10,13
2,7,100,69,0,10,2,0,10,12
3,0,0,13,1,14,0,13,20,7
3,1,0,33,1,6,0,20,29,9
3,2,0,78,1,4,0,45,55,10
3,3,0,86,1,5,0,8,11,3
3,4,0,111,1,4,0,25,31,6
4,0,14,0,0,8,14,0,7,21
4,1,14,74,1,3,0,74,83,9
4,2,14,99,1,7,0,25,29,4
4,3,34,99,0,5,20,0,4,24
4,4,56,99,0,5,22,0,5,27
4,5,74,99,0,8,18,0,4,22
4,6,113,99,0,3,39,0,4,43
5,0,0,10,1,11,0,10,18,8
5,1,0,24,1,6,0,14,20,6
5,2,38,24,0,12,38,0,0,13
5,3,57,24,0,6,19,0,8,27
5,4,57,54,1,9,0,30,35,5
5,5,76,54,0,3,19,0,10,29
5,6,104,54,0,4,28,0,10,38
6,0,0,9,1,8,0,9,18,9
6,1,0,14,1,8,0,5,11,6
6,2,30,14,0,7,30,0,1,31
6,3,30,28,1,9,0,14,22,8
6,4,30,65,1,6,0,37,45,8
6,5,30,76,1,12,0,11,19,8
6,6,30,107,1,9,0,31,39,8
7,0,0,13,1,10,0,13,16,3
7,1,0,71,1,4,0,58,66,8
7,2,10,71,0,5,10,0,3,13
7,3,10,104,1,3,0,33,42,9
