Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,6.09E-5,0.4345772
0,0,1,75.0,17.0,5.26E-5,0.4047347
0,0,2,72.0,9.0,5.38E-5,0.3715313
0,1,0,47.0,66.0,6.0E-5,0.5474686
0,1,1,39.0,36.0,6.09E-5,0.530927
0,1,2,0.0,8.0,0.0,0.3711827
0,2,0,46.0,74.0,6.58E-5,0.5222715
0,2,1,45.0,44.0,6.31E-5,0.452598
0,2,2,42.0,17.0,6.36E-5,0.4332056
0,2,3,33.0,14.0,7.97E-5,0.4074257
0,2,4,13.0,1.0,1.433E-4,0.3358115
1,0,0,49.0,68.0,6.08E-5,0.530167
1,0,1,43.0,68.0,6.43E-5,0.5280607
1,0,2,26.0,65.0,9.18E-5,0.5006776
1,0,3,23.0,62.0,8.91E-5,0.5190298
1,0,4,23.0,64.0,9.49E-5,0.4074335
1,0,5,21.0,69.0,9.17E-5,0.4535105
1,0,6,20.0,44.0,9.03E-5,0.4189344
1,0,7,4.0,0.0,1.556E-4,0.0
1,1,0,50.0,39.0,6.02E-5,0.5583832
1,1,1,50.0,32.0,5.86E-5,0.5620992
1,1,2,41.0,32.0,5.94E-5,0.5108248
1,1,3,13.0,32.0,8.42E-5,0.512883
1,1,4,12.0,30.0,8.91E-5,0.445552
1,1,5,9.0,12.0,9.26E-5,0.3881736
1,2,0,29.0,42.0,5.82E-5,0.5681357
1,2,1,22.0,42.0,6.66E-5,0.5275427
1,2,2,21.0,42.0,6.47E-5,0.5685751
1,2,3,21.0,37.0,6.58E-5,0.4776956
1,2,4,21.0,32.0,6.59E-5,0.4705701
1,2,5,21.0,36.0,6.43E-5,0.4677671
1,2,6,18.0,36.0,6.35E-5,0.4881517
1,2,7,7.0,0.0,9.18E-5,0.0
1,3,0,58.0,52.0,4.99E-5,0.5158267
1,3,1,51.0,22.0,4.92E-5,0.4481168
1,3,2,51.0,22.0,5.26E-5,0.3848873
1,3,3,34.0,14.0,6.8E-5,0.3903303
1,3,4,0.0,10.0,0.0,0.3173108
1,4,0,62.0,47.0,4.66E-5,0.5297584
1,4,1,55.0,45.0,5.11E-5,0.5118694
1,4,2,53.0,40.0,5.23E-5,0.4752462
1,4,3,49.0,40.0,5.13E-5,0.4888175
1,4,4,49.0,37.0,5.37E-5,0.4498303
1,4,5,44.0,41.0,4.85E-5,0.4147751
1,4,6,41.0,38.0,5.28E-5,0.4594783
1,4,7,21.0,39.0,6.33E-5,0.4349364
1,4,8,21.0,38.0,6.3E-5,0.374343
1,4,9,21.0,29.0,6.41E-5,0.3364605
1,4,10,21.0,19.0,6.36E-5,0.3304639
1,4,11,21.0,16.0,6.45E-5,0.265968
1,4,12,21.0,18.0,6.22E-5,0.2470904
1,4,13,19.0,18.0,6.68E-5,0.2584768
1,4,14,18.0,15.0,6.44E-5,0.2279986
1,4,15,18.0,4.0,6.71E-5,0.1739974
1,5,0,54.0,72.0,4.89E-5,0.5682817
1,5,1,30.0,47.0,5.85E-5,0.5231278
1,5,2,9.0,42.0,1.607E-4,0.5048789
2,0,0,11.0,42.0,8.15E-5,0.5180814
2,0,1,11.0,44.0,9.23E-5,0.4756888
2,0,2,11.0,44.0,1.087E-4,0.4385656
2,0,3,11.0,14.0,8.96E-5,0.3593325
2,0,4,7.0,0.0,1.26E-4,0.0
2,1,0,55.0,33.0,4.82E-5,0.4854894
2,1,1,0.0,9.0,0.0,0.3917554
2,2,0,17.0,50.0,8.36E-5,0.5464947
2,2,1,12.0,47.0,1.086E-4,0.5661691
2,2,2,9.0,0.0,9.4E-5,0.0
2,3,0,57.0,36.0,4.74E-5,0.5137618
2,3,1,57.0,36.0,5.02E-5,0.5130386
2,3,2,50.0,38.0,5.05E-5,0.4917374
2,3,3,50.0,38.0,5.02E-5,0.4597356
2,3,4,33.0,42.0,6.03E-5,0.4283323
2,3,5,11.0,42.0,8.57E-5,0.4304166
2,3,6,9.0,42.0,1.263E-4,0.4335418
2,4,0,53.0,58.0,4.73E-5,0.5215529
2,4,1,49.0,28.0,5.22E-5,0.4986179
2,4,2,31.0,28.0,5.84E-5,0.4318944
2,4,3,25.0,28.0,1.402E-4,0.4419678
2,4,4,25.0,33.0,6.44E-5,0.4129265
2,4,5,21.0,13.0,6.44E-5,0.409936
2,4,6,19.0,10.0,7.75E-5,0.3363774
2,5,0,78.0,63.0,4.76E-5,0.5533187
2,5,1,69.0,63.0,6.34E-5,0.558627
2,5,2,66.0,66.0,4.94E-5,0.5588181
2,5,3,57.0,66.0,5.0E-5,0.5377001
2,5,4,31.0,36.0,5.71E-5,0.4991788
2,5,5,26.0,33.0,6.01E-5,0.4577912
2,5,6,26.0,32.0,1.368E-4,0.4549134
2,5,7,21.0,25.0,6.06E-5,0.3802532
2,5,8,21.0,22.0,5.93E-5,0.4174086
2,5,9,19.0,24.0,6.08E-5,0.3841816
2,5,10,11.0,24.0,7.93E-5,0.3272909
2,5,11,11.0,24.0,8.94E-5,0.3519393
2,5,12,11.0,26.0,8.59E-5,0.3134527
2,5,13,11.0,22.0,8.76E-5,0.3276831
2,5,14,1.0,16.0,1.412E-4,0.2577383
2,6,0,66.0,36.0,4.83E-5,0.4993113
2,6,1,36.0,40.0,6.53E-5,0.473722
2,6,2,29.0,49.0,6.66E-5,0.4970165
2,6,3,22.0,25.0,6.65E-5,0.461724
2,6,4,9.0,0.0,8.46E-5,0.0
3,0,0,66.0,80.0,4.91E-5,0.5489759
3,0,1,48.0,71.0,6.62E-5,0.5327645
3,0,2,19.0,41.0,8.03E-5,0.4979899
3,0,3,19.0,40.0,9.2E-5,0.4524149
3,0,4,13.0,40.0,8.96E-5,0.4042927
3,0,5,6.0,0.0,1.209E-4,0.0
3,1,0,54.0,34.0,7.4E-5,0.5742252
3,1,1,46.0,39.0,9.41E-5,0.5695706
3,1,2,43.0,38.0,5.89E-5,0.4865601
3,1,3,0.0,8.0,0.0,0.444809
3,2,0,70.0,31.0,4.74E-5,0.4710427
3,2,1,66.0,38.0,5.38E-5,0.473558
3,2,2,59.0,31.0,5.14E-5,0.4979625
3,2,3,53.0,35.0,5.37E-5,0.4216139
3,2,4,48.0,10.0,5.36E-5,0.3539956
3,3,0,39.0,49.0,5.87E-5,0.5694314
3,3,1,16.0,52.0,8.6E-5,0.5298409
3,3,2,13.0,48.0,8.98E-5,0.4957449
3,3,3,13.0,42.0,1.32E-4,0.475302
3,3,4,11.0,47.0,9.05E-5,0.5109428
3,3,5,10.0,49.0,9.1E-5,0.4919223
3,4,0,51.0,58.0,4.42E-5,0.5478997
3,4,1,49.0,58.0,6.78E-5,0.5614863
3,4,2,31.0,65.0,6.17E-5,0.5364167
3,4,3,25.0,64.0,6.52E-5,0.5918825
3,4,4,24.0,45.0,7.45E-5,0.4928565
3,4,5,11.0,51.0,1.294E-4,0.4906996
3,4,6,8.0,0.0,1.422E-4,0.0
4,0,0,46.0,75.0,5.89E-5,0.5094334
4,0,1,36.0,75.0,8.02E-5,0.513314
4,0,2,34.0,47.0,1.522E-4,0.4398004
