Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,44.0,31.0,6.62E-5,1.880992
0,0,1,41.0,31.0,6.4E-5,1.8033177
0,0,2,39.0,31.0,6.18E-5,1.7507158
0,0,3,39.0,9.0,6.47E-5,1.2996989
0,1,0,46.0,55.0,5.92E-5,1.9595389
0,1,1,31.0,62.0,8.22E-5,1.8270523
0,1,2,25.0,54.0,9.97E-5,1.9457814
0,1,3,18.0,49.0,1.259E-4,1.8522555
0,1,4,18.0,27.0,1.326E-4,1.8518176
0,1,5,18.0,18.0,1.33E-4,1.5391658
0,1,6,18.0,13.0,1.33E-4,1.3011194
0,1,7,18.0,13.0,1.32E-4,1.1908378
0,1,8,10.0,12.0,1.917E-4,1.0694501
0,2,0,48.0,74.0,6.61E-5,1.9994196
0,2,1,42.0,44.0,4.91E-5,1.9910445
0,2,2,41.0,48.0,4.97E-5,1.87736
0,2,3,38.0,25.0,4.91E-5,1.6920823
0,2,4,18.0,25.0,5.89E-5,1.6466046
0,2,5,9.0,0.0,1.082E-4,0.0
0,3,0,43.0,59.0,6.02E-5,2.1164586
0,3,1,43.0,51.0,5.99E-5,2.0559592
0,3,2,39.0,46.0,5.86E-5,1.8889647
0,3,3,36.0,31.0,7.42E-5,1.9197319
0,3,4,0.0,6.0,0.0,1.4981441
0,4,0,42.0,54.0,7.38E-5,2.0816389
0,4,1,32.0,49.0,9.23E-5,2.0525381
0,4,2,31.0,54.0,9.58E-5,1.9274318
0,4,3,27.0,51.0,9.37E-5,1.8933783
0,4,4,27.0,50.0,9.41E-5,1.9329418
0,4,5,19.0,46.0,9.64E-5,1.6790786
0,4,6,19.0,46.0,9.42E-5,1.6410571
0,4,7,14.0,41.0,9.31E-5,1.4971466
0,4,8,14.0,28.0,9.43E-5,1.3570439
0,4,9,9.0,0.0,1.482E-4,0.0
0,5,0,53.0,74.0,5.83E-5,2.1113958
0,5,1,43.0,44.0,7.43E-5,1.9662987
0,5,2,34.0,44.0,7.5E-5,1.9135589
0,5,3,34.0,44.0,7.56E-5,1.8861748
0,5,4,33.0,45.0,7.77E-5,1.7999302
0,5,5,16.0,47.0,9.97E-5,1.7490508
0,5,6,1.0,17.0,1.658E-4,1.4974332
0,6,0,58.0,28.0,5.56E-5,1.7555433
0,6,1,56.0,21.0,6.22E-5,1.6513823
0,6,2,48.0,21.0,7.28E-5,1.4668046
0,6,3,38.0,26.0,1.0E-4,1.4092574
0,6,4,34.0,20.0,9.74E-5,1.3248717
0,6,5,29.0,4.0,9.67E-5,1.3110082
0,7,0,54.0,77.0,4.59E-5,1.9971002
0,7,1,50.0,51.0,5.03E-5,2.0123973
0,7,2,38.0,60.0,5.96E-5,1.7908314
0,7,3,35.0,33.0,5.72E-5,1.7512633
0,7,4,29.0,26.0,5.83E-5,1.6754021
0,7,5,16.0,18.0,7.47E-5,1.4719643
0,7,6,15.0,20.0,8.44E-5,1.4557215
0,7,7,15.0,20.0,8.57E-5,1.3899282
0,7,8,15.0,20.0,8.38E-5,1.2897363
0,7,9,15.0,20.0,8.36E-5,1.3158875
0,7,10,0.0,1.0,0.0,0.9129633
0,8,0,33.0,62.0,9.56E-5,1.9566223
0,8,1,30.0,40.0,1.112E-4,1.7604755
0,8,2,22.0,40.0,1.982E-4,1.7290994
0,8,3,20.0,12.0,1.059E-4,1.4911271
0,8,4,11.0,14.0,1.429E-4,1.120528
0,8,5,10.0,0.0,1.609E-4,0.0
0,9,0,47.0,53.0,5.64E-5,2.0729263
0,9,1,40.0,60.0,7.75E-5,2.0291449
0,9,2,34.0,36.0,7.59E-5,1.8746195
0,9,3,27.0,36.0,7.69E-5,1.7778442
0,9,4,0.0,10.0,0.0,1.5242872
1,0,0,65.0,35.0,5.14E-5,1.8683423
1,0,1,41.0,25.0,6.22E-5,1.6959223
1,0,2,41.0,5.0,6.4E-5,1.4212883
1,1,0,46.0,33.0,5.78E-5,2.2006847
1,1,1,28.0,21.0,7.18E-5,2.00584
1,1,2,23.0,21.0,8.35E-5,1.981966
1,1,3,20.0,17.0,1.064E-4,1.8916001
1,1,4,20.0,17.0,1.231E-4,1.9746327
1,1,5,16.0,17.0,1.433E-4,1.8138406
1,1,6,3.0,19.0,2.284E-4,1.6110252
1,2,0,57.0,24.0,4.81E-5,1.8278955
1,2,1,45.0,23.0,5.89E-5,1.6418592
1,2,2,44.0,16.0,6.12E-5,1.6661693
1,2,3,44.0,14.0,6.15E-5,1.3888692
