Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,30,1,4,0,30,39,9
0,1,2,30,0,9,2,0,10,12
0,2,18,30,0,6,16,0,9,25
0,3,18,60,1,5,0,30,36,6
0,4,37,60,0,10,19,0,9,28
0,5,53,60,0,7,16,0,1,17
0,6,53,85,1,6,0,25,29,4
0,7,53,99,1,11,0,14,15,1
0,8,57,99,0,6,4,0,10,14
0,9,57,116,1,5,0,17,27,10
1,0,0,36,1,3,0,36,41,5
1,1,16,36,0,7,16,0,3,19
1,2,16,51,1,7,0,15,18,3
1,3,33,51,0,7,17,0,10,27
1,4,33,55,1,7,0,4,13,9
1,5,65,55,0,5,32,0,7,39
1,6,90,55,0,6,25,0,10,35
1,7,90,59,1,10,0,4,13,9
1,8,90,85,1,3,0,26,33,7
1,9,107,85,0,4,17,0,10,27
2,0,0,49,1,4,0,49,57,8
2,1,0,56,1,9,0,7,16,9
2,2,0,70,1,5,0,14,16,2
2,3,0,75,1,7,0,5,15,10
2,4,0,81,1,7,0,6,14,8
2,5,0,90,1,6,0,9,18,9
2,6,27,90,0,3,27,0,3,30
2,7,57,90,0,4,30,0,9,39
2,8,84,90,0,8,27,0,7,34
2,9,84,109,1,4,0,19,27,8
3,0,0,21,1,9,0,21,30,9
3,1,0,70,1,7,0,49,24,0
3,2,59,70,0,3,59,0,2,61
3,3,59,93,1,7,0,23,31,8
3,4,70,93,0,6,11,0,2,13
3,5,70,94,1,7,0,1,11,10
3,6,70,107,1,4,0,13,14,1
4,0,0,15,1,8,0,15,25,10
4,1,13,15,0,6,13,0,9,22
4,2,13,22,1,4,0,7,14,7
4,3,26,22,0,7,13,0,9,22
4,4,65,22,0,2,39,0,6,45
4,5,65,29,1,8,0,7,17,10
4,6,90,29,0,2,25,0,9,34
4,7,90,42,1,14,0,13,23,10
4,8,138,42,0,2,48,0,7,55
