Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,81.0,39.0,1.0558234,5.47E-5
0,0,1,56.0,34.0,1.0397492,5.88E-5
0,0,2,56.0,26.0,0.9858763,5.88E-5
0,0,3,46.0,26.0,0.9011032,6.15E-5
0,0,4,42.0,22.0,0.9353689,6.13E-5
0,0,5,20.0,17.0,0.7582098,7.37E-5
0,0,6,20.0,17.0,0.7451863,7.71E-5
0,0,7,13.0,8.0,0.6394259,1.065E-4
0,1,0,57.0,60.0,1.0201154,5.55E-5
0,1,1,48.0,52.0,1.0044927,5.95E-5
0,1,2,54.0,49.0,1.0157033,5.68E-5
0,1,3,60.0,43.0,0.9911976,5.68E-5
0,1,4,30.0,25.0,0.9049032,8.33E-5
0,1,5,0.0,2.0,0.0,1.431E-4
0,2,0,48.0,71.0,0.9527368,4.43E-5
0,2,1,48.0,47.0,0.8992175,5.4E-5
0,2,2,46.0,42.0,0.8569625,5.6E-5
0,2,3,16.0,35.0,0.7919912,5.7E-5
0,2,4,12.0,32.0,0.7138731,5.56E-5
0,2,5,15.0,18.0,0.5968423,8.0E-5
0,2,6,14.0,1.0,0.6396376,1.557E-4
0,3,0,64.0,63.0,1.1460913,4.41E-5
0,3,1,62.0,60.0,1.0769488,4.85E-5
0,3,2,62.0,52.0,0.9700855,4.89E-5
0,3,3,61.0,36.0,0.9230124,5.54E-5
0,3,4,40.0,36.0,0.8174657,6.18E-5
0,3,5,40.0,31.0,0.7807963,7.04E-5
0,3,6,40.0,30.0,0.7994945,7.77E-5
0,3,7,31.0,29.0,0.7730146,7.62E-5
0,3,8,31.0,29.0,0.6618935,8.06E-5
0,3,9,18.0,12.0,0.6562542,1.043E-4
0,3,10,8.0,12.0,0.5195805,1.202E-4
0,4,0,42.0,46.0,0.9867513,4.75E-5
0,4,1,42.0,46.0,0.962353,4.65E-5
0,4,2,42.0,41.0,0.9086357,5.12E-5
0,4,3,42.0,41.0,0.8415207,4.96E-5
0,4,4,38.0,41.0,0.8395667,4.73E-5
0,4,5,38.0,26.0,0.6811433,6.46E-5
0,4,6,36.0,26.0,0.7278063,7.74E-5
0,4,7,35.0,17.0,0.6463482,1.024E-4
0,4,8,35.0,9.0,0.6969931,2.081E-4
0,5,0,32.0,52.0,1.1235393,5.34E-5
0,5,1,32.0,48.0,1.0931851,5.67E-5
0,5,2,30.0,45.0,0.9460738,5.79E-5
0,5,3,24.0,45.0,0.971976,5.87E-5
0,5,4,21.0,22.0,0.9296803,8.43E-5
0,5,5,21.0,22.0,0.8653454,8.43E-5
0,5,6,0.0,3.0,0.0,1.55E-4
0,6,0,50.0,80.0,1.0409389,4.75E-5
0,6,1,52.0,78.0,1.0325017,4.74E-5
0,6,2,55.0,69.0,1.0037404,4.46E-5
0,6,3,64.0,60.0,0.9787105,4.51E-5
0,6,4,62.0,53.0,1.0133271,4.51E-5
0,6,5,61.0,53.0,0.963797,4.71E-5
0,6,6,61.0,46.0,0.8628932,5.05E-5
0,6,7,33.0,42.0,0.7846965,4.89E-5
0,6,8,29.0,38.0,0.7122964,4.71E-5
0,6,9,15.0,37.0,0.606283,4.73E-5
0,6,10,7.0,0.0,0.502425,0.0
0,7,0,59.0,68.0,1.0759716,4.55E-5
0,7,1,60.0,66.0,0.964247,4.66E-5
0,7,2,46.0,39.0,0.9608702,5.42E-5
0,7,3,16.0,38.0,0.8444245,5.76E-5
0,7,4,16.0,34.0,0.6840117,6.01E-5
0,7,5,16.0,29.0,0.7422333,5.83E-5
0,7,6,18.0,29.0,0.733843,6.02E-5
0,7,7,22.0,29.0,0.7034965,5.84E-5
0,7,8,12.0,28.0,0.6619297,5.91E-5
0,7,9,6.0,28.0,0.5073513,6.2E-5
0,8,0,38.0,54.0,1.0583635,4.41E-5
0,8,1,46.0,40.0,1.0443472,5.4E-5
0,8,2,46.0,30.0,1.0849387,6.77E-5
0,8,3,37.0,30.0,0.9945735,7.28E-5
0,8,4,41.0,27.0,0.9298313,7.28E-5
0,8,5,31.0,27.0,0.9569824,7.85E-5
0,8,6,24.0,25.0,0.8469351,7.44E-5
0,8,7,4.0,0.0,0.6169271,0.0
0,9,0,57.0,43.0,1.0491909,7.35E-5
0,9,1,57.0,40.0,0.9552257,6.08E-5
0,9,2,55.0,35.0,0.9733542,5.93E-5
0,9,3,47.0,18.0,0.9135253,7.82E-5
0,9,4,47.0,14.0,0.91848,8.92E-5
0,9,5,45.0,14.0,0.7654102,9.58E-5
0,9,6,0.0,10.0,0.0,9.34E-5
1,0,0,55.0,56.0,0.9795861,4.51E-5
1,0,1,32.0,40.0,0.9692751,5.77E-5
1,0,2,32.0,33.0,0.8687069,7.45E-5
1,0,3,29.0,32.0,0.9514996,7.91E-5
1,0,4,7.0,0.0,0.7939069,0.0
1,1,0,54.0,48.0,0.9998567,5.84E-5
1,1,1,54.0,28.0,0.9337062,7.97E-5
1,1,2,54.0,21.0,0.8976739,8.43E-5
1,1,3,26.0,15.0,0.8966978,8.33E-5
1,1,4,2.0,15.0,0.6451956,8.4E-5
1,2,0,34.0,61.0,1.021452,4.69E-5
1,2,1,34.0,31.0,0.9250487,5.48E-5
1,2,2,33.0,24.0,0.8785128,5.74E-5
1,2,3,31.0,23.0,0.8830623,5.65E-5
