Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,10,0,0,8,10,0,8,18
0,1,10,32,1,7,0,32,34,2
0,2,55,32,0,7,45,0,0,20
0,3,55,56,1,6,0,24,34,10
0,4,61,56,0,7,6,0,6,12
0,5,61,77,1,6,0,21,24,3
0,6,61,82,1,13,0,5,15,10
0,7,85,82,0,6,24,0,10,34
0,8,94,82,0,12,9,0,9,18
0,9,94,104,1,7,0,22,31,9
1,0,0,28,1,8,0,28,37,9
1,1,14,28,0,5,14,0,2,16
1,2,14,37,1,4,0,9,19,10
1,3,28,37,0,6,14,0,5,19
1,4,53,37,0,7,25,0,2,27
1,5,53,48,1,11,0,11,15,4
1,6,98,48,0,4,45,0,10,55
1,7,98,53,1,4,0,5,14,9
1,8,132,53,0,7,34,0,7,41
2,0,35,0,0,2,35,0,7,42
2,1,44,0,0,6,9,0,8,17
2,2,66,0,0,4,22,0,7,29
2,3,66,32,1,3,0,32,40,8
2,4,66,73,1,8,0,41,49,8
2,5,90,73,0,6,24,0,1,25
2,6,90,76,1,4,0,3,11,8
2,7,90,87,1,10,0,11,20,9
2,8,90,105,1,5,0,18,25,7
3,0,22,0,0,8,22,0,9,31
3,1,22,41,1,3,0,41,51,10
3,2,22,55,1,10,0,14,24,10
3,3,24,55,0,6,2,0,10,12
3,4,32,55,0,6,8,0,4,12
3,5,36,55,0,6,4,0,10,14
3,6,36,92,1,8,0,37,41,4
3,7,46,92,0,10,10,0,7,17
3,8,67,92,0,7,21,0,10,31
3,9,77,92,0,8,10,0,6,16
3,10,77,137,1,2,0,45,55,10
4,0,0,16,1,11,0,16,24,8
4,1,0,124,1,1,0,108,83,0
5,0,37,0,0,10,37,0,0,12
5,1,54,0,0,6,17,0,8,25
5,2,54,27,1,10,0,27,30,3
5,3,71,27,0,3,17,0,9,26
5,4,81,27,0,11,10,0,9,19
5,5,98,27,0,10,17,0,2,19
5,6,161,27,0,5,63,0,0,38
6,0,10,0,0,9,10,0,2,12
6,1,10,12,1,6,0,12,22,10
6,2,10,32,1,8,0,20,28,8
6,3,26,32,0,7,16,0,7,23
6,4,26,69,1,7,0,37,46,9
6,5,27,69,0,8,1,0,10,11
6,6,27,93,1,8,0,24,32,8
6,7,33,93,0,10,6,0,6,12
6,8,50,93,0,6,17,0,3,20
6,9,70,93,0,8,20,0,4,24
6,10,70,102,1,6,0,9,19,10
7,0,0,25,1,7,0,25,34,9
7,1,0,76,1,3,0,51,61,10
7,2,3,76,0,8,3,0,10,13
7,3,3,115,1,3,0,39,40,1
8,0,23,0,0,10,23,0,9,32
8,1,30,0,0,4,7,0,7,14
8,2,37,0,0,8,7,0,4,11
8,3,64,0,0,3,27,0,8,35
8,4,72,0,0,6,8,0,7,15
8,5,72,10,1,5,0,10,20,10
8,6,137,10,0,4,65,0,0,40
9,0,46,0,0,6,46,0,0,21
9,1,46,15,1,9,0,15,22,7
9,2,48,15,0,8,2,0,10,12
9,3,54,15,0,7,6,0,5,11
9,4,54,33,1,1,0,18,28,10
9,5,59,33,0,7,5,0,8,13
9,6,77,33,0,8,18,0,8,26
9,7,77,53,1,5,0,20,24,4
9,8,77,77,1,6,0,24,33,9
9,9,77,103,1,7,0,26,31,5
10,0,4,0,0,9,4,0,9,13
10,1,12,0,0,16,8,0,10,18
10,2,28,0,0,9,16,0,10,26
10,3,42,0,0,7,14,0,7,21
