Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,51,0,0,5,51,0,3,54
0,1,51,6,1,11,0,6,13,7
0,2,94,6,0,7,43,0,0,18
0,3,94,53,1,5,0,47,55,8
0,4,103,53,0,11,9,0,8,17
1,0,0,25,1,6,0,25,33,8
1,1,26,25,0,7,26,0,1,27
1,2,48,25,0,5,22,0,7,29
1,3,48,67,1,5,0,42,51,9
1,4,48,98,1,10,0,31,37,6
1,5,63,98,0,4,15,0,8,23
1,6,63,105,1,5,0,7,15,8
2,0,0,12,1,3,0,12,20,8
2,1,52,12,0,3,52,0,1,53
2,2,52,34,1,8,0,22,29,7
2,3,52,72,1,5,0,38,44,6
2,4,93,72,0,6,41,0,10,51
2,5,93,99,1,8,0,27,36,9
2,6,93,105,1,12,0,6,12,6
3,0,0,11,1,10,0,11,18,7
3,1,15,11,0,8,15,0,8,23
3,2,29,11,0,9,14,0,8,22
3,3,38,11,0,10,9,0,2,11
3,4,44,11,0,6,6,0,9,15
3,5,44,29,1,6,0,18,25,7
3,6,62,29,0,12,18,0,10,28
3,7,62,78,1,4,0,49,59,10
3,8,64,78,0,13,2,0,10,12
3,9,76,78,0,6,12,0,3,15
3,10,94,78,0,6,18,0,7,25
3,11,129,78,0,3,35,0,6,41
4,0,30,0,0,4,30,0,10,40
4,1,65,0,0,4,35,0,7,42
4,2,91,0,0,6,26,0,1,27
4,3,110,0,0,3,19,0,7,26
5,0,0,20,1,7,0,20,28,8
5,1,0,51,1,4,0,31,41,10
5,2,47,51,0,3,47,0,9,56
5,3,62,51,0,6,15,0,10,25
5,4,78,51,0,12,16,0,7,23
5,5,114,51,0,15,36,0,0,11
6,0,17,0,0,3,17,0,7,24
6,1,17,6,1,5,0,6,14,8
6,2,17,19,1,9,0,13,22,9
6,3,22,19,0,3,5,0,10,15
6,4,22,49,1,6,0,30,38,8
6,5,22,56,1,12,0,7,14,7
6,6,22,60,1,7,0,4,13,9
6,7,22,102,1,7,0,42,52,10
7,0,40,0,0,2,40,0,8,48
7,1,54,0,0,6,14,0,9,23
7,2,59,0,0,5,5,0,6,11
7,3,59,28,1,3,0,28,36,8
7,4,59,43,1,8,0,15,22,7
7,5,77,43,0,8,18,0,8,26
7,6,115,43,0,11,38,0,7,45
8,0,0,36,1,2,0,36,40,4
8,1,25,36,0,6,25,0,6,31
8,2,25,63,1,7,0,27,30,3
8,3,25,80,1,6,0,17,24,7
8,4,25,113,1,5,0,33,39,6
9,0,0,1,1,9,0,1,11,10
9,1,32,1,0,1,32,0,10,42
9,2,42,1,0,7,10,0,3,13
9,3,58,1,0,8,16,0,3,19
9,4,58,19,1,11,0,18,20,2
9,5,58,60,1,1,0,41,50,9
9,6,58,72,1,7,0,12,14,2
9,7,103,72,0,6,45,0,2,47
10,0,10,0,0,11,10,0,7,17
10,1,10,18,1,5,0,18,27,9
10,2,43,18,0,6,33,0,3,36
10,3,43,102,1,5,0,84,86,2
11,0,0,7,1,7,0,7,16,9
11,1,8,7,0,9,8,0,3,11
11,2,22,7,0,10,14,0,9,23
11,3,39,7,0,3,17,0,4,21
