Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,63.0,66.0,5.91E-5,2.1473871
0,0,1,62.0,58.0,5.37E-5,2.0229436
0,0,2,35.0,58.0,7.87E-5,2.0621332
0,0,3,12.0,28.0,8.42E-5,1.8576926
0,0,4,7.0,0.0,1.259E-4,0.0
0,1,0,47.0,34.0,5.96E-5,1.9621801
0,1,1,40.0,37.0,6.52E-5,1.8879444
0,1,2,33.0,32.0,6.23E-5,1.8544538
0,1,3,29.0,29.0,6.12E-5,1.7862028
0,1,4,27.0,28.0,7.73E-5,1.7178218
0,1,5,20.0,28.0,7.61E-5,1.6915761
0,1,6,8.0,31.0,1.741E-4,1.7259274
0,2,0,69.0,65.0,6.51E-5,2.3031996
0,2,1,45.0,71.0,6.42E-5,2.1828009
0,2,2,38.0,68.0,6.45E-5,2.1893486
0,2,3,38.0,74.0,6.73E-5,2.0678342
0,2,4,20.0,39.0,9.46E-5,1.8039383
0,2,5,18.0,20.0,9.36E-5,1.6651509
0,2,6,13.0,10.0,9.48E-5,1.3807368
0,3,0,74.0,39.0,5.14E-5,1.9996249
0,3,1,0.0,9.0,0.0,1.558412
0,4,0,48.0,65.0,7.93E-5,2.221956
0,4,1,47.0,65.0,6.79E-5,2.1484851
0,4,2,40.0,65.0,6.75E-5,2.1610649
0,4,3,38.0,67.0,7.0E-5,1.8843178
0,4,4,32.0,42.0,6.51E-5,1.9048597
0,4,5,14.0,39.0,8.58E-5,1.7644552
0,4,6,13.0,39.0,9.32E-5,1.6460205
0,4,7,12.0,22.0,1.126E-4,1.4811808
0,4,8,8.0,0.0,2.062E-4,0.0
0,5,0,40.0,43.0,6.01E-5,2.0937805
0,5,1,39.0,35.0,6.16E-5,2.0250958
0,5,2,39.0,35.0,6.0E-5,2.0117022
0,5,3,39.0,35.0,6.05E-5,1.9275728
0,5,4,34.0,34.0,7.39E-5,1.7473799
0,5,5,12.0,34.0,2.081E-4,1.6438552
0,5,6,11.0,32.0,1.525E-4,1.4469944
0,5,7,9.0,34.0,1.097E-4,1.4466151
0,6,0,83.0,70.0,5.08E-5,2.1538914
0,6,1,53.0,73.0,6.82E-5,2.1058135
0,6,2,49.0,73.0,6.53E-5,2.1667464
0,6,3,49.0,47.0,6.55E-5,2.0914561
0,6,4,46.0,41.0,7.1E-5,1.8730069
0,6,5,21.0,41.0,8.66E-5,1.7932871
0,6,6,16.0,24.0,9.75E-5,1.5827029
0,6,7,10.0,0.0,1.406E-4,0.0
0,7,0,39.0,33.0,6.59E-5,2.0503794
0,7,1,39.0,12.0,6.43E-5,1.6951675
0,7,2,0.0,3.0,0.0,1.2609567
