Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,21,0,0,5,21,0,7,28
0,1,44,0,0,7,23,0,8,31
0,2,44,3,1,7,0,3,13,10
0,3,44,68,1,2,0,65,74,9
0,4,58,68,0,9,14,0,8,22
0,5,83,68,0,8,25,0,9,34
0,6,97,68,0,8,14,0,10,24
0,7,97,104,1,3,0,36,39,3
1,0,27,0,0,6,27,0,10,37
1,1,54,0,0,4,27,0,9,36
1,2,54,21,1,7,0,21,26,5
1,3,67,21,0,10,13,0,8,21
1,4,111,21,0,4,44,0,9,53
2,0,39,0,0,3,39,0,1,40
2,1,44,0,0,7,5,0,7,12
2,2,51,0,0,12,7,0,4,11
2,3,51,19,1,9,0,19,24,5
2,4,51,22,1,7,0,3,11,8
2,5,51,29,1,10,0,7,15,8
2,6,59,29,0,6,8,0,10,18
2,7,59,39,1,8,0,10,20,10
2,8,59,51,1,13,0,12,18,6
2,9,59,91,1,3,0,40,47,7
2,10,78,91,0,8,19,0,4,23
2,11,78,125,1,6,0,34,36,2
3,0,10,0,0,12,10,0,7,17
3,1,10,50,1,8,0,50,25,0
3,2,10,76,1,5,0,26,27,1
3,3,10,103,1,5,0,27,35,8
4,0,0,13,1,10,0,13,23,10
4,1,0,17,1,7,0,4,13,9
4,2,6,17,0,9,6,0,10,16
4,3,6,63,1,5,0,46,56,10
4,4,12,63,0,11,6,0,6,12
4,5,38,63,0,3,26,0,8,34
4,6,72,63,0,4,34,0,7,41
4,7,72,69,1,10,0,6,13,7
4,8,120,69,0,4,48,0,9,57
5,0,21,0,0,6,21,0,9,30
5,1,21,42,1,6,0,42,51,9
5,2,37,42,0,6,16,0,7,23
5,3,37,71,1,6,0,29,32,3
5,4,56,71,0,10,19,0,1,20
5,5,66,71,0,7,10,0,10,20
5,6,66,93,1,7,0,22,26,4
5,7,106,93,0,4,40,0,7,47
6,0,43,0,0,4,43,0,8,51
6,1,59,0,0,9,16,0,3,19
6,2,66,0,0,10,7,0,10,17
6,3,75,0,0,3,9,0,10,19
6,4,75,13,1,7,0,13,21,8
6,5,75,47,1,2,0,34,43,9
6,6,75,79,1,8,0,32,39,7
6,7,109,79,0,7,34,0,10,44
7,0,55,0,0,3,55,0,1,56
7,1,104,0,0,5,49,0,2,51
8,0,0,36,1,1,0,36,40,4
8,1,37,36,0,4,37,0,6,43
8,2,80,36,0,6,43,0,5,48
8,3,114,36,0,8,34,0,6,40
9,0,28,0,0,4,28,0,8,36
9,1,60,0,0,1,32,0,10,42
9,2,60,30,1,5,0,30,31,1
9,3,60,48,1,9,0,18,25,7
9,4,72,48,0,11,12,0,7,19
9,5,72,89,1,1,0,41,50,9
9,6,107,89,0,9,35,0,9,44
10,0,27,0,0,7,27,0,9,36
10,1,51,0,0,4,24,0,1,25
10,2,83,0,0,14,32,0,1,33
10,3,83,9,1,10,0,9,11,2
10,4,98,9,0,9,15,0,9,24
10,5,98,47,1,4,0,38,41,3
10,6,98,95,1,2,0,48,52,4
10,7,98,144,1,1,0,49,24,0
11,0,64,0,0,3,64,0,0,39
11,1,91,0,0,6,27,0,10,37
11,2,91,30,1,4,0,30,37,7
11,3,100,30,0,5,9,0,9,18
12,0,0,23,1,4,0,23,24,1
12,1,0,76,1,4,0,53,61,8
12,2,0,108,1,4,0,32,39,7
13,0,0,9,1,5,0,9,12,3
13,1,14,9,0,9,14,0,6,20
13,2,14,14,1,6,0,5,15,10
13,3,14,64,1,3,0,50,56,6
13,4,14,124,1,3,0,60,62,2
14,0,6,0,0,7,6,0,6,12
14,1,20,0,0,5,14,0,2,16
14,2,41,0,0,7,21,0,9,30
14,3,75,0,0,11,34,0,7,41
14,4,75,5,1,12,0,5,12,7
14,5,82,5,0,8,7,0,9,16
14,6,82,53,1,4,0,48,58,10
14,7,100,53,0,8,18,0,6,24
15,0,0,41,1,3,0,41,50,9
15,1,0,111,1,3,0,70,71,1
16,0,0,11,1,6,0,11,15,4
16,1,23,11,0,10,23,0,6,29
16,2,23,36,1,8,0,25,27,2
16,3,23,85,1,5,0,49,24,0
16,4,40,85,0,5,17,0,9,26
16,5,77,85,0,7,37,0,3,40
16,6,77,130,1,4,0,45,46,1
17,0,39,0,0,3,39,0,7,46
17,1,39,38,1,7,0,38,13,0
17,2,61,38,0,2,22,0,9,31
17,3,61,93,1,2,0,55,61,6
17,4,85,93,0,6,24,0,8,32
17,5,85,102,1,11,0,9,13,4
18,0,80,0,0,5,80,0,0,55
18,1,80,34,1,4,0,34,42,8
18,2,80,45,1,9,0,11,16,5
18,3,80,69,1,9,0,24,27,3
18,4,80,145,1,3,0,76,51,0
19,0,33,0,0,7,33,0,10,43
19,1,39,0,0,6,6,0,8,14
19,2,67,0,0,6,28,0,8,36
19,3,67,19,1,8,0,19,25,6
19,4,99,19,0,5,32,0,10,42
19,5,99,55,1,2,0,36,46,10
19,6,117,55,0,11,18,0,6,24
