Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,68.0,69.0,3.1530376,4.67E-5
0,0,1,42.0,65.0,3.0698869,4.66E-5
0,0,2,27.0,57.0,2.7590261,4.74E-5
0,0,3,2.0,0.0,2.1856403,0.0
0,1,0,47.0,34.0,3.0993933,5.89E-5
0,1,1,42.0,30.0,2.9385534,6.15E-5
0,1,2,38.0,24.0,2.8698077,6.12E-5
0,1,3,36.0,23.0,2.7900294,6.06E-5
0,1,4,21.0,21.0,2.6693809,6.14E-5
0,1,5,15.0,21.0,2.3921485,6.19E-5
0,1,6,17.0,21.0,2.3504313,5.97E-5
0,1,7,8.0,15.0,1.8401987,1.988E-4
0,2,0,69.0,62.0,3.1924817,4.9E-5
0,2,1,45.0,56.0,3.0395547,4.74E-5
0,2,2,51.0,38.0,2.8306461,5.78E-5
0,2,3,53.0,36.0,2.8474966,5.96E-5
0,2,4,43.0,34.0,2.7886733,6.16E-5
0,2,5,18.0,34.0,2.3816263,9.2E-5
0,2,6,20.0,12.0,1.9781144,8.32E-5
0,2,7,13.0,12.0,1.8647331,8.8E-5
0,2,8,1.0,0.0,1.4731172,0.0
0,3,0,73.0,42.0,3.1997866,7.78E-5
0,3,1,69.0,36.0,3.0636844,6.36E-5
0,3,2,67.0,32.0,2.9320198,6.4E-5
0,3,3,66.0,29.0,2.7795431,6.53E-5
0,3,4,66.0,28.0,2.8070357,6.46E-5
0,3,5,41.0,25.0,2.7133459,6.37E-5
0,3,6,11.0,25.0,1.9724134,6.57E-5
0,3,7,6.0,25.0,1.4195925,6.72E-5
0,4,0,48.0,65.0,3.3665599,5.01E-5
0,4,1,47.0,65.0,3.0848538,5.22E-5
0,4,2,50.0,62.0,3.0299157,4.96E-5
0,4,3,20.0,46.0,2.658982,5.7E-5
0,4,4,20.0,46.0,2.5891055,5.96E-5
0,4,5,20.0,23.0,2.507626,8.55E-5
0,4,6,1.0,0.0,2.0716117,0.0
