Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,36.0,1.0723563,5.99E-5
0,0,1,80.0,31.0,1.076874399,5.8601E-5
0,0,2,51.0,30.0,0.9807883,5.6699E-5
0,0,3,51.0,21.0,0.940493401,6.89E-5
0,0,4,51.0,17.0,0.8257368,7.5699E-5
0,0,5,25.0,17.0,0.790176801,7.75E-5
0,0,6,25.0,17.0,0.737043501,7.79E-5
0,0,7,20.0,17.0,0.6971083,9.36E-5
0,0,8,20.0,8.0,0.6558394,1.107E-4
0,1,0,57.0,60.0,1.096502,5.4801E-5
0,1,1,61.0,52.0,1.0035686,8.59E-5
0,1,2,52.0,48.0,0.930785499,6.1E-5
0,1,3,23.0,42.0,0.8501305,7.2801E-5
0,1,4,23.0,41.0,0.7912032,1.185E-4
0,1,5,22.0,41.0,0.7059196,7.89E-5
0,1,6,22.0,41.0,0.717815599,8.0E-5
0,1,7,26.0,32.0,0.6351899,8.9001E-5
0,1,8,6.0,20.0,0.5191925,1.366E-4
0,2,0,46.0,49.0,0.9647279,5.29E-5
0,2,1,46.0,42.0,0.956057999,6.3201E-5
0,2,2,41.0,40.0,0.8966778,5.73E-5
0,2,3,41.0,32.0,0.8603699,5.5499E-5
0,2,4,15.0,29.0,0.759184201,7.45E-5
0,2,5,16.0,26.0,0.6956112,7.59E-5
0,2,6,15.0,9.0,0.6703872,8.71E-5
0,3,0,66.0,63.0,1.1049135,4.5201E-5
0,3,1,73.0,58.0,1.0582899,6.33E-5
0,3,2,73.0,49.0,1.0638045,4.81E-5
0,3,3,73.0,41.0,0.9505757,5.01E-5
0,3,4,78.0,22.0,0.963096901,6.99E-5
0,3,5,54.0,19.0,0.8565842,9.74E-5
0,3,6,55.0,19.0,0.8952194,1.004E-4
0,3,7,0.0,6.0,0.0,1.529E-4
0,4,0,42.0,46.0,1.0996504,5.1999E-5
0,4,1,46.0,42.0,0.956684001,4.93E-5
0,4,2,45.0,41.0,0.8994709,4.71E-5
0,4,3,40.0,41.0,0.8642376,4.66E-5
0,4,4,40.0,38.0,0.8478294,4.69E-5
0,4,5,44.0,18.0,0.7785334,5.77E-5
0,4,6,42.0,18.0,0.7640463,5.5E-5
0,4,7,43.0,7.0,0.7754783,1.071E-4
1,0,0,49.0,62.0,0.9912026,4.6899E-5
1,0,1,41.0,59.0,1.014981601,5.12E-5
1,0,2,41.0,56.0,0.94727,4.98E-5
1,0,3,25.0,51.0,0.8112361,4.7299E-5
1,0,4,25.0,48.0,0.760917201,5.2699E-5
1,0,5,15.0,30.0,0.699174501,6.08E-5
1,0,6,13.0,24.0,0.6265747,6.18E-5
1,0,7,12.0,24.0,0.5634317,5.9099E-5
1,0,8,9.0,0.0,0.5240633,0.0
1,1,0,49.0,48.0,1.0464923,5.6901E-5
1,1,1,49.0,41.0,0.9977843,6.1E-5
1,1,2,55.0,34.0,0.9243887,6.34E-5
1,1,3,27.0,17.0,0.895556399,1.001E-4
1,1,4,2.0,17.0,0.712988901,1.07E-4
1,2,0,36.0,58.0,1.007052499,4.9201E-5
1,2,1,36.0,28.0,0.9911839,5.81E-5
1,2,2,35.0,26.0,0.8879256,5.89E-5
1,2,3,39.0,25.0,0.874255499,5.79E-5
1,2,4,35.0,20.0,0.9162877,5.89E-5
1,2,5,35.0,20.0,0.8627124,5.83E-5
1,2,6,15.0,20.0,0.6944609,5.98E-5
1,2,7,6.0,0.0,0.5686413,0.0
1,3,0,53.0,50.0,1.0431217,7.8499E-5
1,3,1,35.0,20.0,1.057437301,1.597E-4
1,3,2,35.0,15.0,0.9782745,1.239E-4
1,3,3,0.0,9.0,0.0,1.299E-4
1,4,0,64.0,50.0,1.1082748,5.8499E-5
1,4,1,52.0,50.0,1.056532201,5.8499E-5
1,4,2,46.0,46.0,1.1233952,5.7901E-5
1,4,3,26.0,38.0,0.9615649,5.8E-5
