Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,5.05E-5,0.8638866
0,0,1,75.0,14.0,4.8299E-5,0.754357
0,0,2,46.0,9.0,5.9801E-5,0.7897338
0,1,0,57.0,60.0,4.8E-5,1.0667462
0,1,1,39.0,36.0,5.9E-5,0.9595746
0,1,2,0.0,8.0,0.0,0.754146999
0,2,0,46.0,74.0,5.74E-5,1.0544681
0,2,1,45.0,44.0,5.9E-5,0.981857401
0,2,2,42.0,17.0,6.59E-5,0.793995
0,2,3,19.0,14.0,8.69E-5,0.7838369
0,2,4,18.0,1.0,1.255E-4,0.6802307
0,3,0,59.0,71.0,4.8E-5,1.095067001
0,3,1,59.0,63.0,4.6899E-5,1.0566452
0,3,2,32.0,38.0,7.2699E-5,1.014091801
0,3,3,25.0,46.0,7.51E-5,0.9067405
0,3,4,25.0,39.0,7.7599E-5,0.921278101
0,3,5,17.0,14.0,9.13E-5,0.851591501
0,3,6,0.0,4.0,0.0,0.6646878
0,4,0,39.0,42.0,5.8399E-5,1.111496401
0,4,1,39.0,42.0,6.3999E-5,1.175263501
0,4,2,37.0,40.0,1.27999E-4,1.043824201
0,4,3,35.0,45.0,8.49E-5,1.006399101
0,4,4,19.0,45.0,8.46E-5,0.9760219
0,4,5,12.0,42.0,1.11099E-4,0.978165001
0,4,6,12.0,46.0,1.222E-4,0.8660542
0,4,7,11.0,22.0,1.217E-4,0.7988882
0,4,8,6.0,0.0,1.31299E-4,0.0
0,5,0,25.0,52.0,8.62E-5,1.1194961
0,5,1,18.0,33.0,8.41E-5,1.0600446
0,5,2,10.0,33.0,1.173E-4,0.9867884
0,6,0,49.0,79.0,4.61E-5,1.0799486
0,6,1,24.0,51.0,5.78E-5,1.0064414
0,6,2,24.0,56.0,1.33999E-4,0.939681301
0,6,3,22.0,32.0,5.93E-5,0.8490027
0,6,4,20.0,32.0,6.05E-5,0.8279308
0,6,5,13.0,22.0,7.8099E-5,0.761421101
0,6,6,13.0,0.0,8.74E-5,0.4884047
1,0,0,49.0,64.0,6.04E-5,1.050149899
1,0,1,47.0,58.0,5.8501E-5,1.032780199
1,0,2,45.0,56.0,7.76E-5,0.965569299
1,0,3,44.0,60.0,7.8001E-5,0.965513999
1,0,4,38.0,56.0,7.8301E-5,0.9058919
1,0,5,38.0,33.0,7.81E-5,0.864322899
1,0,6,30.0,28.0,8.9001E-5,0.868766199
1,0,7,30.0,14.0,9.0499E-5,0.719158901
1,0,8,26.0,8.0,1.162E-4,0.6974911
1,1,0,50.0,39.0,5.9601E-5,1.154986499
1,1,1,48.0,34.0,5.79E-5,1.130850101
1,1,2,48.0,34.0,5.91E-5,1.0481503
1,1,3,20.0,25.0,7.7901E-5,1.054554899
1,1,4,16.0,23.0,8.82E-5,0.948128
1,1,5,11.0,12.0,1.462E-4,0.8900616
1,1,6,0.0,0.0,0.0,0.5214743
1,2,0,29.0,35.0,5.7899E-5,1.085727301
1,2,1,24.0,40.0,6.05E-5,1.0103524
1,2,2,10.0,0.0,9.55E-5,0.0
1,3,0,53.0,50.0,5.0999E-5,1.0045184
1,3,1,35.0,20.0,6.82E-5,0.893387401
1,3,2,30.0,18.0,7.94E-5,0.7662512
1,3,3,19.0,18.0,9.6201E-5,0.712760199
1,3,4,11.0,11.0,1.62401E-4,0.616929299
1,3,5,11.0,11.0,1.517E-4,0.606077
1,3,6,0.0,10.0,0.0,0.5500833
1,4,0,62.0,45.0,5.15E-5,1.047698
1,4,1,57.0,41.0,4.8E-5,0.9887262
1,4,2,45.0,48.0,5.84E-5,0.9580717
1,4,3,38.0,43.0,5.91E-5,0.9722475
1,4,4,35.0,42.0,5.89E-5,0.8576599
1,4,5,30.0,46.0,5.9799E-5,0.840403101
1,4,6,28.0,21.0,5.8499E-5,0.897244001
1,4,7,28.0,21.0,6.47E-5,0.720025099
1,4,8,28.0,21.0,5.99E-5,0.680197501
1,4,9,12.0,1.0,8.43E-5,0.5455509
1,5,0,50.0,80.0,5.49E-5,1.1170488
1,5,1,48.0,75.0,4.7601E-5,1.168314499
1,5,2,25.0,48.0,5.6E-5,1.0482705
1,5,3,22.0,47.0,6.83E-5,0.9601504
1,5,4,9.0,48.0,1.40599E-4,0.9732324
1,6,0,18.0,56.0,1.16401E-4,1.1190865
1,6,1,11.0,56.0,1.25599E-4,1.155314101
1,6,2,10.0,0.0,1.382E-4,0.0
2,0,0,11.0,44.0,8.5899E-5,1.0137678
2,0,1,11.0,44.0,8.7301E-5,0.9492493
2,0,2,11.0,44.0,8.8199E-5,0.924768201
2,0,3,11.0,14.0,8.7399E-5,0.726197201
2,0,4,7.0,0.0,1.269E-4,0.0
2,1,0,55.0,33.0,4.8601E-5,0.917743899
2,1,1,0.0,4.0,0.0,0.765332399
2,2,0,17.0,45.0,8.5999E-5,1.112348001
2,2,1,13.0,41.0,8.6501E-5,1.0878506
2,2,2,11.0,40.0,1.018E-4,1.0547052
2,2,3,10.0,0.0,9.3E-5,0.0
2,3,0,55.0,38.0,5.1301E-5,1.069586999
2,3,1,55.0,38.0,5.48E-5,1.1189355
2,3,2,51.0,22.0,5.23E-5,1.0650661
2,3,3,50.0,23.0,5.3E-5,0.938254
2,3,4,50.0,23.0,5.4E-5,0.818418699
2,3,5,25.0,23.0,5.9299E-5,0.7771305
2,3,6,25.0,16.0,6.1301E-5,0.699334
2,3,7,0.0,10.0,0.0,0.6937086
2,4,0,53.0,61.0,6.5E-5,1.0840158
2,4,1,50.0,31.0,5.0E-5,1.095742499
2,4,2,47.0,30.0,5.1301E-5,1.0182118
2,4,3,30.0,33.0,6.18E-5,0.966332899
2,4,4,26.0,20.0,7.6701E-5,0.9382974
2,4,5,26.0,1.0,7.8E-5,0.7396546
2,5,0,58.0,54.0,6.48E-5,1.1399919
2,5,1,52.0,60.0,7.5299E-5,1.1802068
2,5,2,42.0,45.0,2.56099E-4,1.170188701
2,5,3,34.0,44.0,1.02601E-4,1.0970288
2,5,4,25.0,51.0,1.029E-4,1.1396837
2,5,5,24.0,45.0,1.344E-4,1.0175556
2,5,6,12.0,17.0,1.245E-4,0.980526901
2,5,7,10.0,17.0,1.382E-4,0.8236499
2,6,0,66.0,36.0,4.98E-5,1.0983518
2,6,1,36.0,36.0,6.2499E-5,1.0896674
2,6,2,33.0,45.0,1.02501E-4,1.0212422
2,6,3,26.0,43.0,6.34E-5,1.0169617
2,6,4,24.0,35.0,6.4499E-5,1.0246002
2,6,5,24.0,33.0,6.3401E-5,0.9001204
2,6,6,24.0,8.0,6.76E-5,0.641882
3,0,0,66.0,73.0,5.36E-5,1.163360301
3,0,1,58.0,73.0,5.2199E-5,1.160012401
3,0,2,29.0,43.0,5.8E-5,1.0521296
3,0,3,29.0,45.0,6.3E-5,0.918455
3,0,4,28.0,22.0,6.27E-5,0.7522927
3,0,5,13.0,15.0,8.9499E-5,0.769761101
3,0,6,13.0,15.0,9.15E-5,0.647129399
3,0,7,6.0,0.0,1.18101E-4,0.0
3,1,0,54.0,34.0,7.25E-5,1.166725801
3,1,1,47.0,38.0,5.84E-5,1.1383064
3,1,2,41.0,40.0,5.79E-5,1.0906046
3,1,3,38.0,20.0,6.02E-5,1.0604658
3,1,4,38.0,15.0,5.99E-5,1.015845999
3,1,5,38.0,15.0,6.05E-5,0.885567101
3,1,6,0.0,5.0,0.0,0.7560559
3,2,0,70.0,32.0,4.7899E-5,0.9564912
3,2,1,65.0,29.0,5.0399E-5,0.940741601
3,2,2,61.0,25.0,4.85E-5,0.8160628
3,2,3,35.0,30.0,5.93E-5,0.8118144
3,2,4,29.0,9.0,5.97E-5,0.617848199
3,3,0,39.0,49.0,6.7199E-5,1.1536558
3,3,1,34.0,46.0,5.7001E-5,1.0290167
