Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,40,1,4,0,40,47,7
0,1,0,52,1,13,0,12,16,4
0,2,0,60,1,4,0,8,17,9
0,3,0,80,1,9,0,20,30,10
0,4,10,80,0,8,10,0,6,16
0,5,20,80,0,4,10,0,7,17
0,6,50,80,0,6,30,0,2,32
0,7,65,80,0,12,15,0,6,21
0,8,100,80,0,6,35,0,2,37
1,0,24,0,0,7,24,0,3,27
1,1,47,0,0,5,23,0,3,26
1,2,72,0,0,5,25,0,4,29
1,3,72,28,1,4,0,28,36,8
1,4,97,28,0,5,25,0,2,27
1,5,97,56,1,8,0,28,38,10
1,6,120,56,0,3,23,0,6,29
2,0,35,0,0,2,35,0,7,42
2,1,35,32,1,6,0,32,42,10
2,2,68,32,0,3,33,0,9,42
2,3,68,40,1,11,0,8,18,10
2,4,113,40,0,6,45,0,2,47
3,0,20,0,0,7,20,0,10,30
3,1,20,41,1,3,0,41,51,10
3,2,20,84,1,4,0,43,50,7
3,3,20,124,1,6,0,40,43,3
4,0,18,0,0,8,18,0,8,26
4,1,18,73,1,5,0,73,82,9
4,2,18,79,1,7,0,6,15,9
4,3,20,79,0,5,2,0,9,11
4,4,36,79,0,8,16,0,8,24
4,5,50,79,0,8,14,0,6,20
4,6,60,79,0,11,10,0,7,17
4,7,60,127,1,4,0,48,53,5
5,0,0,28,1,6,0,28,37,9
5,1,13,28,0,6,13,0,7,20
5,2,13,69,1,4,0,41,47,6
5,3,30,69,0,3,17,0,9,26
5,4,34,69,0,12,4,0,7,11
5,5,53,69,0,4,19,0,10,29
5,6,65,69,0,8,12,0,5,17
5,7,95,69,0,3,30,0,5,35
5,8,118,69,0,7,23,0,7,30
6,0,3,0,0,7,3,0,8,11
6,1,21,0,0,5,18,0,5,23
6,2,21,18,1,9,0,18,20,2
6,3,45,18,0,7,24,0,2,26
6,4,45,30,1,11,0,12,14,2
6,5,46,30,0,6,1,0,10,11
6,6,46,44,1,5,0,14,23,9
6,7,46,71,1,9,0,27,37,10
