Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,52,37,0,6,52,0,0,27
0,2,52,39,1,7,0,2,11,9
0,3,84,39,0,4,32,0,10,42
0,4,95,39,0,8,11,0,10,21
0,5,118,39,0,3,23,0,10,33
1,0,55,0,0,7,55,0,3,58
1,1,55,20,1,6,0,20,30,10
1,2,90,20,0,3,35,0,10,45
1,3,90,88,1,4,0,68,43,0
1,4,115,88,0,8,25,0,10,35
2,0,7,0,0,5,7,0,7,14
2,1,7,51,1,2,0,51,55,4
2,2,40,51,0,4,33,0,9,42
2,3,40,75,1,4,0,24,30,6
2,4,40,88,1,5,0,13,21,8
2,5,57,88,0,8,17,0,6,23
2,6,57,123,1,6,0,35,40,5
3,0,9,0,0,13,9,0,10,19
3,1,9,38,1,7,0,38,41,3
3,2,9,61,1,8,0,23,33,10
3,3,24,61,0,7,15,0,8,23
3,4,58,61,0,6,34,0,1,35
3,5,58,71,1,9,0,10,17,7
3,6,58,81,1,10,0,10,18,8
3,7,58,94,1,12,0,13,23,10
3,8,96,94,0,5,38,0,10,48
3,9,112,94,0,8,16,0,8,24
4,0,57,0,0,5,57,0,8,65
4,1,57,41,1,5,0,41,51,10
4,2,57,46,1,7,0,5,11,6
4,3,60,46,0,6,3,0,8,11
4,4,93,46,0,3,33,0,9,42
4,5,146,46,0,1,53,0,8,61
5,0,0,7,1,10,0,7,16,9
5,1,0,36,1,6,0,29,36,7
5,2,23,36,0,8,23,0,10,33
5,3,23,58,1,6,0,22,28,6
5,4,23,69,1,12,0,11,19,8
5,5,35,69,0,7,12,0,6,18
5,6,42,69,0,7,7,0,10,17
5,7,45,69,0,4,3,0,10,13
5,8,77,69,0,4,32,0,10,42
5,9,77,79,1,9,0,10,12,2
5,10,138,79,0,4,61,0,9,70
6,0,7,0,0,8,7,0,8,15
6,1,38,0,0,8,31,0,10,41
6,2,74,0,0,7,36,0,10,46
6,3,99,0,0,6,25,0,6,31
6,4,99,7,1,12,0,7,15,8
6,5,99,46,1,11,0,39,42,3
6,6,105,46,0,8,6,0,5,11
7,0,0,17,1,8,0,17,23,6
7,1,0,42,1,9,0,25,30,5
7,2,0,51,1,9,0,9,14,5
7,3,0,75,1,3,0,24,33,9
7,4,18,75,0,4,18,0,10,28
7,5,18,85,1,9,0,10,17,7
7,6,18,89,1,11,0,4,11,7
7,7,54,89,0,5,36,0,10,46
7,8,82,89,0,6,28,0,10,38
7,9,82,92,1,8,0,3,12,9
7,10,116,92,0,6,34,0,3,37
8,0,0,16,1,9,0,16,17,1
8,1,17,16,0,5,17,0,10,27
8,2,61,16,0,4,44,0,6,50
8,3,61,27,1,6,0,11,13,2
8,4,78,27,0,5,17,0,9,26
8,5,101,27,0,3,23,0,7,30
9,0,0,8,1,6,0,8,18,10
9,1,0,53,1,6,0,45,20,0
9,2,0,65,1,6,0,12,14,2
9,3,0,84,1,9,0,19,26,7
9,4,0,127,1,1,0,43,53,10
10,0,0,11,1,5,0,11,17,6
10,1,21,11,0,9,21,0,9,30
10,2,32,11,0,11,11,0,6,17
10,3,32,30,1,9,0,19,23,4
10,4,58,30,0,6,26,0,1,27
10,5,67,30,0,6,9,0,3,12
10,6,85,30,0,10,18,0,3,21
10,7,85,56,1,4,0,26,35,9
10,8,138,56,0,3,53,0,9,62
11,0,0,28,1,6,0,28,29,1
11,1,0,37,1,8,0,9,17,8
11,2,0,44,1,8,0,7,13,6
11,3,5,44,0,7,5,0,8,13
11,4,11,44,0,7,6,0,6,12
11,5,11,98,1,3,0,54,55,1
11,6,11,108,1,5,0,10,18,8
12,0,0,10,1,8,0,10,12,2
12,1,0,47,1,2,0,37,44,7
12,2,27,47,0,6,27,0,3,30
12,3,44,47,0,5,17,0,9,26
12,4,64,47,0,9,20,0,10,30
12,5,64,74,1,9,0,27,29,2
12,6,73,74,0,10,9,0,7,16
12,7,73,80,1,7,0,6,14,8
12,8,112,80,0,7,39,0,7,46
13,0,0,50,1,4,0,50,58,8
13,1,0,83,1,2,0,33,43,10
13,2,11,83,0,7,11,0,10,21
13,3,11,95,1,8,0,12,19,7
13,4,11,120,1,7,0,25,33,8
14,0,0,25,1,3,0,25,34,9
14,1,0,40,1,6,0,15,25,10
14,2,3,40,0,8,3,0,8,11
14,3,3,64,1,6,0,24,27,3
14,4,4,64,0,11,1,0,10,11
14,5,50,64,0,4,46,0,8,54
14,6,50,68,1,7,0,4,12,8
14,7,82,68,0,8,32,0,6,38
14,8,82,80,1,10,0,12,19,7
14,9,82,92,1,12,0,12,21,9
