Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,9.26E-5,0.8101672
0,0,1,75.0,14.0,5.39E-5,0.7142508
0,0,2,46.0,9.0,6.27E-5,0.7514333
0,1,0,57.0,60.0,4.9E-5,1.0255065
0,1,1,39.0,36.0,5.96E-5,0.9220723
0,1,2,0.0,8.0,0.0,0.7099322
0,2,0,46.0,74.0,5.89E-5,0.998962
0,2,1,45.0,44.0,6.22E-5,0.9253398
0,2,2,42.0,17.0,6.56E-5,0.7474213
0,2,3,19.0,14.0,9.31E-5,0.7516595
0,2,4,18.0,1.0,1.238E-4,0.6516649
0,3,0,59.0,71.0,4.86E-5,1.0355421
0,3,1,59.0,63.0,4.72E-5,1.0184327
0,3,2,32.0,38.0,7.26E-5,0.9746028
0,3,3,25.0,46.0,7.89E-5,0.8607602
0,3,4,25.0,39.0,7.94E-5,0.8742957
0,3,5,17.0,14.0,1.438E-4,0.8105305
0,3,6,0.0,4.0,0.0,0.6483084
0,4,0,39.0,42.0,6.0E-5,1.0508321
0,4,1,39.0,42.0,6.35E-5,1.0381285
0,4,2,37.0,40.0,9.19E-5,0.939674
0,4,3,35.0,45.0,8.15E-5,0.9395681
0,4,4,19.0,45.0,8.89E-5,0.9200633
0,4,5,12.0,42.0,1.108E-4,0.9274679
0,4,6,12.0,46.0,1.245E-4,0.825231
0,4,7,11.0,22.0,1.249E-4,0.7569344
0,4,8,6.0,0.0,1.32E-4,0.0
0,5,0,25.0,52.0,1.386E-4,1.0634341
0,5,1,18.0,33.0,8.4E-5,1.01547
0,5,2,10.0,33.0,1.194E-4,0.926782
0,6,0,49.0,79.0,6.7E-5,1.0679534
0,6,1,24.0,51.0,6.44E-5,0.965924
0,6,2,24.0,56.0,6.32E-5,0.9035912
0,6,3,22.0,32.0,6.76E-5,0.7952797
0,6,4,20.0,32.0,6.14E-5,0.7821509
0,6,5,13.0,22.0,8.09E-5,0.714752
0,6,6,13.0,0.0,8.93E-5,0.468626
1,0,0,49.0,64.0,6.26E-5,0.986079
1,0,1,47.0,58.0,6.43E-5,0.9869476
1,0,2,45.0,56.0,8.08E-5,0.9210896
1,0,3,44.0,60.0,8.16E-5,0.9134984
1,0,4,38.0,56.0,8.13E-5,0.8614806
1,0,5,38.0,33.0,8.72E-5,0.8201328
1,0,6,30.0,28.0,8.98E-5,0.8267213
1,0,7,30.0,14.0,9.19E-5,0.6903128
1,0,8,26.0,8.0,8.15E-5,0.667276
1,1,0,50.0,39.0,6.2E-5,1.1031432
1,1,1,48.0,34.0,5.91E-5,1.0743024
1,1,2,48.0,34.0,6.21E-5,1.0305184
1,1,3,20.0,25.0,7.68E-5,1.0047182
1,1,4,16.0,23.0,9.19E-5,0.9097516
1,1,5,11.0,12.0,1.416E-4,0.8486349
1,1,6,0.0,0.0,0.0,0.5078438
1,2,0,29.0,35.0,5.88E-5,1.0244347
1,2,1,24.0,40.0,6.44E-5,0.9610028
1,2,2,10.0,0.0,9.39E-5,0.0
1,3,0,53.0,50.0,5.0E-5,0.9613644
1,3,1,35.0,20.0,6.72E-5,0.8456412
1,3,2,30.0,18.0,7.76E-5,0.7118567
1,3,3,19.0,18.0,9.68E-5,0.6826757
1,3,4,11.0,11.0,1.487E-4,0.5956004
1,3,5,11.0,11.0,1.432E-4,0.5411022
1,3,6,0.0,10.0,0.0,0.5054145
1,4,0,62.0,45.0,4.84E-5,0.9966621
1,4,1,57.0,41.0,5.3E-5,0.9352696
1,4,2,45.0,48.0,6.31E-5,0.8899413
1,4,3,38.0,43.0,6.3E-5,0.924376
1,4,4,35.0,42.0,6.1E-5,0.8233238
1,4,5,30.0,46.0,6.24E-5,0.7898083
1,4,6,28.0,21.0,6.38E-5,0.8320361
1,4,7,28.0,21.0,6.42E-5,0.6828367
1,4,8,28.0,21.0,6.36E-5,0.6464748
1,4,9,12.0,1.0,8.68E-5,0.5206152
1,5,0,50.0,80.0,4.92E-5,1.0603239
1,5,1,48.0,75.0,4.84E-5,1.1119674
