Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,79.0,41.0,1.5075405,5.79E-5
0,0,1,49.0,33.0,1.4676471,5.93E-5
0,0,2,41.0,31.0,1.3430866,6.11E-5
0,0,3,41.0,23.0,1.2188995,7.01E-5
0,0,4,34.0,9.0,1.2051493,9.91E-5
0,1,0,65.0,60.0,1.5255371,5.59E-5
0,1,1,66.0,52.0,1.4602336,6.35E-5
0,1,2,61.0,43.0,1.4957019,6.06E-5
0,1,3,58.0,39.0,1.3433418,6.22E-5
0,1,4,29.0,39.0,1.151874,6.15E-5
0,1,5,22.0,38.0,1.0918095,5.91E-5
0,1,6,22.0,33.0,0.9752135,7.89E-5
0,1,7,23.0,12.0,1.0201292,1.589E-4
0,1,8,23.0,12.0,0.8902207,1.008E-4
0,1,9,0.0,7.0,0.0,1.307E-4
0,2,0,48.0,71.0,1.4229942,4.77E-5
0,2,1,48.0,47.0,1.35957,5.64E-5
0,2,2,46.0,42.0,1.2838346,5.67E-5
0,2,3,16.0,35.0,1.2062992,5.91E-5
0,2,4,12.0,32.0,1.0079731,7.49E-5
0,2,5,12.0,12.0,0.9201406,1.003E-4
0,2,6,12.0,12.0,0.9235085,1.324E-4
0,2,7,8.0,0.0,0.8579043,0.0
0,3,0,62.0,63.0,1.5576626,4.7E-5
0,3,1,64.0,62.0,1.5357434,5.08E-5
0,3,2,64.0,58.0,1.4628573,5.08E-5
0,3,3,69.0,50.0,1.3397843,5.26E-5
0,3,4,69.0,46.0,1.2900236,7.18E-5
0,3,5,67.0,27.0,1.2661219,7.82E-5
0,3,6,41.0,27.0,1.2416285,7.94E-5
0,3,7,17.0,23.0,0.919277,9.36E-5
0,3,8,17.0,23.0,1.0093571,1.033E-4
0,3,9,8.0,13.0,0.8725637,1.202E-4
0,4,0,39.0,42.0,1.4922103,4.99E-5
0,4,1,45.0,36.0,1.3988795,4.94E-5
0,4,2,15.0,36.0,1.3069072,4.95E-5
0,4,3,1.0,0.0,1.0299237,0.0
0,5,0,28.0,52.0,1.654498,5.85E-5
0,5,1,30.0,49.0,1.5095666,6.29E-5
0,5,2,30.0,45.0,1.4770996,6.39E-5
0,5,3,28.0,39.0,1.4680992,6.49E-5
0,5,4,28.0,39.0,1.2747373,6.25E-5
0,5,5,2.0,18.0,0.9731303,8.09E-5
0,6,0,57.0,73.0,1.5076742,4.6E-5
0,6,1,65.0,65.0,1.5205053,4.67E-5
0,6,2,66.0,37.0,1.5310597,5.69E-5
0,6,3,60.0,37.0,1.4429277,5.85E-5
0,6,4,48.0,27.0,1.4237411,6.88E-5
0,6,5,48.0,27.0,1.4265311,7.99E-5
0,6,6,40.0,24.0,1.2683226,7.56E-5
0,6,7,17.0,7.0,1.1004497,1.134E-4
0,7,0,60.0,68.0,1.5726033,4.56E-5
0,7,1,58.0,41.0,1.4656205,6.01E-5
0,7,2,57.0,35.0,1.3624546,6.33E-5
0,7,3,62.0,31.0,1.3203354,6.15E-5
0,7,4,64.0,29.0,1.3075122,6.23E-5
0,7,5,34.0,24.0,1.191026,6.43E-5
0,7,6,26.0,24.0,0.9711504,6.19E-5
0,7,7,0.0,8.0,0.0,9.96E-5
0,8,0,31.0,54.0,1.6097481,4.78E-5
0,8,1,22.0,54.0,1.3642381,4.74E-5
0,8,2,22.0,52.0,1.2834313,4.78E-5
0,8,3,22.0,26.0,1.201865,5.63E-5
0,8,4,9.0,0.0,1.0831728,0.0
0,9,0,57.0,43.0,1.5067359,7.28E-5
0,9,1,57.0,40.0,1.5422182,7.11E-5
0,9,2,56.0,35.0,1.4754798,1.049E-4
0,9,3,40.0,15.0,1.3930271,8.2E-5
0,9,4,34.0,11.0,1.2750421,9.18E-5
0,9,5,35.0,11.0,1.2289661,8.98E-5
0,9,6,27.0,11.0,1.1124745,8.94E-5
0,9,7,0.0,10.0,0.0,9.38E-5
0,10,0,73.0,44.0,1.5892544,6.02E-5
0,10,1,47.0,22.0,1.5757959,8.37E-5
0,10,2,47.0,13.0,1.394296,1.022E-4
0,10,3,38.0,9.0,1.2911793,9.07E-5
1,0,0,49.0,62.0,1.5078025,5.08E-5
1,0,1,47.0,56.0,1.4235018,4.9E-5
1,0,2,44.0,53.0,1.4345281,5.11E-5
1,0,3,25.0,51.0,1.2043916,4.99E-5
1,0,4,25.0,48.0,1.1095267,4.96E-5
1,0,5,15.0,30.0,0.9784478,5.65E-5
1,0,6,13.0,24.0,0.9447753,1.56E-4
1,0,7,13.0,9.0,0.8467141,9.44E-5
1,1,0,49.0,48.0,1.471186,5.52E-5
1,1,1,42.0,41.0,1.4091553,6.1E-5
1,1,2,47.0,41.0,1.2826308,6.31E-5
1,1,3,38.0,21.0,1.2021665,8.62E-5
1,1,4,10.0,21.0,0.8981767,9.26E-5
1,2,0,33.0,61.0,1.4254273,4.82E-5
1,2,1,33.0,31.0,1.3333093,5.79E-5
1,2,2,28.0,31.0,1.245733,6.01E-5
1,2,3,16.0,11.0,1.2447864,7.88E-5
1,2,4,18.0,10.0,1.1536573,9.09E-5
1,3,0,68.0,50.0,1.5680242,7.55E-5
1,3,1,61.0,42.0,1.5927061,7.91E-5
1,3,2,43.0,42.0,1.534929,8.08E-5
1,3,3,32.0,35.0,1.5858316,8.55E-5
1,3,4,32.0,26.0,1.5747359,7.98E-5
1,3,5,32.0,23.0,1.5161911,9.27E-5
1,3,6,28.0,22.0,1.3796687,1.024E-4
1,3,7,24.0,20.0,1.2015018,1.058E-4
1,3,8,4.0,20.0,0.9619717,1.019E-4
1,4,0,64.0,50.0,1.4984248,5.78E-5
1,4,1,52.0,50.0,1.6468206,7.09E-5
1,4,2,42.0,49.0,1.5303651,7.92E-5
1,4,3,30.0,47.0,1.5942288,5.96E-5
1,4,4,29.0,47.0,1.471043,9.1E-5
1,4,5,29.0,44.0,1.4221486,5.95E-5
1,4,6,29.0,42.0,1.2612754,6.06E-5
1,4,7,28.0,39.0,1.1630036,7.11E-5
1,4,8,6.0,0.0,0.8624464,0.0
1,5,0,58.0,71.0,1.5026469,4.75E-5
1,5,1,57.0,65.0,1.3863159,5.6E-5
1,5,2,41.0,60.0,1.4243555,5.15E-5
1,5,3,47.0,60.0,1.4220989,5.19E-5
1,5,4,47.0,53.0,1.3657736,4.99E-5
1,5,5,47.0,53.0,1.3060232,5.19E-5
1,5,6,47.0,45.0,1.2600182,5.33E-5
1,5,7,22.0,38.0,1.1203278,5.37E-5
1,5,8,16.0,38.0,1.0071856,7.37E-5
1,5,9,16.0,19.0,0.9114556,6.05E-5
1,5,10,16.0,19.0,0.8290328,6.03E-5
1,5,11,1.0,19.0,0.5919471,6.39E-5
1,6,0,18.0,56.0,1.3115071,4.91E-5
1,6,1,11.0,55.0,1.121062,5.2E-5
1,6,2,11.0,55.0,0.9384032,5.11E-5
1,6,3,10.0,0.0,0.920497,0.0
2,0,0,11.0,42.0,1.269309,5.83E-5
2,0,1,7.0,0.0,0.8629239,0.0
2,1,0,60.0,31.0,1.4681504,8.14E-5
2,1,1,35.0,26.0,1.3485465,8.6E-5
2,1,2,26.0,22.0,1.2853401,8.66E-5
2,1,3,27.0,22.0,1.2064468,9.0E-5
2,1,4,24.0,22.0,1.2062441,9.21E-5
2,1,5,21.0,20.0,1.1020115,8.57E-5
2,1,6,21.0,17.0,1.0715663,8.74E-5
2,1,7,21.0,13.0,0.9991165,8.7E-5
2,1,8,25.0,13.0,0.91662,8.52E-5
2,1,9,15.0,13.0,0.8063177,8.53E-5
2,1,10,0.0,8.0,0.0,1.271E-4
2,2,0,17.0,45.0,1.0819017,5.97E-5
2,2,1,13.0,38.0,1.0301511,5.83E-5
2,2,2,11.0,35.0,0.950919,5.74E-5
2,2,3,7.0,0.0,0.7619674,0.0
2,3,0,32.0,31.0,1.3901617,5.44E-5
2,3,1,38.0,12.0,1.4123782,7.35E-5
2,3,2,0.0,10.0,0.0,8.69E-5
2,4,0,58.0,35.0,1.5896931,5.58E-5
2,4,1,53.0,28.0,1.5026625,6.1E-5
2,4,2,52.0,8.0,1.4035615,8.92E-5
2,5,0,58.0,54.0,1.5098825,4.73E-5
2,5,1,28.0,39.0,1.2579798,5.63E-5
2,5,2,30.0,30.0,1.1169611,6.08E-5
2,5,3,30.0,30.0,1.0885398,5.93E-5
2,5,4,2.0,24.0,0.9984923,7.12E-5
2,6,0,75.0,26.0,1.5505904,8.09E-5
2,6,1,50.0,22.0,1.5195821,8.32E-5
2,6,2,56.0,15.0,1.369502,8.42E-5
2,6,3,18.0,15.0,1.2027881,1.595E-4
2,6,4,10.0,0.0,0.9975943,0.0
2,7,0,66.0,50.0,1.5616309,5.55E-5
2,7,1,73.0,44.0,1.5368092,5.85E-5
2,7,2,70.0,38.0,1.5423764,6.17E-5
