Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,25,1,5,0,25,34,9
0,1,0,41,1,10,0,16,23,7
0,2,4,41,0,8,4,0,8,12
0,3,9,41,0,10,5,0,8,13
0,4,44,41,0,4,35,0,1,36
0,5,60,41,0,6,16,0,2,18
0,6,60,51,1,8,0,10,17,7
0,7,60,69,1,8,0,18,26,8
0,8,77,69,0,5,17,0,9,26
0,9,77,86,1,8,0,17,27,10
0,10,77,115,1,4,0,29,38,9
1,0,0,4,1,8,0,4,13,9
1,1,11,4,0,5,11,0,10,21
1,2,11,12,1,5,0,8,18,10
1,3,27,12,0,9,16,0,4,20
1,4,60,12,0,9,33,0,6,39
1,5,78,12,0,12,18,0,1,19
1,6,123,12,0,4,45,0,10,55
2,0,35,0,0,2,35,0,7,42
2,1,35,7,1,11,0,7,15,8
2,2,63,7,0,4,28,0,7,35
2,3,63,35,1,3,0,28,38,10
2,4,63,79,1,3,0,44,52,8
2,5,85,79,0,5,22,0,2,24
2,6,90,79,0,5,5,0,10,15
2,7,97,79,0,9,7,0,6,13
2,8,97,85,1,4,0,6,13,7
2,9,100,85,0,13,3,0,9,12
3,0,23,0,0,5,23,0,10,33
3,1,23,54,1,4,0,54,64,10
3,2,23,86,1,4,0,32,41,9
3,3,23,94,1,8,0,8,11,3
3,4,45,94,0,5,22,0,6,28
3,5,49,94,0,8,4,0,10,14
3,6,52,94,0,8,3,0,8,11
3,7,52,115,1,8,0,21,31,10
4,0,15,0,0,7,15,0,7,22
4,1,15,18,1,6,0,18,27,9
4,2,15,29,1,7,0,11,20,9
4,3,30,29,0,5,15,0,1,16
4,4,30,41,1,8,0,12,22,10
4,5,62,41,0,9,32,0,6,38
4,6,97,41,0,5,35,0,9,44
4,7,97,96,1,3,0,55,64,9
4,8,124,96,0,3,27,0,5,32
5,0,36,0,0,10,36,0,0,11
5,1,40,0,0,7,4,0,7,11
5,2,78,0,0,11,38,0,0,13
5,3,90,0,0,5,12,0,9,21
5,4,90,5,1,12,0,5,11,6
5,5,90,20,1,10,0,15,20,5
5,6,117,20,0,6,27,0,9,36
6,0,0,10,1,4,0,10,11,1
6,1,32,10,0,9,32,0,8,40
6,2,43,10,0,7,11,0,1,12
6,3,63,10,0,7,20,0,4,24
6,4,63,29,1,8,0,19,29,10
6,5,72,29,0,12,9,0,9,18
6,6,72,38,1,7,0,9,18,9
6,7,72,51,1,7,0,13,23,10
6,8,80,51,0,6,8,0,10,18
6,9,125,51,0,4,45,0,5,50
7,0,58,0,0,3,58,0,4,62
7,1,58,22,1,9,0,22,32,10
7,2,67,22,0,8,9,0,3,12
7,3,67,49,1,3,0,27,37,10
7,4,67,76,1,4,0,27,30,3
7,5,100,76,0,5,33,0,1,34
8,0,9,0,0,9,9,0,2,11
8,1,24,0,0,5,15,0,1,16
8,2,24,13,1,10,0,13,22,9
8,3,36,13,0,6,12,0,3,15
8,4,36,23,1,7,0,10,16,6
8,5,36,26,1,7,0,3,11,8
8,6,36,36,1,8,0,10,19,9
8,7,36,54,1,9,0,18,20,2
8,8,36,63,1,7,0,9,18,9
8,9,60,63,0,6,24,0,8,32
8,10,60,84,1,7,0,21,29,8
8,11,60,88,1,8,0,4,13,9
8,12,60,90,1,11,0,2,11,9
8,13,60,104,1,9,0,14,21,7
9,0,45,0,0,6,45,0,0,20
9,1,49,0,0,8,4,0,8,12
9,2,49,42,1,8,0,42,52,10
9,3,49,66,1,9,0,24,33,9
9,4,49,68,1,2,0,2,12,10
9,5,61,68,0,4,12,0,7,19
9,6,61,78,1,5,0,10,13,3
9,7,61,100,1,5,0,22,24,2
10,0,0,20,1,3,0,20,25,5
10,1,21,20,0,8,21,0,9,30
10,2,21,25,1,9,0,5,15,10
10,3,21,38,1,7,0,13,23,10
10,4,21,58,1,7,0,20,29,9
10,5,30,58,0,5,9,0,3,12
10,6,30,70,1,9,0,12,20,8
10,7,74,70,0,7,44,0,1,45
10,8,120,70,0,3,46,0,7,53
11,0,4,0,0,4,4,0,10,14
11,1,4,9,1,9,0,9,17,8
11,2,24,9,0,8,20,0,3,23
11,3,24,34,1,7,0,25,31,6
11,4,24,50,1,5,0,16,21,5
11,5,50,50,0,6,26,0,5,31
11,6,58,50,0,7,8,0,3,11
11,7,58,68,1,11,0,18,26,8
11,8,58,103,1,6,0,35,41,6
12,0,45,0,0,6,45,0,3,48
12,1,45,15,1,7,0,15,22,7
12,2,61,15,0,5,16,0,6,22
12,3,61,24,1,11,0,9,17,8
12,4,85,24,0,4,24,0,10,34
12,5,85,66,1,8,0,42,46,4
12,6,109,66,0,6,24,0,8,32
13,0,0,31,1,7,0,31,39,8
13,1,0,64,1,2,0,33,43,10
13,2,52,64,0,3,52,0,7,59
13,3,109,64,0,4,57,0,2,59
14,0,0,7,1,7,0,7,12,5
14,1,0,36,1,7,0,29,32,3
14,2,37,36,0,5,37,0,7,44
14,3,44,36,0,6,7,0,6,13
14,4,44,88,1,9,0,52,53,1
14,5,44,108,1,12,0,20,30,10
15,0,13,0,0,4,13,0,4,17
15,1,13,36,1,6,0,36,44,8
15,2,13,62,1,9,0,26,34,8
15,3,21,62,0,7,8,0,7,15
15,4,60,62,0,2,39,0,9,48
15,5,76,62,0,7,16,0,8,24
15,6,131,62,0,2,55,0,0,30
16,0,14,0,0,7,14,0,1,15
