Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,76,1,5,0,39,40,1
0,2,0,89,1,7,0,13,22,9
0,3,0,92,1,7,0,3,13,10
0,4,11,92,0,9,11,0,1,12
0,5,31,92,0,4,20,0,10,30
0,6,31,110,1,7,0,18,20,2
1,0,21,0,0,9,21,0,8,29
1,1,21,36,1,6,0,36,11,0
1,2,29,36,0,5,8,0,3,11
1,3,29,104,1,4,0,68,43,0
2,0,7,0,0,5,7,0,7,14
2,1,7,51,1,2,0,51,55,4
2,2,54,51,0,3,47,0,8,55
2,3,57,51,0,8,3,0,9,12
2,4,57,95,1,6,0,44,45,1
2,5,90,95,0,3,33,0,2,35
2,6,90,123,1,7,0,28,31,3
3,0,15,0,0,8,15,0,10,25
3,1,15,73,1,3,0,73,77,4
3,2,15,76,1,6,0,3,12,9
3,3,15,80,1,8,0,4,12,8
3,4,15,96,1,6,0,16,25,9
3,5,15,131,1,7,0,35,38,3
4,0,10,0,0,6,10,0,10,20
4,1,10,41,1,7,0,41,43,2
4,2,10,56,1,7,0,15,25,10
4,3,39,56,0,7,29,0,2,31
4,4,51,56,0,5,12,0,7,19
4,5,106,56,0,1,55,0,7,62
5,0,0,7,1,11,0,7,15,8
5,1,0,18,1,7,0,11,21,10
5,2,0,28,1,6,0,10,19,9
5,3,0,86,1,3,0,58,65,7
5,4,0,108,1,5,0,22,32,10
6,0,39,0,0,4,39,0,10,49
6,1,39,10,1,7,0,10,19,9
6,2,49,10,0,6,10,0,10,20
6,3,68,10,0,6,19,0,7,26
6,4,68,61,1,3,0,51,57,6
6,5,68,64,1,11,0,3,12,9
6,6,83,64,0,7,15,0,6,21
6,7,83,84,1,8,0,20,27,7
6,8,83,90,1,8,0,6,12,6
6,9,83,102,1,7,0,12,22,10
7,0,0,9,1,8,0,9,16,7
7,1,0,57,1,6,0,48,50,2
7,2,0,64,1,7,0,7,15,8
7,3,0,95,1,3,0,31,36,5
7,4,18,95,0,4,18,0,10,28
7,5,18,105,1,12,0,10,16,6
8,0,20,0,0,9,20,0,8,28
8,1,23,0,0,6,3,0,8,11
8,2,62,0,0,3,39,0,7,46
8,3,62,19,1,9,0,19,25,6
8,4,98,19,0,5,36,0,1,37
8,5,98,63,1,5,0,44,45,1
8,6,124,63,0,5,26,0,6,32
9,0,0,28,1,5,0,28,33,5
9,1,0,48,1,7,0,20,28,8
9,2,0,65,1,5,0,17,23,6
9,3,50,65,0,4,50,0,7,57
9,4,50,108,1,1,0,43,53,10
10,0,16,0,0,9,16,0,3,19
10,1,32,0,0,7,16,0,9,25
10,2,32,6,1,9,0,6,13,7
10,3,32,45,1,5,0,39,48,9
10,4,32,52,1,4,0,7,17,10
10,5,41,52,0,5,9,0,3,12
10,6,46,52,0,8,5,0,6,11
10,7,46,78,1,5,0,26,35,9
10,8,101,78,0,3,55,0,9,64
11,0,0,28,1,6,0,28,29,1
11,1,45,28,0,5,45,0,9,54
11,2,75,28,0,4,30,0,10,40
11,3,75,46,1,6,0,18,28,10
11,4,132,46,0,3,57,0,9,66
12,0,0,27,1,6,0,27,31,4
12,1,0,64,1,2,0,37,44,7
12,2,29,64,0,3,29,0,2,31
12,3,51,64,0,4,22,0,9,31
12,4,51,106,1,5,0,42,49,7
13,0,0,48,1,3,0,48,57,9
13,1,0,81,1,2,0,33,43,10
13,2,50,81,0,3,50,0,7,57
13,3,50,99,1,5,0,18,25,7
13,4,50,122,1,7,0,23,33,10
14,0,0,21,1,5,0,21,28,7
14,1,5,21,0,8,5,0,10,15
14,2,5,39,1,7,0,18,27,9
14,3,5,58,1,3,0,19,26,7
14,4,5,71,1,11,0,13,22,9
14,5,46,71,0,4,41,0,6,47
14,6,46,95,1,5,0,24,30,6
14,7,46,107,1,7,0,12,22,10
15,0,0,12,1,7,0,12,21,9
15,1,0,35,1,7,0,23,31,8
15,2,0,71,1,7,0,36,11,0
15,3,0,130,1,3,0,59,65,6
16,0,3,0,0,5,3,0,10,13
16,1,28,0,0,6,25,0,9,34
16,2,95,0,0,3,67,0,2,69
16,3,95,14,1,6,0,14,15,1
16,4,100,14,0,6,5,0,7,12
17,0,0,40,1,5,0,40,47,7
17,1,0,55,1,7,0,15,24,9
17,2,0,77,1,3,0,22,30,8
17,3,0,89,1,6,0,12,18,6
17,4,0,100,1,4,0,11,21,10
18,0,2,0,0,7,2,0,9,11
18,1,2,25,1,4,0,25,33,8
18,2,2,44,1,5,0,19,28,9
18,3,49,44,0,3,47,0,1,48
18,4,62,44,0,12,13,0,1,14
18,5,62,82,1,6,0,38,13,0
18,6,99,82,0,5,37,0,10,47
18,7,132,82,0,3,33,0,9,42
19,0,10,0,0,7,10,0,2,12
19,1,16,0,0,6,6,0,8,14
19,2,16,8,1,6,0,8,17,9
19,3,16,26,1,6,0,18,19,1
19,4,16,44,1,3,0,18,27,9
19,5,16,52,1,9,0,8,17,9
19,6,78,52,0,6,62,0,8,70
19,7,94,52,0,5,16,0,5,21
19,8,97,52,0,8,3,0,9,12
19,9,97,69,1,10,0,17,26,9
19,10,97,85,1,9,0,16,26,10
19,11,162,85,0,3,65,0,8,73
20,0,7,0,0,8,7,0,6,13
20,1,24,0,0,8,17,0,4,21
20,2,24,1,1,5,0,1,11,10
20,3,24,26,1,4,0,25,35,10
20,4,24,57,1,1,0,31,39,8
20,5,24,77,1,6,0,20,21,1
20,6,24,119,1,2,0,42,50,8
21,0,0,35,1,10,0,35,38,3
21,1,37,35,0,5,37,0,6,43
21,2,37,62,1,5,0,27,28,1
21,3,37,81,1,4,0,19,27,8
21,4,37,131,1,5,0,50,53,3
22,0,0,28,1,5,0,28,30,2
22,1,0,62,1,7,0,34,41,7
22,2,0,80,1,5,0,18,28,10
22,3,0,104,1,5,0,24,29,5
23,0,0,3,1,7,0,3,12,9
23,1,0,43,1,2,0,40,50,10
23,2,0,64,1,2,0,21,29,8
23,3,0,90,1,6,0,26,36,10
23,4,18,90,0,7,18,0,1,19
23,5,18,93,1,7,0,3,11,8
23,6,69,93,0,7,51,0,0,26
23,7,80,93,0,10,11,0,8,19
23,8,80,124,1,4,0,31,37,6
24,0,0,3,1,9,0,3,13,10
24,1,62,3,0,4,62,0,0,37
