Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,76.0,36.0,5.994740765,6.06929E-4
0,0,1,80.0,31.0,2.412183207,2.34096E-4
0,0,2,51.0,30.0,1.822387625,1.57371E-4
0,0,3,51.0,21.0,1.678060978,1.52086E-4
0,0,4,51.0,17.0,1.469098828,1.31687E-4
0,0,5,25.0,17.0,1.620384037,1.47667E-4
0,0,6,25.0,17.0,1.534751078,2.28485E-4
0,0,7,20.0,17.0,1.77452427,1.61792E-4
0,0,8,20.0,8.0,1.587397622,0.002242191
0,1,0,57.0,60.0,2.426496462,2.27695E-4
0,1,1,61.0,52.0,2.105931326,1.41061E-4
0,1,2,52.0,48.0,2.202983888,1.18059E-4
0,1,3,23.0,42.0,1.806081708,1.65348E-4
0,1,4,23.0,41.0,1.569061309,1.84417E-4
0,1,5,22.0,41.0,1.356430266,1.41093E-4
0,1,6,22.0,41.0,1.374618993,1.49752E-4
0,1,7,26.0,32.0,1.250697801,1.7542E-4
0,1,8,6.0,20.0,0.967669395,4.04533E-4
0,2,0,46.0,49.0,1.828225696,1.54441E-4
0,2,1,46.0,42.0,1.822576156,1.42311E-4
0,2,2,41.0,40.0,1.713764636,1.35842E-4
0,2,3,41.0,32.0,1.625450739,1.23738E-4
0,2,4,15.0,29.0,1.436534475,1.36681E-4
0,2,5,16.0,26.0,1.299665289,2.3199E-4
0,2,6,15.0,9.0,1.292306921,1.61559E-4
0,3,0,66.0,63.0,2.151520268,9.2954E-5
0,3,1,73.0,58.0,2.030684575,1.17001E-4
0,3,2,73.0,49.0,2.072628249,1.23892E-4
0,3,3,73.0,41.0,1.808883392,1.21014E-4
0,3,4,78.0,22.0,1.848916378,1.50936E-4
0,3,5,54.0,19.0,1.62811096,1.85862E-4
0,3,6,55.0,19.0,1.75383855,1.75327E-4
0,3,7,0.0,6.0,0.0,3.09319E-4
0,4,0,42.0,46.0,2.083004718,1.16679E-4
0,4,1,46.0,42.0,1.820116011,1.15054E-4
0,4,2,45.0,41.0,1.739429497,1.00945E-4
0,4,3,40.0,41.0,1.668989227,1.14558E-4
0,4,4,40.0,38.0,1.625062036,1.09821E-4
0,4,5,44.0,18.0,1.471935282,1.3074E-4
0,4,6,42.0,18.0,1.525368952,1.69084E-4
0,4,7,43.0,7.0,1.467601446,1.94162E-4
1,0,0,49.0,62.0,1.98134904,1.04816E-4
1,0,1,41.0,59.0,1.949575271,1.00637E-4
1,0,2,41.0,56.0,1.784646684,1.45164E-4
1,0,3,25.0,51.0,1.634216654,1.09662E-4
1,0,4,25.0,48.0,1.497263765,1.14259E-4
1,0,5,15.0,30.0,1.387689863,2.2974E-4
1,0,6,13.0,24.0,1.234764285,2.77928E-4
1,0,7,12.0,24.0,1.113923608,1.2787E-4
1,0,8,9.0,0.0,1.151620499,0.0
1,1,0,49.0,48.0,2.104913574,1.4183E-4
1,1,1,49.0,41.0,1.93482241,2.92098E-4
1,1,2,55.0,34.0,1.847945374,2.18742E-4
1,1,3,27.0,17.0,1.756255379,2.07443E-4
1,1,4,2.0,17.0,1.402389766,2.65935E-4
1,2,0,36.0,58.0,1.986748169,1.04843E-4
1,2,1,36.0,28.0,1.900583337,1.22966E-4
1,2,2,35.0,26.0,1.726854603,1.31902E-4
1,2,3,39.0,25.0,1.72926602,1.16052E-4
1,2,4,35.0,20.0,1.782791435,1.28301E-4
1,2,5,35.0,20.0,1.725418232,1.46868E-4
1,2,6,15.0,20.0,1.375023491,1.30068E-4
1,2,7,6.0,0.0,1.140306586,0.0
1,3,0,53.0,50.0,2.082079503,1.74612E-4
1,3,1,35.0,20.0,2.068382683,2.02972E-4
1,3,2,35.0,15.0,1.9621635,3.69898E-4
1,3,3,0.0,9.0,0.0,2.72342E-4
1,4,0,64.0,50.0,2.138119893,1.46176E-4
1,4,1,52.0,50.0,2.118574661,2.63684E-4
1,4,2,46.0,46.0,2.195817018,1.80911E-4
1,4,3,26.0,38.0,1.878548882,1.27917E-4
1,4,4,23.0,31.0,1.708885332,1.6633E-4
1,4,5,0.0,0.0,1.186365996,0.0
2,0,0,11.0,42.0,1.972194727,1.36655E-4
2,0,1,7.0,0.0,1.208033667,0.0
2,1,0,60.0,31.0,1.923219088,1.71344E-4
2,1,1,60.0,26.0,1.940562396,1.79955E-4
2,1,2,63.0,18.0,1.845251872,2.07455E-4
2,1,3,37.0,15.0,1.838208753,1.7825E-4
2,1,4,11.0,15.0,1.498450162,2.00777E-4
2,1,5,11.0,13.0,1.25556184,2.08455E-4
2,1,6,11.0,11.0,1.257259164,1.71043E-4
2,1,7,0.0,8.0,0.0,1.69946E-4
2,2,0,17.0,45.0,1.506643553,1.20127E-4
2,2,1,13.0,38.0,1.47245264,1.36985E-4
2,2,2,11.0,35.0,1.304959153,1.32113E-4
2,2,3,7.0,0.0,1.002909663,0.0
2,3,0,32.0,31.0,1.953273072,2.28867E-4
2,3,1,32.0,12.0,1.847380541,1.67945E-4
2,3,2,35.0,12.0,1.788602712,1.82658E-4
2,3,3,0.0,8.0,0.0,1.79768E-4
2,4,0,53.0,35.0,2.106267024,1.16668E-4
2,4,1,35.0,34.0,2.111495075,1.36441E-4
2,4,2,35.0,31.0,1.886612488,1.24486E-4
2,4,3,28.0,11.0,1.965805732,1.98359E-4
2,4,4,32.0,10.0,1.876384713,1.67355E-4
2,5,0,60.0,54.0,1.973140765,1.23083E-4
2,5,1,51.0,52.0,1.886714353,1.06E-4
2,5,2,21.0,52.0,1.553797933,1.50294E-4
2,5,3,19.0,43.0,1.338619243,2.15379E-4
2,5,4,1.0,36.0,0.940148656,1.16895E-4
2,6,0,69.0,35.0,2.024305278,1.35611E-4
2,6,1,41.0,34.0,1.819151662,1.38173E-4
2,6,2,39.0,5.0,1.810767995,2.9069E-4
2,7,0,60.0,50.0,2.084453809,1.31076E-4
2,7,1,54.0,42.0,2.054536671,1.46532E-4
2,7,2,55.0,17.0,1.862656035,1.71274E-4
2,7,3,60.0,12.0,1.967989852,1.69214E-4
2,7,4,0.0,8.0,0.0,1.82685E-4
3,0,0,69.0,71.0,2.069396402,1.08847E-4
3,0,1,41.0,69.0,1.743016297,1.10014E-4
3,0,2,38.0,63.0,1.694243509,1.05157E-4
3,0,3,9.0,0.0,1.440448841,0.0
3,1,0,81.0,34.0,2.048776311,1.08342E-4
3,1,1,58.0,30.0,1.914976677,2.56493E-4
3,1,2,34.0,26.0,1.928624174,1.1928E-4
3,1,3,0.0,7.0,0.0,2.08183E-4
3,2,0,78.0,26.0,2.154460126,1.35829E-4
3,2,1,76.0,21.0,2.11475866,1.08752E-4
3,2,2,50.0,19.0,2.120747138,2.54998E-4
3,2,3,50.0,19.0,1.982660516,1.15822E-4
3,2,4,22.0,19.0,1.669613971,1.38507E-4
3,2,5,22.0,19.0,1.717885399,1.38159E-4
3,2,6,19.0,8.0,1.667797466,1.59587E-4
3,3,0,74.0,49.0,2.136648932,1.0782E-4
3,3,1,47.0,44.0,1.989306307,2.17766E-4
3,3,2,38.0,41.0,1.847936839,1.53779E-4
3,3,3,39.0,23.0,1.814330858,1.89328E-4
3,3,4,0.0,3.0,0.0,5.01445E-4
3,4,0,61.0,53.0,2.208941303,9.7515E-5
3,4,1,63.0,51.0,2.062953432,1.11565E-4
3,4,2,43.0,50.0,1.957773001,1.00185E-4
3,4,3,40.0,24.0,1.999610937,1.23303E-4
3,4,4,24.0,18.0,2.006996076,1.4997E-4
3,4,5,23.0,18.0,1.737328513,1.53422E-4
3,4,6,4.0,0.0,1.433653844,0.0
3,5,0,59.0,38.0,1.958908973,1.7888E-4
3,5,1,55.0,32.0,1.933043627,1.88004E-4
3,5,2,44.0,29.0,1.755362699,3.56608E-4
3,5,3,47.0,25.0,1.703849578,3.26872E-4
3,5,4,41.0,18.0,1.685382469,3.85151E-4
3,5,5,41.0,18.0,1.379702999,3.83165E-4
3,5,6,0.0,4.0,0.0,4.22575E-4
