Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,1.32642E-4,1.684469927
0,0,1,75.0,14.0,9.2394E-5,1.397528155
0,0,2,46.0,9.0,2.88475E-4,1.478766592
0,1,0,57.0,60.0,8.65E-5,2.020179839
0,1,1,39.0,36.0,1.88352E-4,1.782493684
0,1,2,0.0,8.0,0.0,1.368572691
0,2,0,46.0,74.0,9.8814E-5,1.926909265
0,2,1,45.0,44.0,1.19765E-4,1.759027536
0,2,2,42.0,17.0,1.44308E-4,1.471984769
0,2,3,19.0,14.0,1.55737E-4,1.442586474
0,2,4,18.0,1.0,4.75637E-4,1.262270406
0,3,0,59.0,71.0,9.8917E-5,2.001512552
0,3,1,59.0,63.0,7.8897E-5,1.927581823
0,3,2,32.0,38.0,1.27689E-4,1.937721049
0,3,3,25.0,46.0,1.54843E-4,1.676804363
0,3,4,25.0,39.0,1.39494E-4,1.714883381
0,3,5,17.0,14.0,1.42034E-4,1.550239726
0,3,6,0.0,4.0,0.0,1.218443569
0,4,0,39.0,42.0,1.20533E-4,2.026118701
0,4,1,39.0,42.0,1.18362E-4,2.008940848
0,4,2,37.0,40.0,1.21147E-4,1.797175793
0,4,3,35.0,45.0,1.40839E-4,1.796218938
0,4,4,19.0,45.0,2.4757E-4,1.773251469
0,4,5,12.0,42.0,2.11322E-4,1.774622784
0,4,6,12.0,46.0,2.98035E-4,1.582490502
0,4,7,11.0,22.0,2.21761E-4,1.453638272
0,4,8,6.0,0.0,2.56288E-4,0.0
0,5,0,25.0,52.0,1.58132E-4,2.062530725
0,5,1,18.0,33.0,1.53561E-4,1.952153013
0,5,2,10.0,33.0,2.32413E-4,1.786245503
0,6,0,49.0,79.0,1.00863E-4,1.98829376
0,6,1,24.0,51.0,1.18036E-4,1.841100313
0,6,2,24.0,56.0,1.11831E-4,1.736135741
0,6,3,22.0,32.0,1.16179E-4,1.57877878
0,6,4,20.0,32.0,1.03866E-4,1.49617201
0,6,5,13.0,22.0,1.49102E-4,1.385683294
0,6,6,13.0,0.0,2.67706E-4,0.903266173
1,0,0,49.0,64.0,1.51691E-4,1.943517492
1,0,1,47.0,58.0,2.90708E-4,1.891953501
1,0,2,45.0,56.0,1.39549E-4,1.759475229
1,0,3,44.0,60.0,1.4938E-4,1.766585899
1,0,4,38.0,56.0,1.3458E-4,1.641175175
1,0,5,38.0,33.0,1.71953E-4,1.568851148
1,0,6,30.0,28.0,1.54653E-4,1.595302251
1,0,7,30.0,14.0,2.63597E-4,1.310868887
1,0,8,26.0,8.0,3.11855E-4,1.309448174
1,1,0,50.0,39.0,9.8595E-5,2.121585416
1,1,1,48.0,34.0,1.04725E-4,2.077825461
1,1,2,48.0,34.0,1.09163E-4,1.942568228
1,1,3,20.0,25.0,1.30508E-4,1.975103292
1,1,4,16.0,23.0,1.61286E-4,1.739062616
1,1,5,11.0,12.0,2.62482E-4,1.666824982
1,1,6,0.0,0.0,0.0,0.959214893
1,2,0,29.0,35.0,1.10195E-4,1.957935354
1,2,1,24.0,40.0,1.12114E-4,1.868209298
1,2,2,10.0,0.0,1.47499E-4,0.0
1,3,0,53.0,50.0,8.6064E-5,1.854310642
1,3,1,35.0,20.0,1.33422E-4,1.645066544
1,3,2,30.0,18.0,1.51498E-4,1.410448707
1,3,3,19.0,18.0,1.63968E-4,1.30295443
1,3,4,11.0,11.0,2.20555E-4,1.148793029
1,3,5,11.0,11.0,2.64205E-4,1.03310439
1,3,6,0.0,10.0,0.0,0.966930608
1,4,0,62.0,45.0,8.0573E-5,1.918061655
1,4,1,57.0,41.0,9.0588E-5,1.814796455
1,4,2,45.0,48.0,1.15669E-4,1.738392945
1,4,3,38.0,43.0,2.04785E-4,1.788723712
1,4,4,35.0,42.0,1.01952E-4,1.564002682
1,4,5,30.0,46.0,1.19073E-4,1.510335598
1,4,6,28.0,21.0,1.11306E-4,1.610305295
1,4,7,28.0,21.0,1.00992E-4,1.322833556
1,4,8,28.0,21.0,1.11111E-4,1.273298585
1,4,9,12.0,1.0,1.8309E-4,1.011611796
1,5,0,50.0,80.0,8.2557E-5,2.066045242
1,5,1,48.0,75.0,9.262E-5,2.13884085
1,5,2,25.0,48.0,1.29695E-4,1.9299662
1,5,3,22.0,47.0,1.53373E-4,1.772067792
1,5,4,9.0,48.0,2.27221E-4,1.838393019
1,6,0,18.0,56.0,1.80887E-4,2.081596589
1,6,1,11.0,56.0,2.20337E-4,2.026345411
1,6,2,10.0,0.0,2.3044E-4,0.0
2,0,0,11.0,44.0,2.24516E-4,1.817058166
2,0,1,11.0,44.0,1.44402E-4,1.762768822
2,0,2,11.0,44.0,1.44876E-4,1.668834913
2,0,3,11.0,14.0,4.79081E-4,1.340762457
2,0,4,7.0,0.0,2.24109E-4,0.0
2,1,0,55.0,33.0,8.3266E-5,1.701735883
2,1,1,0.0,4.0,0.0,1.400516037
2,2,0,17.0,45.0,1.55196E-4,2.045931617
2,2,1,13.0,41.0,1.45098E-4,2.006157926
2,2,2,11.0,40.0,1.88029E-4,1.949685486
2,2,3,10.0,0.0,1.60271E-4,0.0
2,3,0,55.0,38.0,9.1502E-5,1.862637986
2,3,1,55.0,38.0,1.10051E-4,1.911231351
2,3,2,51.0,22.0,9.1464E-5,1.762156646
2,3,3,50.0,23.0,9.2855E-5,1.578018494
2,3,4,50.0,23.0,1.04293E-4,1.412195415
2,3,5,25.0,23.0,1.18403E-4,1.403972408
2,3,6,25.0,16.0,1.83312E-4,1.240296329
2,3,7,0.0,10.0,0.0,1.273503256
2,4,0,53.0,61.0,7.8976E-5,1.868151816
2,4,1,50.0,31.0,1.01287E-4,1.902345204
2,4,2,47.0,30.0,1.02282E-4,1.736900118
2,4,3,30.0,33.0,1.42865E-4,1.615166273
2,4,4,26.0,20.0,2.85445E-4,1.649228114
2,4,5,26.0,1.0,1.47037E-4,1.362951375
2,5,0,58.0,54.0,1.14258E-4,2.049345544
2,5,1,52.0,60.0,1.36228E-4,2.057618521
2,5,2,42.0,45.0,1.62183E-4,2.032409644
2,5,3,34.0,44.0,1.85478E-4,1.971869863
2,5,4,25.0,51.0,1.70423E-4,1.890470698
2,5,5,24.0,45.0,1.71502E-4,1.789620023
2,5,6,12.0,17.0,3.5772E-4,1.602237015
2,5,7,10.0,17.0,2.40823E-4,1.415928907
2,6,0,66.0,36.0,9.1366E-5,1.82867589
2,6,1,36.0,36.0,1.30574E-4,1.874276218
2,6,2,33.0,45.0,1.10236E-4,1.767892128
2,6,3,26.0,43.0,1.212E-4,1.774026189
2,6,4,24.0,35.0,1.16148E-4,1.786041093
2,6,5,24.0,33.0,1.23505E-4,1.501184679
2,6,6,24.0,8.0,1.12228E-4,1.138076585
3,0,0,66.0,73.0,1.39625E-4,1.939817496
3,0,1,58.0,73.0,9.2923E-5,1.978312827
3,0,2,29.0,43.0,9.804E-5,1.773702414
