Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,82.0,38.0,9.596936864,2.50552E-4
0,0,1,54.0,36.0,6.340648113,1.26417E-4
0,0,2,59.0,31.0,6.064695108,1.3366E-4
0,0,3,31.0,25.0,5.527134365,1.77326E-4
0,0,4,30.0,25.0,6.010267286,1.83532E-4
0,0,5,27.0,21.0,5.420228434,2.25822E-4
0,0,6,29.0,16.0,5.490810992,1.78353E-4
0,0,7,26.0,16.0,5.334814331,1.56861E-4
0,0,8,26.0,16.0,4.608681744,0.002230002
0,0,9,23.0,16.0,4.252487294,1.40502E-4
0,0,10,4.0,0.0,4.292154798,0.0
0,1,0,65.0,60.0,5.940307098,2.79259E-4
0,1,1,61.0,52.0,6.105628855,1.59303E-4
0,1,2,61.0,48.0,5.750889705,1.45589E-4
0,1,3,31.0,39.0,4.685807605,1.23796E-4
0,1,4,31.0,33.0,4.605076548,1.6031E-4
0,1,5,37.0,33.0,4.227389185,1.4379E-4
0,1,6,37.0,29.0,4.451498622,2.34566E-4
0,1,7,37.0,11.0,4.633237374,1.96749E-4
0,1,8,31.0,11.0,3.713058327,2.16089E-4
0,1,9,15.0,11.0,3.766799282,2.0203E-4
0,1,10,9.0,11.0,3.124707124,1.87198E-4
0,2,0,46.0,43.0,6.854372068,1.25503E-4
0,2,1,46.0,19.0,5.860137981,1.59732E-4
0,2,2,18.0,18.0,4.797937167,1.70511E-4
0,2,3,15.0,16.0,4.254485099,3.08577E-4
0,2,4,12.0,1.0,3.532917363,3.20982E-4
0,3,0,61.0,63.0,6.908434483,9.9976E-5
0,3,1,64.0,63.0,6.122272178,9.8257E-5
0,3,2,56.0,58.0,6.308891031,1.08158E-4
0,3,3,50.0,58.0,5.826509866,1.60149E-4
0,3,4,49.0,57.0,5.594920174,1.17581E-4
0,3,5,49.0,55.0,5.067178202,1.12523E-4
0,3,6,53.0,49.0,5.262785766,9.8714E-5
0,3,7,36.0,43.0,4.882121803,9.1358E-5
0,3,8,35.0,25.0,4.259394569,1.66906E-4
0,3,9,13.0,24.0,3.601192286,1.88633E-4
0,3,10,12.0,24.0,3.646933427,1.61251E-4
0,3,11,6.0,15.0,2.562487945,2.35586E-4
0,4,0,45.0,40.0,6.558447935,4.50173E-4
0,4,1,41.0,40.0,5.487892108,9.1947E-5
0,4,2,41.0,40.0,5.907379791,9.2596E-5
0,4,3,27.0,16.0,5.045219311,1.10119E-4
0,4,4,31.0,16.0,5.014001807,1.13797E-4
0,4,5,1.0,0.0,3.518710471,0.0
0,5,0,32.0,52.0,7.154124176,1.51031E-4
0,5,1,29.0,48.0,6.349622779,1.1777E-4
0,5,2,32.0,22.0,6.786632262,1.36734E-4
0,5,3,40.0,17.0,5.357680908,1.69597E-4
0,5,4,40.0,13.0,6.402242863,4.24248E-4
0,5,5,0.0,7.0,0.0,3.42556E-4
0,6,0,51.0,52.0,6.42692511,1.35708E-4
0,6,1,58.0,45.0,6.25469633,1.02922E-4
0,6,2,64.0,39.0,5.750215309,9.621E-5
0,6,3,66.0,37.0,5.500276453,1.09771E-4
0,6,4,66.0,33.0,5.5068931,9.6348E-5
0,6,5,67.0,32.0,5.590581718,1.11566E-4
0,6,6,44.0,13.0,4.663552513,1.32577E-4
0,6,7,4.0,0.0,3.987851981,0.0
0,7,0,60.0,68.0,6.668355292,1.48807E-4
0,7,1,60.0,41.0,6.102796151,1.27726E-4
0,7,2,46.0,39.0,6.179895103,1.13542E-4
0,7,3,16.0,38.0,4.778306708,1.70386E-4
0,7,4,16.0,34.0,4.171108985,1.13612E-4
0,7,5,16.0,29.0,4.169071387,1.11242E-4
0,7,6,16.0,29.0,3.573400747,1.23104E-4
0,7,7,16.0,11.0,3.443030973,1.54896E-4
0,7,8,0.0,10.0,0.0,1.84078E-4
0,8,0,30.0,46.0,7.026099337,1.3987E-4
0,8,1,30.0,46.0,6.194067305,7.9438E-5
