Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,12,0,0,11,12,0,4,16
0,1,14,0,0,11,2,0,9,11
0,2,14,11,1,5,0,11,12,1
0,3,23,11,0,12,9,0,6,15
0,4,38,11,0,6,15,0,1,16
0,5,38,44,1,6,0,33,40,7
0,6,47,44,0,8,9,0,4,13
0,7,47,50,1,9,0,6,16,10
0,8,47,61,1,10,0,11,20,9
0,9,47,65,1,7,0,4,14,10
0,10,60,65,0,5,13,0,7,20
0,11,60,88,1,10,0,23,31,8
0,12,60,99,1,7,0,11,13,2
0,13,86,99,0,5,26,0,1,27
0,14,86,160,1,4,0,61,64,3
1,0,0,16,1,8,0,16,22,6
1,1,0,55,1,5,0,39,40,1
1,2,49,55,0,7,49,0,0,24
1,3,70,55,0,7,21,0,3,24
1,4,81,55,0,12,11,0,2,13
1,5,81,63,1,8,0,8,15,7
1,6,110,63,0,3,29,0,3,32
2,0,35,0,0,2,35,0,7,42
2,1,35,21,1,9,0,21,31,10
2,2,81,21,0,2,46,0,8,54
2,3,81,52,1,4,0,31,41,10
2,4,81,78,1,5,0,26,36,10
2,5,81,92,1,8,0,14,22,8
2,6,86,92,0,4,5,0,6,11
2,7,86,115,1,10,0,23,31,8
3,0,27,0,0,5,27,0,9,36
3,1,27,31,1,5,0,31,33,2
3,2,27,89,1,6,0,58,68,10
3,3,27,123,1,6,0,34,37,3
4,0,20,0,0,6,20,0,10,30
4,1,20,46,1,5,0,46,55,9
4,2,20,48,1,8,0,2,11,9
4,3,20,55,1,7,0,7,15,8
4,4,32,55,0,7,12,0,10,22
4,5,77,55,0,3,45,0,7,52
4,6,102,55,0,5,25,0,10,35
5,0,0,18,1,7,0,18,26,8
5,1,0,32,1,7,0,14,20,6
5,2,0,45,1,12,0,13,16,3
5,3,17,45,0,5,17,0,9,26
5,4,18,45,0,14,1,0,10,11
5,5,27,45,0,12,9,0,8,17
5,6,67,45,0,4,40,0,3,43
5,7,67,57,1,4,0,12,18,6
5,8,67,71,1,8,0,14,22,8
5,9,111,71,0,5,44,0,3,47
6,0,10,0,0,12,10,0,3,13
6,1,45,0,0,5,35,0,5,40
6,2,45,57,1,4,0,57,59,2
6,3,45,72,1,5,0,15,25,10
6,4,50,72,0,6,5,0,8,13
6,5,50,100,1,8,0,28,35,7
7,0,0,18,1,8,0,18,26,8
7,1,0,22,1,11,0,4,13,9
7,2,0,55,1,4,0,33,41,8
7,3,0,75,1,3,0,20,29,9
7,4,0,95,1,3,0,20,23,3
7,5,0,113,1,8,0,18,23,5
8,0,0,11,1,10,0,11,12,1
8,1,13,11,0,6,13,0,6,19
8,2,18,11,0,7,5,0,9,14
8,3,42,11,0,7,24,0,3,27
8,4,42,27,1,7,0,16,17,1
8,5,42,42,1,7,0,15,24,9
8,6,83,42,0,5,41,0,6,47
8,7,83,67,1,6,0,25,35,10
8,8,83,96,1,6,0,29,36,7
8,9,120,96,0,9,37,0,0,12
9,0,51,0,0,5,51,0,0,26
9,1,62,0,0,7,11,0,5,16
9,2,62,33,1,9,0,33,39,6
9,3,62,58,1,11,0,25,26,1
9,4,62,64,1,4,0,6,16,10
9,5,62,72,1,8,0,8,17,9
9,6,68,72,0,9,6,0,7,13
9,7,68,128,1,5,0,56,65,9
10,0,0,25,1,9,0,25,27,2
10,1,0,79,1,9,0,54,59,5
10,2,4,79,0,8,4,0,8,12
10,3,28,79,0,9,24,0,10,34
10,4,50,79,0,5,22,0,10,32
10,5,55,79,0,8,5,0,7,12
10,6,55,107,1,5,0,28,36,8
11,0,0,14,1,3,0,14,21,7
11,1,28,14,0,5,28,0,8,36
11,2,68,14,0,7,40,0,3,43
11,3,68,28,1,9,0,14,20,6
11,4,68,49,1,7,0,21,26,5
11,5,68,74,1,7,0,25,32,7
11,6,76,74,0,5,8,0,5,13
11,7,92,74,0,5,16,0,10,26
11,8,92,90,1,9,0,16,24,8
11,9,92,130,1,6,0,40,49,9
12,0,36,0,0,6,36,0,5,41
12,1,36,25,1,8,0,25,32,7
12,2,52,25,0,5,16,0,6,22
12,3,52,47,1,7,0,22,27,5
12,4,78,47,0,8,26,0,5,31
