Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,14.0,1.69297E-4,4.53797856
0,0,1,48.0,14.0,2.3603E-4,3.655390875
0,0,2,46.0,9.0,2.42661E-4,3.303849146
0,1,0,63.0,62.0,9.4457E-5,6.832025579
0,1,1,45.0,38.0,1.02658E-4,6.184944714
0,1,2,0.0,8.0,0.0,4.330956638
0,2,0,46.0,53.0,8.6593E-5,5.635808516
0,2,1,24.0,46.0,1.35668E-4,5.540587619
0,2,2,17.0,16.0,1.97287E-4,4.183704681
0,2,3,11.0,15.0,1.78562E-4,3.584124141
0,2,4,6.0,0.0,1.97845E-4,0.0
0,3,0,59.0,71.0,8.9206E-5,7.193553362
0,3,1,59.0,63.0,8.3076E-5,6.890971023
0,3,2,35.0,36.0,1.35456E-4,5.62393672
0,3,3,35.0,29.0,8.9231E-5,4.972625756
0,3,4,16.0,32.0,1.59989E-4,5.085444045
0,3,5,12.0,22.0,1.59285E-4,4.334116775
0,3,6,0.0,2.0,0.0,3.272046696
0,4,0,39.0,46.0,9.5877E-5,6.032744884
0,4,1,35.0,53.0,1.12772E-4,5.991953636
0,4,2,28.0,56.0,1.57211E-4,5.421857367
0,4,3,28.0,26.0,1.06083E-4,5.467669806
0,4,4,28.0,29.0,1.0767E-4,4.948774223
0,4,5,14.0,19.0,1.4233E-4,4.731074234
0,4,6,14.0,15.0,1.67284E-4,4.217851918
0,4,7,14.0,15.0,1.53874E-4,3.420283903
0,4,8,9.0,0.0,1.69541E-4,0.0
0,5,0,21.0,59.0,1.28305E-4,6.242249772
0,5,1,17.0,60.0,1.30495E-4,6.044013052
0,5,2,17.0,60.0,1.35462E-4,5.76640354
0,5,3,17.0,34.0,1.58603E-4,5.500557151
0,5,4,10.0,34.0,2.07768E-4,5.508360478
0,6,0,49.0,80.0,7.5148E-5,6.542327027
0,6,1,47.0,57.0,9.1629E-5,6.014293763
0,6,2,44.0,55.0,8.2617E-5,5.700596157
0,6,3,44.0,29.0,1.21314E-4,5.666789458
0,6,4,44.0,23.0,7.4587E-5,4.803388589
0,6,5,44.0,14.0,8.2959E-5,3.685773622
0,6,6,34.0,6.0,2.03812E-4,3.150688246
1,0,0,49.0,62.0,1.02803E-4,6.02443073
1,0,1,41.0,65.0,1.08485E-4,6.075343271
1,0,2,26.0,72.0,1.63377E-4,5.582802546
1,0,3,19.0,76.0,1.34035E-4,5.449261739
1,0,4,16.0,51.0,2.25828E-4,5.238336115
1,0,5,16.0,47.0,2.43092E-4,5.701060136
1,0,6,16.0,24.0,2.40247E-4,5.863745348
1,0,7,10.0,0.0,3.80218E-4,0.0
1,1,0,55.0,41.0,1.04112E-4,6.916034671
1,1,1,48.0,34.0,8.7462E-5,6.832400789
1,1,2,48.0,34.0,8.1974E-5,5.707057027
1,1,3,43.0,30.0,1.04003E-4,5.774650231
1,1,4,37.0,37.0,1.01491E-4,6.086554675
1,1,5,18.0,40.0,2.19484E-4,5.179259443
1,1,6,11.0,34.0,2.29488E-4,5.585486588
1,1,7,1.0,38.0,4.24773E-4,5.056059339
1,2,0,29.0,35.0,1.01447E-4,6.19898782
1,2,1,24.0,39.0,9.6497E-5,5.291755977
1,2,2,24.0,32.0,1.08949E-4,5.51046468
1,2,3,24.0,27.0,1.07531E-4,5.39163705
