Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,0,74,1,3,0,37,45,8
0,2,9,74,0,5,9,0,6,15
0,3,9,84,1,7,0,10,12,2
0,4,15,84,0,9,6,0,9,15
0,5,39,84,0,5,24,0,10,34
0,6,39,112,1,7,0,28,34,6
1,0,14,0,0,8,14,0,10,24
1,1,51,0,0,8,37,0,1,38
1,2,66,0,0,8,15,0,9,24
1,3,66,75,1,4,0,75,50,0
1,4,94,75,0,10,28,0,9,37
1,5,97,75,0,8,3,0,10,13
1,6,119,75,0,6,22,0,7,29
2,0,7,0,0,6,7,0,7,14
2,1,7,13,1,7,0,13,23,10
2,2,44,13,0,3,37,0,9,46
2,3,44,33,1,6,0,20,29,9
2,4,71,33,0,6,27,0,10,37
2,5,71,47,1,7,0,14,17,3
2,6,71,58,1,8,0,11,20,9
2,7,71,67,1,10,0,9,18,9
2,8,92,67,0,9,21,0,10,31
2,9,98,67,0,9,6,0,7,13
2,10,98,86,1,4,0,19,29,10
2,11,98,98,1,8,0,12,19,7
2,12,120,98,0,11,22,0,9,31
3,0,31,0,0,8,31,0,7,38
3,1,31,38,1,4,0,38,47,9
3,2,48,38,0,9,17,0,6,23
3,3,48,52,1,6,0,14,19,5
3,4,73,52,0,6,25,0,10,35
3,5,73,71,1,8,0,19,28,9
3,6,78,71,0,7,5,0,9,14
3,7,78,106,1,9,0,35,41,6
4,0,44,0,0,7,44,0,3,47
4,1,44,42,1,4,0,42,52,10
4,2,105,42,0,4,61,0,4,65
5,0,45,0,0,8,45,0,0,20
5,1,80,0,0,9,35,0,7,42
5,2,80,9,1,5,0,9,12,3
5,3,80,67,1,3,0,58,65,7
5,4,80,90,1,12,0,23,24,1
5,5,120,90,0,4,40,0,5,45
6,0,0,7,1,8,0,7,13,6
6,1,0,19,1,9,0,12,13,1
6,2,0,51,1,5,0,32,34,2
6,3,38,51,0,7,38,0,7,45
6,4,50,51,0,12,12,0,4,16
6,5,91,51,0,12,41,0,0,16
6,6,107,51,0,5,16,0,7,23
7,0,0,5,1,5,0,5,13,8
7,1,8,5,0,10,8,0,9,17
7,2,8,21,1,4,0,16,18,2
7,3,8,43,1,3,0,22,31,9
7,4,20,43,0,3,12,0,8,20
7,5,51,43,0,8,31,0,3,34
7,6,102,43,0,5,51,0,7,58
8,0,15,0,0,11,15,0,10,25
8,1,18,0,0,7,3,0,9,12
8,2,56,0,0,5,38,0,2,40
8,3,56,16,1,11,0,16,18,2
8,4,74,16,0,5,18,0,7,25
8,5,108,16,0,3,34,0,10,44
9,0,0,31,1,5,0,31,40,9
9,1,0,65,1,8,0,34,43,9
9,2,34,65,0,7,34,0,9,43
9,3,63,65,0,5,29,0,4,33
9,4,63,108,1,1,0,43,53,10
10,0,20,0,0,8,20,0,5,25
10,1,20,10,1,10,0,10,19,9
10,2,20,22,1,8,0,12,20,8
10,3,20,29,1,9,0,7,15,8
10,4,47,29,0,7,27,0,10,37
10,5,56,29,0,5,9,0,3,12
10,6,56,48,1,6,0,19,26,7
10,7,56,78,1,4,0,30,39,9
10,8,97,78,0,2,41,0,9,50
10,9,122,78,0,8,25,0,9,34
11,0,31,0,0,5,31,0,7,38
11,1,78,0,0,5,47,0,7,54
11,2,113,0,0,6,35,0,9,44
12,0,0,24,1,3,0,24,34,10
12,1,0,43,1,2,0,19,26,7
12,2,31,43,0,2,31,0,10,41
12,3,52,43,0,4,21,0,9,30
12,4,52,56,1,10,0,13,22,9
12,5,52,64,1,12,0,8,11,3
12,6,88,64,0,4,36,0,9,45
12,7,119,64,0,5,31,0,10,41
13,0,2,0,0,7,2,0,10,12
13,1,2,33,1,2,0,33,43,10
13,2,2,48,1,5,0,15,21,6
13,3,2,61,1,5,0,13,22,9
13,4,2,135,1,6,0,74,49,0
14,0,0,21,1,5,0,21,28,7
14,1,7,21,0,10,7,0,9,16
14,2,7,74,1,7,0,53,28,0
14,3,7,113,1,3,0,39,42,3
15,0,7,0,0,5,7,0,8,15
15,1,11,0,0,7,4,0,8,12
15,2,34,0,0,9,23,0,7,30
15,3,34,54,1,3,0,54,63,9
15,4,34,93,1,9,0,39,14,0
15,5,34,103,1,4,0,10,16,6
16,0,10,0,0,6,10,0,1,11
16,1,10,10,1,8,0,10,18,8
16,2,81,10,0,6,71,0,4,75
16,3,81,17,1,7,0,7,15,8
16,4,81,33,1,8,0,16,18,2
16,5,81,62,1,3,0,29,32,3
16,6,81,84,1,4,0,22,29,7
16,7,81,102,1,5,0,18,22,4
17,0,0,36,1,5,0,36,44,8
17,1,14,36,0,6,14,0,9,23
17,2,14,40,1,5,0,4,12,8
17,3,14,46,1,7,0,6,11,5
17,4,14,85,1,7,0,39,14,0
17,5,14,102,1,6,0,17,25,8
18,0,0,15,1,6,0,15,25,10
18,1,0,25,1,8,0,10,14,4
18,2,21,25,0,12,21,0,2,23
18,3,65,25,0,4,44,0,1,45
18,4,65,36,1,9,0,11,19,8
18,5,65,46,1,6,0,10,20,10
18,6,81,46,0,4,16,0,10,26
18,7,119,46,0,2,38,0,8,46
19,0,9,0,0,9,9,0,2,11
19,1,15,0,0,8,6,0,8,14
19,2,15,8,1,9,0,8,14,6
19,3,20,8,0,4,5,0,10,15
19,4,20,26,1,3,0,18,27,9
19,5,63,26,0,9,43,0,0,18
19,6,114,26,0,4,51,0,7,58
20,0,18,0,0,6,18,0,10,28
20,1,58,0,0,6,40,0,4,44
20,2,58,1,1,5,0,1,11,10
20,3,58,9,1,6,0,8,14,6
20,4,58,40,1,1,0,31,39,8
20,5,58,72,1,5,0,32,39,7
20,6,58,132,1,2,0,60,68,8
21,0,29,0,0,8,29,0,5,34
21,1,59,0,0,5,30,0,10,40
21,2,63,0,0,7,4,0,8,12
21,3,63,37,1,4,0,37,47,10
21,4,63,58,1,8,0,21,29,8
21,5,72,58,0,10,9,0,5,14
21,6,72,75,1,3,0,17,18,1
21,7,88,75,0,12,16,0,8,24
21,8,88,81,1,7,0,6,12,6
21,9,88,92,1,13,0,11,12,1
21,10,88,105,1,9,0,13,23,10
22,0,0,49,1,5,0,49,24,0
22,1,0,87,1,7,0,38,40,2
22,2,14,87,0,6,14,0,3,17
22,3,14,118,1,4,0,31,40,9
23,0,0,39,1,11,0,39,14,0
23,1,0,52,1,4,0,13,21,8
23,2,0,62,1,4,0,10,14,4
23,3,0,84,1,7,0,22,30,8
23,4,2,84,0,8,2,0,10,12
23,5,2,115,1,6,0,31,34,3
24,0,3,0,0,9,3,0,8,11
24,1,14,0,0,6,11,0,10,21
24,2,64,0,0,4,50,0,9,59
24,3,69,0,0,10,5,0,6,11
24,4,69,41,1,6,0,41,16,0
24,5,111,41,0,5,42,0,2,44
