Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,77.0,43.0,6.607619381,3.25012E-4
0,0,1,47.0,35.0,2.62712228,1.8857E-4
0,0,2,47.0,34.0,2.529838867,1.29495E-4
0,0,3,77.0,25.0,2.384052131,1.29307E-4
0,0,4,70.0,9.0,2.225665726,2.12388E-4
0,1,0,65.0,60.0,2.719401264,2.38196E-4
0,1,1,71.0,52.0,2.650737259,2.12163E-4
0,1,2,71.0,46.0,2.635307766,2.16712E-4
0,1,3,42.0,38.0,2.618903745,0.002389171
0,1,4,42.0,37.0,2.637648104,1.12603E-4
0,1,5,42.0,29.0,2.628595927,1.14394E-4
0,1,6,42.0,28.0,2.43480298,1.69301E-4
0,1,7,42.0,28.0,2.250185489,1.14346E-4
0,1,8,72.0,28.0,2.206692378,1.9953E-4
0,1,9,66.0,28.0,1.988661268,1.20653E-4
0,1,10,53.0,28.0,1.885525801,1.42542E-4
0,1,11,51.0,23.0,1.905142715,1.45197E-4
0,1,12,21.0,23.0,1.822894919,1.45342E-4
0,1,13,0.0,6.0,0.0,2.7961E-4
0,2,0,50.0,69.0,3.094171479,1.35238E-4
0,2,1,50.0,45.0,3.016235901,2.10891E-4
0,2,2,50.0,38.0,3.039001798,1.40815E-4
0,2,3,20.0,22.0,2.982410976,1.82404E-4
0,2,4,17.0,18.0,2.831028307,1.86641E-4
0,2,5,21.0,14.0,2.863429015,1.86686E-4
0,2,6,1.0,0.0,2.547042908,0.0
0,3,0,65.0,63.0,2.910510777,9.1253E-5
0,3,1,65.0,59.0,2.788838802,1.5169E-4
0,3,2,63.0,57.0,2.707622627,1.03674E-4
0,3,3,63.0,36.0,2.660645589,1.4841E-4
0,3,4,63.0,36.0,2.58808517,1.58789E-4
0,3,5,70.0,22.0,2.500012285,1.919E-4
0,3,6,69.0,15.0,2.460251355,2.12073E-4
0,3,7,63.0,15.0,2.194423637,2.01249E-4
0,3,8,40.0,14.0,2.128511856,2.09185E-4
0,3,9,36.0,14.0,2.043132361,3.59233E-4
0,3,10,0.0,9.0,0.0,2.3472E-4
1,0,0,76.0,54.0,2.978759776,9.7321E-5
1,0,1,76.0,51.0,2.690295751,9.398E-5
1,0,2,76.0,49.0,2.647188079,1.31976E-4
1,0,3,75.0,47.0,2.569930739,1.79959E-4
1,0,4,76.0,26.0,2.461676809,1.23595E-4
1,0,5,76.0,24.0,2.212774117,1.3324E-4
1,0,6,76.0,10.0,2.267473874,1.96263E-4
1,1,0,49.0,48.0,2.981688127,1.83189E-4
1,1,1,50.0,41.0,2.847375826,2.00977E-4
1,1,2,50.0,40.0,2.89222235,1.17856E-4
1,1,3,50.0,34.0,2.717399094,1.21245E-4
1,1,4,28.0,34.0,2.640182899,4.37091E-4
1,1,5,51.0,25.0,2.773961698,1.36316E-4
1,1,6,79.0,24.0,2.591839773,1.55757E-4
1,1,7,80.0,18.0,2.453161967,1.61159E-4
1,1,8,75.0,18.0,2.181371434,1.70715E-4
1,1,9,0.0,10.0,0.0,2.36942E-4
2,0,0,11.0,42.0,3.168608553,1.09554E-4
2,0,1,7.0,0.0,2.493734635,0.0
2,1,0,60.0,31.0,2.978412697,1.58606E-4
2,1,1,57.0,26.0,2.79624858,1.88542E-4
2,1,2,57.0,21.0,2.700500012,3.78461E-4
2,1,3,32.0,20.0,2.474430525,2.42612E-4
2,1,4,8.0,18.0,2.384119901,2.26736E-4
2,2,0,17.0,45.0,2.9751846,2.18661E-4
2,2,1,13.0,38.0,2.779304925,1.21523E-4
2,2,2,11.0,35.0,2.530124857,1.32117E-4
2,2,3,7.0,0.0,2.146508116,0.0
2,3,0,32.0,31.0,3.037251193,1.07929E-4
2,3,1,62.0,12.0,2.892977112,1.4745E-4
2,3,2,62.0,12.0,2.667436181,1.69887E-4
2,3,3,0.0,6.0,0.0,2.30017E-4
2,4,0,62.0,53.0,2.935749751,1.23101E-4
2,4,1,46.0,29.0,2.84462835,1.63614E-4
2,4,2,61.0,22.0,2.7944399,1.58623E-4
2,4,3,61.0,18.0,2.705163122,3.644E-4
2,4,4,64.0,3.0,2.594596438,2.88657E-4
3,0,0,66.0,65.0,2.964115269,1.04175E-4
3,0,1,72.0,59.0,2.811228477,1.36697E-4
3,0,2,46.0,56.0,2.792043527,1.03968E-4
3,0,3,18.0,54.0,2.771612822,1.06794E-4
3,0,4,18.0,54.0,2.649562243,9.9062E-5
3,0,5,10.0,0.0,2.372007307,0.0
3,1,0,84.0,34.0,2.847357927,1.15123E-4
3,1,1,56.0,31.0,2.857296158,1.8357E-4
3,1,2,56.0,30.0,2.751865092,4.13539E-4
3,1,3,0.0,10.0,0.0,1.90641E-4
3,2,0,70.0,28.0,2.916034482,1.24224E-4
3,2,1,70.0,24.0,2.793969115,1.97068E-4
3,2,2,70.0,24.0,2.656315821,1.29587E-4
