Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,61,1,5,0,61,70,9
0,1,0,76,1,14,0,15,21,6
0,2,13,76,0,7,13,0,1,14
0,3,13,103,1,11,0,27,36,9
1,0,0,66,1,7,0,66,76,10
1,1,0,131,1,10,0,65,75,10
2,0,35,0,0,2,35,0,7,42
2,1,45,0,0,5,10,0,8,18
2,2,73,0,0,4,28,0,7,35
2,3,73,56,1,4,0,56,62,6
2,4,73,117,1,5,0,61,64,3
3,0,44,0,0,6,44,0,10,54
3,1,44,46,1,4,0,46,56,10
3,2,44,107,1,4,0,61,70,9
4,0,2,0,0,5,2,0,10,12
4,1,2,69,1,6,0,69,78,9
4,2,2,74,1,15,0,5,12,7
4,3,2,114,1,3,0,40,49,9
5,0,0,53,1,5,0,53,62,9
5,1,0,95,1,10,0,42,49,7
5,2,0,99,1,11,0,4,13,9
5,3,0,125,1,9,0,26,31,5
6,0,0,14,1,10,0,14,20,6
6,1,0,19,1,9,0,5,11,6
6,2,0,34,1,8,0,15,23,8
6,3,0,43,1,15,0,9,15,6
6,4,4,43,0,14,4,0,7,11
6,5,20,43,0,13,16,0,5,21
6,6,39,43,0,5,19,0,10,29
6,7,39,72,1,8,0,29,38,9
6,8,47,72,0,8,8,0,10,18
6,9,47,113,1,7,0,41,51,10
7,0,13,0,0,8,13,0,10,23
7,1,13,44,1,7,0,44,53,9
7,2,13,58,1,5,0,14,24,10
7,3,13,79,1,3,0,21,30,9
7,4,13,102,1,3,0,23,26,3
8,0,0,45,1,9,0,45,54,9
8,1,2,45,0,10,2,0,10,12
8,2,2,81,1,11,0,36,46,10
8,3,2,118,1,9,0,37,39,2
9,0,0,10,1,9,0,10,17,7
9,1,0,34,1,10,0,24,32,8
9,2,12,34,0,9,12,0,5,17
9,3,12,44,1,10,0,10,18,8
9,4,12,62,1,1,0,18,28,10
9,5,14,62,0,10,2,0,10,12
9,6,21,62,0,7,7,0,8,15
9,7,21,110,1,8,0,48,52,4
10,0,0,39,1,4,0,39,41,2
10,1,0,65,1,11,0,26,36,10
10,2,11,65,0,9,11,0,9,20
10,3,11,90,1,13,0,25,34,9
10,4,11,107,1,5,0,17,26,9
11,0,0,50,1,8,0,50,59,9
11,1,0,99,1,5,0,49,59,10
11,2,0,117,1,9,0,18,23,5
12,0,0,60,1,5,0,60,69,9
12,1,0,106,1,5,0,46,55,9
13,0,0,8,1,10,0,8,16,8
13,1,0,41,1,2,0,33,43,10
13,2,50,41,0,3,50,0,7,57
13,3,50,97,1,12,0,56,63,7
13,4,50,120,1,14,0,23,25,2
14,0,0,74,1,8,0,74,84,10
14,1,0,117,1,7,0,43,45,2
15,0,0,39,1,12,0,39,47,8
15,1,0,95,1,8,0,56,63,7
15,2,0,155,1,8,0,60,69,9
16,0,0,60,1,4,0,60,67,7
16,1,0,79,1,9,0,19,24,5
16,2,51,79,0,8,51,0,0,26
16,3,51,120,1,7,0,41,49,8
17,0,23,0,0,10,23,0,2,25
17,1,23,14,1,5,0,14,22,8
17,2,27,14,0,8,4,0,9,13
17,3,27,64,1,5,0,50,56,6
17,4,27,116,1,17,0,52,62,10
18,0,0,23,1,6,0,23,31,8
18,1,0,31,1,11,0,8,17,9
18,2,0,80,1,8,0,49,57,8
18,3,10,80,0,11,10,0,7,17
18,4,10,114,1,13,0,34,40,6
19,0,0,18,1,9,0,18,19,1
19,1,0,64,1,11,0,46,47,1
19,2,0,128,1,5,0,64,72,8
20,0,0,70,1,8,0,70,72,2
20,1,0,96,1,9,0,26,35,9
20,2,0,138,1,3,0,42,51,9
21,0,0,32,1,12,0,32,40,8
21,1,0,41,1,10,0,9,13,4
21,2,0,56,1,5,0,15,16,1
21,3,0,66,1,8,0,10,20,10
21,4,0,105,1,8,0,39,47,8
22,0,0,24,1,10,0,24,32,8
22,1,0,88,1,10,0,64,71,7
22,2,0,91,1,7,0,3,13,10
22,3,0,115,1,10,0,24,30,6
23,0,0,39,1,7,0,39,49,10
23,1,18,39,0,5,18,0,3,21
23,2,18,78,1,1,0,39,47,8
23,3,18,127,1,14,0,49,57,8
24,0,0,35,1,9,0,35,43,8
24,1,0,88,1,12,0,53,60,7
24,2,0,99,1,11,0,11,17,6
24,3,0,160,1,8,0,61,71,10
