Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,14.0,2.32002E-4,3.06956519
0,0,1,48.0,14.0,1.03205E-4,2.990774404
0,0,2,46.0,9.0,1.47349E-4,2.742175542
0,1,0,57.0,72.0,1.51497E-4,2.88521043
0,1,1,48.0,72.0,1.24827E-4,2.728070443
0,1,2,48.0,69.0,1.07466E-4,2.616666569
0,1,3,34.0,77.0,1.45309E-4,2.438227943
0,1,4,33.0,77.0,1.06707E-4,2.400214356
0,1,5,33.0,77.0,1.19787E-4,2.270278775
0,1,6,32.0,71.0,1.07838E-4,2.08722429
0,1,7,32.0,52.0,1.01357E-4,1.910538944
0,1,8,27.0,52.0,1.22815E-4,1.808595653
0,1,9,9.0,29.0,2.34195E-4,1.750787876
0,2,0,46.0,73.0,1.08676E-4,2.898645357
0,2,1,43.0,46.0,1.07772E-4,2.910402936
0,2,2,33.0,46.0,1.58283E-4,2.861311153
0,2,3,28.0,39.0,2.64019E-4,2.752456182
0,2,4,23.0,39.0,1.61522E-4,2.564186778
0,2,5,6.0,0.0,2.13521E-4,0.0
0,3,0,53.0,71.0,9.3407E-5,2.976175556
0,3,1,51.0,71.0,7.9136E-5,2.878999508
0,3,2,50.0,65.0,8.5241E-5,2.669296998
0,3,3,45.0,65.0,9.1506E-5,2.579985822
0,3,4,24.0,65.0,1.00515E-4,2.314070212
0,3,5,11.0,65.0,1.31462E-4,2.19397804
0,3,6,9.0,68.0,2.5406E-4,2.055138555
1,0,0,49.0,62.0,1.01653E-4,2.995599373
1,0,1,19.0,62.0,1.46669E-4,2.838173308
1,0,2,15.0,60.0,1.42645E-4,2.793068285
1,0,3,15.0,43.0,2.07516E-4,2.648443676
1,0,4,12.0,40.0,1.70119E-4,2.658057705
1,0,5,12.0,42.0,1.49998E-4,2.468878547
1,0,6,3.0,0.0,3.02015E-4,0.0
1,1,0,55.0,41.0,1.00833E-4,2.905700684
1,1,1,48.0,41.0,1.17951E-4,2.963618457
1,1,2,41.0,41.0,1.04755E-4,2.830285872
1,1,3,41.0,41.0,1.04078E-4,2.680374596
1,1,4,41.0,32.0,1.00311E-4,2.50456561
1,1,5,34.0,40.0,1.00813E-4,2.290465914
1,1,6,31.0,41.0,2.23756E-4,2.224269525
1,1,7,26.0,49.0,1.19867E-4,2.163581972
1,1,8,14.0,52.0,1.53155E-4,2.044837167
1,1,9,14.0,40.0,1.64724E-4,2.040814371
1,1,10,9.0,16.0,1.98473E-4,1.969366882
1,2,0,29.0,43.0,1.0111E-4,2.94028061
1,2,1,21.0,43.0,1.07386E-4,2.921991711
1,2,2,20.0,49.0,1.02582E-4,2.760096724
1,2,3,18.0,41.0,1.19373E-4,2.716055516
1,2,4,18.0,17.0,1.10137E-4,2.642158419
1,2,5,7.0,0.0,1.49983E-4,0.0
1,3,0,53.0,50.0,9.823E-5,3.009129531
1,3,1,51.0,22.0,9.8645E-5,2.826857487
1,3,2,34.0,14.0,1.11289E-4,2.714416329
1,3,3,0.0,8.0,0.0,2.376611085
1,4,0,62.0,70.0,8.2758E-5,2.869052379
1,4,1,58.0,70.0,8.3954E-5,2.752847429
1,4,2,46.0,76.0,1.14949E-4,2.658050453
1,4,3,40.0,69.0,9.9254E-5,2.540746822
1,4,4,39.0,68.0,1.0988E-4,2.477113952
1,4,5,34.0,67.0,1.13216E-4,2.294325975
1,4,6,34.0,65.0,1.18329E-4,2.258069242
1,4,7,34.0,67.0,1.01076E-4,2.091970406
1,4,8,34.0,64.0,1.04839E-4,1.93365768
1,4,9,34.0,66.0,1.19771E-4,1.798583413
1,4,10,14.0,65.0,1.43723E-4,1.742169112
1,4,11,14.0,36.0,1.72138E-4,1.581638018
1,4,12,14.0,36.0,1.64156E-4,1.522979394
1,4,13,14.0,33.0,1.36326E-4,1.35004176
