Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,37,1,3,0,37,46,9
0,1,20,37,0,10,20,0,9,29
0,2,53,37,0,6,33,0,6,39
0,3,112,37,0,7,59,0,9,68
1,0,39,0,0,7,39,0,3,42
1,1,46,0,0,11,7,0,9,16
1,2,56,0,0,6,10,0,7,17
1,3,56,26,1,4,0,26,34,8
1,4,56,29,1,16,0,3,11,8
1,5,105,29,0,5,49,0,7,56
2,0,43,0,0,3,43,0,9,52
2,1,43,51,1,2,0,51,55,4
2,2,89,51,0,2,46,0,8,54
2,3,89,72,1,6,0,21,30,9
2,4,119,72,0,9,30,0,9,39
3,0,56,0,0,10,56,0,6,62
3,1,56,4,1,16,0,4,11,7
3,2,56,11,1,7,0,7,16,9
3,3,74,11,0,6,18,0,1,19
3,4,130,11,0,10,56,0,8,64
4,0,42,0,0,9,42,0,1,43
4,1,42,39,1,5,0,39,49,10
4,2,96,39,0,9,54,0,9,63
4,3,159,39,0,7,63,0,9,72
5,0,0,54,1,9,0,54,29,0
5,1,0,73,1,11,0,19,29,10
5,2,47,73,0,6,47,0,10,57
5,3,47,103,1,8,0,30,34,4
6,0,25,0,0,4,25,0,10,35
6,1,46,0,0,11,21,0,1,22
6,2,56,0,0,10,10,0,6,16
6,3,99,0,0,4,43,0,5,48
6,4,99,21,1,3,0,21,29,8
6,5,112,21,0,16,13,0,3,16
7,0,43,0,0,10,43,0,8,51
7,1,74,0,0,7,31,0,9,40
7,2,74,5,1,5,0,5,15,10
7,3,89,5,0,5,15,0,3,18
7,4,104,5,0,3,15,0,8,23
8,0,38,0,0,10,38,0,2,40
8,1,38,32,1,4,0,32,38,6
8,2,101,32,0,5,63,0,10,73
9,0,0,31,1,5,0,31,40,9
9,1,8,31,0,12,8,0,5,13
9,2,34,31,0,6,26,0,5,31
9,3,107,31,0,8,73,0,8,81
10,0,58,0,0,9,58,0,0,33
10,1,93,0,0,8,35,0,4,39
10,2,152,0,0,3,59,0,8,67
11,0,0,21,1,7,0,21,28,7
11,1,41,21,0,4,41,0,7,48
11,2,55,21,0,8,14,0,3,17
11,3,55,24,1,9,0,3,11,8
11,4,55,38,1,12,0,14,16,2
11,5,115,38,0,3,60,0,10,70
12,0,0,27,1,4,0,27,37,10
12,1,29,27,0,10,29,0,10,39
12,2,56,27,0,6,27,0,8,35
12,3,123,27,0,7,67,0,6,73
13,0,0,55,1,3,0,55,63,8
13,1,0,81,1,5,0,26,31,5
13,2,58,81,0,6,58,0,10,68
13,3,119,81,0,3,61,0,2,63
14,0,0,14,1,7,0,14,19,5
14,1,23,14,0,14,23,0,2,25
14,2,45,14,0,5,22,0,9,31
14,3,45,45,1,3,0,31,38,7
14,4,45,56,1,10,0,11,20,9
14,5,65,56,0,5,20,0,6,26
14,6,65,63,1,9,0,7,15,8
14,7,103,63,0,6,38,0,6,44
15,0,31,0,0,7,31,0,8,39
15,1,87,0,0,9,56,0,6,62
15,2,87,15,1,9,0,15,25,10
15,3,87,49,1,3,0,34,42,8
15,4,163,49,0,9,76,0,3,79
16,0,10,0,0,6,10,0,1,11
16,1,35,0,0,10,25,0,9,34
16,2,104,0,0,3,69,0,5,74
17,0,40,0,0,14,40,0,7,47
17,1,90,0,0,8,50,0,7,57
17,2,123,0,0,4,33,0,9,42
18,0,8,0,0,6,8,0,9,17
18,1,20,0,0,5,12,0,3,15
18,2,20,12,1,7,0,12,20,8
18,3,59,12,0,7,39,0,7,46
18,4,114,12,0,8,55,0,7,62
19,0,0,6,1,12,0,6,12,6
19,1,41,6,0,7,41,0,10,51
19,2,59,6,0,12,18,0,6,24
19,3,92,6,0,5,33,0,6,39
19,4,149,6,0,6,57,0,8,65
20,0,32,0,0,6,32,0,8,40
20,1,70,0,0,4,38,0,7,45
20,2,127,0,0,5,57,0,7,64
21,0,48,0,0,7,48,0,5,53
21,1,77,0,0,8,29,0,10,39
21,2,85,0,0,9,8,0,10,18
21,3,85,20,1,4,0,20,28,8
21,4,85,33,1,7,0,13,22,9
21,5,85,51,1,11,0,18,20,2
21,6,85,60,1,8,0,9,16,7
21,7,127,60,0,11,42,0,7,49
22,0,15,0,0,10,15,0,2,17
22,1,15,35,1,7,0,35,42,7
22,2,30,35,0,6,15,0,3,18
22,3,87,35,0,11,57,0,10,67
22,4,147,35,0,13,60,0,9,69
23,0,70,0,0,13,70,0,7,77
23,1,95,0,0,6,25,0,3,28
23,2,95,13,1,4,0,13,22,9
23,3,134,13,0,12,39,0,4,43
24,0,52,0,0,11,52,0,8,60
24,1,52,2,1,11,0,2,12,10
24,2,125,2,0,4,73,0,6,79
