Game,Round,P0 Score,P1 Score,Winner,Turns,P0 Win,P1 Win,P0 Deadwood,P1 Deadwood
0,0,0,25,1,5,0,25,34,9
0,1,0,44,1,9,0,19,26,7
0,2,0,52,1,4,0,8,17,9
0,3,0,83,1,12,0,31,37,6
0,4,15,83,0,7,15,0,1,16
0,5,23,83,0,8,8,0,8,16
0,6,53,83,0,7,30,0,2,32
0,7,53,100,1,10,0,17,26,9
1,0,21,0,0,6,21,0,10,31
1,1,32,0,0,5,11,0,10,21
1,2,82,0,0,6,50,0,0,25
1,3,82,30,1,5,0,30,38,8
1,4,105,30,0,5,23,0,6,29
2,0,35,0,0,2,35,0,7,42
2,1,35,12,1,11,0,12,20,8
2,2,81,12,0,2,46,0,8,54
2,3,81,37,1,4,0,25,35,10
2,4,96,37,0,7,15,0,9,24
2,5,131,37,0,5,35,0,1,36
3,0,12,0,0,8,12,0,10,22
3,1,12,28,1,4,0,28,38,10
3,2,12,67,1,4,0,39,46,7
3,3,14,67,0,5,2,0,10,12
3,4,32,67,0,7,18,0,5,23
3,5,45,67,0,8,13,0,7,20
3,6,57,67,0,8,12,0,9,21
3,7,67,67,0,8,10,0,10,20
3,8,85,67,0,12,18,0,10,28
3,9,85,105,1,7,0,38,40,2
4,0,7,0,0,8,7,0,6,13
4,1,7,17,1,6,0,17,26,9
4,2,7,21,1,8,0,4,11,7
4,3,10,21,0,7,3,0,9,12
4,4,24,21,0,10,14,0,7,21
4,5,42,21,0,8,18,0,4,22
4,6,42,25,1,8,0,4,14,10
4,7,42,42,1,5,0,17,27,10
4,8,69,42,0,3,27,0,5,32
4,9,69,64,1,2,0,22,24,2
4,10,69,80,1,6,0,16,26,10
4,11,69,94,1,8,0,14,24,10
4,12,69,113,1,6,0,19,28,9
5,0,0,21,1,6,0,21,22,1
5,1,31,21,0,5,31,0,10,41
5,2,67,21,0,10,36,0,0,11
5,3,67,26,1,8,0,5,12,7
5,4,79,26,0,12,12,0,10,22
5,5,98,26,0,3,19,0,10,29
5,6,161,26,0,3,63,0,0,38
6,0,23,0,0,4,23,0,10,33
6,1,51,0,0,6,28,0,1,29
6,2,72,0,0,9,21,0,9,30
6,3,90,0,0,6,18,0,10,28
6,4,90,17,1,8,0,17,25,8
6,5,90,51,1,8,0,34,42,8
6,6,100,51,0,5,10,0,7,17
7,0,58,0,0,3,58,0,4,62
7,1,58,45,1,7,0,45,52,7
7,2,58,49,1,10,0,4,12,8
7,3,58,95,1,3,0,46,47,1
7,4,58,125,1,7,0,30,40,10
8,0,0,12,1,10,0,12,22,10
8,1,5,12,0,6,5,0,7,12
