Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,78.0,17.0,1.84581E-4,2.15819463
0,0,1,75.0,14.0,1.68762E-4,1.633309408
0,0,2,46.0,9.0,1.23415E-4,1.672741344
0,1,0,47.0,66.0,1.00968E-4,2.215390498
0,1,1,39.0,36.0,1.05697E-4,2.117228346
0,1,2,0.0,8.0,0.0,2.426489447
0,2,0,46.0,53.0,1.5041E-4,1.952796225
0,2,1,24.0,53.0,1.35874E-4,1.859595962
0,2,2,17.0,24.0,1.63463E-4,1.494366534
0,2,3,12.0,16.0,1.60396E-4,1.450006421
0,2,4,7.0,0.0,2.28E-4,0.0
0,3,0,54.0,78.0,7.8891E-5,2.104174481
0,3,1,46.0,76.0,9.4265E-5,1.970410681
0,3,2,40.0,46.0,1.36962E-4,2.347633375
0,3,3,20.0,23.0,1.04266E-4,2.448488345
0,3,4,9.0,23.0,2.21944E-4,1.873886048
0,4,0,39.0,42.0,1.02326E-4,2.597697802
0,4,1,39.0,42.0,1.26488E-4,2.5802547
0,4,2,37.0,41.0,1.20692E-4,2.593241432
0,4,3,34.0,41.0,1.40605E-4,2.181393704
0,4,4,34.0,22.0,1.15162E-4,3.033959863
0,4,5,32.0,22.0,1.00919E-4,1.330998052
0,4,6,32.0,7.0,1.20157E-4,1.207195136
0,5,0,24.0,56.0,1.44459E-4,2.159848887
0,5,1,21.0,56.0,1.69644E-4,1.988161755
0,5,2,17.0,37.0,1.56077E-4,1.953284537
0,5,3,17.0,34.0,2.806E-4,1.960068629
0,5,4,17.0,26.0,1.97277E-4,1.900146547
0,5,5,17.0,26.0,1.62718E-4,2.110261493
0,5,6,17.0,16.0,1.64344E-4,1.431315086
0,5,7,0.0,2.0,0.0,1.260721261
1,0,0,49.0,68.0,1.73613E-4,2.853734872
1,0,1,43.0,60.0,1.02266E-4,2.566775238
1,0,2,40.0,57.0,1.17277E-4,2.150179412
1,0,3,18.0,65.0,1.54811E-4,2.054749209
1,0,4,4.0,0.0,3.06276E-4,0.0
1,1,0,50.0,39.0,1.02109E-4,2.557907105
1,1,1,48.0,34.0,1.11808E-4,2.247825196
1,1,2,48.0,34.0,1.03571E-4,2.403444776
1,1,3,20.0,25.0,3.03531E-4,2.21549229
1,1,4,12.0,25.0,2.49943E-4,2.512945436
1,1,5,0.0,7.0,0.0,2.175447775
1,2,0,29.0,35.0,1.09328E-4,2.606473916
1,2,1,24.0,38.0,1.01491E-4,2.300995991
1,2,2,16.0,37.0,1.49866E-4,2.081847166
1,2,3,16.0,36.0,1.669E-4,2.215354201
1,2,4,3.0,0.0,2.52292E-4,0.0
1,3,0,58.0,52.0,1.06125E-4,2.317735098
1,3,1,51.0,22.0,8.4597E-5,1.890190614
1,3,2,51.0,22.0,9.2295E-5,1.928100457
1,3,3,34.0,14.0,1.16316E-4,1.86039057
1,3,4,0.0,8.0,0.0,1.388068277
1,4,0,62.0,45.0,8.419E-5,2.277476142
1,4,1,57.0,48.0,8.8801E-5,2.380631148
1,4,2,50.0,41.0,8.7375E-5,2.165433631
1,4,3,48.0,41.0,8.6729E-5,2.102047182
1,4,4,37.0,41.0,1.08343E-4,2.047873179
1,4,5,29.0,39.0,1.36012E-4,2.03622153
1,4,6,29.0,38.0,1.45215E-4,1.784721357
1,4,7,29.0,40.0,1.52036E-4,1.59901381
1,4,8,5.0,0.0,2.55745E-4,0.0
2,0,0,11.0,42.0,1.41097E-4,2.528121786
2,0,1,11.0,42.0,2.17986E-4,2.100697589
2,0,2,7.0,0.0,2.24149E-4,0.0
2,1,0,59.0,34.0,8.1344E-5,2.24289322
2,1,1,0.0,4.0,0.0,1.760410913
2,2,0,17.0,45.0,2.69453E-4,2.648418572
2,2,1,13.0,38.0,1.60864E-4,2.584014775
2,2,2,11.0,39.0,1.44978E-4,2.340417984
2,2,3,9.0,0.0,2.28E-4,0.0
2,3,0,61.0,32.0,9.4478E-5,2.229986675
2,3,1,57.0,16.0,8.5235E-5,1.904319322
2,3,2,57.0,16.0,8.8584E-5,1.831800481
2,3,3,0.0,6.0,0.0,1.483538835
3,0,0,66.0,65.0,1.20011E-4,2.304394315
3,0,1,37.0,68.0,1.60975E-4,3.5901119
3,0,2,34.0,38.0,1.03722E-4,2.435199697
3,0,3,34.0,43.0,1.28354E-4,1.606601705
3,0,4,18.0,15.0,2.88314E-4,1.392588912
3,0,5,13.0,15.0,1.66891E-4,1.185515499
3,0,6,6.0,0.0,2.28382E-4,0.0
3,1,0,78.0,40.0,7.926E-5,2.272600198
3,1,1,48.0,37.0,1.04282E-4,2.500408673
3,1,2,43.0,33.0,1.83629E-4,2.110046933
3,1,3,24.0,35.0,1.45185E-4,3.92557978
3,1,4,21.0,40.0,1.71617E-4,1.979329338
3,1,5,21.0,40.0,1.52289E-4,2.13722431
3,1,6,18.0,26.0,1.46911E-4,1.939835834
3,1,7,0.0,6.0,0.0,1.546283481
3,2,0,70.0,31.0,1.34095E-4,2.368288471
3,2,1,66.0,31.0,8.7354E-5,2.537205064
3,2,2,59.0,31.0,1.05699E-4,2.183019759
3,2,3,53.0,35.0,2.12079E-4,1.953029945
3,2,4,48.0,10.0,8.3229E-5,1.591037848
3,3,0,45.0,52.0,1.01211E-4,2.48431359
3,3,1,40.0,48.0,1.04651E-4,2.492914372
3,3,2,35.0,42.0,1.41598E-4,2.399604057
3,3,3,30.0,19.0,1.4516E-4,1.828667159
3,3,4,18.0,19.0,1.68384E-4,1.924474046
3,3,5,0.0,1.0,0.0,1.595234916
3,4,0,51.0,59.0,1.7482E-4,2.568428201
3,4,1,32.0,59.0,1.03669E-4,2.573064757
3,4,2,24.0,57.0,1.27061E-4,2.502083457
3,4,3,24.0,39.0,1.94626E-4,2.253960735
3,4,4,13.0,37.0,3.92661E-4,2.084356573
3,4,5,10.0,0.0,2.63192E-4,0.0
3,5,0,58.0,64.0,8.6313E-5,2.398921486
3,5,1,54.0,64.0,1.8686E-4,2.240708317
3,5,2,33.0,64.0,1.07919E-4,3.329067307
3,5,3,29.0,62.0,1.31272E-4,2.434020311
3,5,4,25.0,32.0,2.27503E-4,2.015625092
3,5,5,25.0,25.0,1.0424E-4,1.735514218
3,5,6,22.0,25.0,1.1189E-4,1.839568669
3,5,7,22.0,23.0,1.28909E-4,1.928170337
3,5,8,22.0,15.0,4.89059E-4,1.601206997
3,5,9,22.0,15.0,1.09963E-4,1.230765479
3,5,10,0.0,9.0,0.0,0.994687081
3,6,0,58.0,46.0,1.13638E-4,2.102024548
3,6,1,54.0,44.0,1.04561E-4,2.556025379
3,6,2,47.0,46.0,8.4576E-5,1.984780057
3,6,3,46.0,51.0,1.77735E-4,1.846914007
3,6,4,26.0,29.0,1.17879E-4,1.955974108
3,6,5,24.0,34.0,1.12615E-4,1.694254465
3,6,6,10.0,0.0,2.14486E-4,0.0
3,7,0,37.0,71.0,1.01688E-4,2.251731847
3,7,1,37.0,71.0,1.12771E-4,2.397072452
3,7,2,25.0,50.0,1.88493E-4,2.499739027
3,7,3,19.0,50.0,1.74306E-4,2.248995456
3,7,4,14.0,34.0,1.71493E-4,1.793051951
3,7,5,14.0,24.0,2.0578E-4,1.766417207
3,7,6,14.0,24.0,4.70063E-4,1.826654877
3,7,7,0.0,9.0,0.0,1.555996289
3,8,0,44.0,71.0,1.19508E-4,2.446037667
3,8,1,43.0,44.0,2.10687E-4,2.24465693
3,8,2,17.0,44.0,7.94517E-4,3.759426657
3,8,3,14.0,39.0,2.33967E-4,1.985040925
3,8,4,14.0,32.0,4.25672E-4,1.821190055
3,8,5,14.0,31.0,7.38518E-4,1.702014569
3,8,6,9.0,0.0,2.71698E-4,0.0
3,9,0,43.0,55.0,2.43528E-4,2.940461603
3,9,1,40.0,58.0,9.3298E-5,3.240407255
3,9,2,40.0,55.0,9.2445E-5,2.693901277
3,9,3,40.0,55.0,1.15937E-4,1.923660727
3,9,4,39.0,59.0,1.64732E-4,2.30438859
3,9,5,39.0,54.0,8.8784E-5,2.557562568
3,9,6,22.0,48.0,1.25603E-4,2.984033801
3,9,7,22.0,15.0,1.43966E-4,1.872040743
3,9,8,22.0,18.0,1.66181E-4,2.22619387
3,9,9,19.0,12.0,1.47525E-4,1.508475709
3,9,10,19.0,12.0,1.55233E-4,1.245303291
3,9,11,0.0,10.0,0.0,1.556399458
3,10,0,58.0,39.0,1.38318E-4,2.45987019
3,10,1,53.0,29.0,9.3526E-5,2.031853311
3,10,2,45.0,30.0,9.2272E-5,1.931387583
3,10,3,44.0,30.0,1.4222E-4,1.864808814
3,10,4,19.0,7.0,1.13426E-4,1.302618232
4,0,0,46.0,72.0,1.17433E-4,2.301684604
4,0,1,18.0,69.0,1.70022E-4,2.252684847
4,0,2,12.0,48.0,3.09802E-4,1.962049719
4,0,3,10.0,0.0,2.96124E-4,0.0
4,1,0,76.0,20.0,2.11941E-4,2.107381427
4,1,1,54.0,20.0,9.632E-5,1.742899896
4,1,2,51.0,20.0,1.42397E-4,1.676397668
4,1,3,49.0,20.0,1.03045E-4,1.524613076
4,1,4,0.0,10.0,0.0,1.420200655
4,2,0,40.0,69.0,1.07805E-4,1.980644762
4,2,1,34.0,75.0,1.05812E-4,1.960685373
4,2,2,26.0,68.0,9.8471E-5,1.978671061
4,2,3,15.0,61.0,2.53752E-4,1.829946079
4,2,4,15.0,33.0,1.72488E-4,1.747914841
4,2,5,15.0,12.0,1.47811E-4,1.302623781
4,2,6,11.0,12.0,1.79551E-4,1.209016426
4,2,7,11.0,8.0,2.11653E-4,1.074452197
4,3,0,52.0,72.0,7.5858E-5,1.964766382
4,3,1,27.0,44.0,9.149E-5,2.060972146
4,3,2,15.0,43.0,1.23953E-4,1.817795693
4,3,3,15.0,18.0,1.51329E-4,1.45853946
4,3,4,9.0,14.0,2.95879E-4,1.344864937
4,4,0,40.0,36.0,1.81274E-4,1.946347968
4,4,1,18.0,34.0,1.55274E-4,1.749611969
4,4,2,18.0,35.0,4.28753E-4,1.651625892
4,4,3,13.0,13.0,1.57604E-4,1.368022525
4,4,4,13.0,15.0,1.58378E-4,1.291727918
4,4,5,11.0,15.0,1.77543E-4,1.102479634
4,4,6,7.0,0.0,2.25105E-4,0.0
4,5,0,16.0,59.0,9.3729E-5,2.045633509
4,5,1,16.0,59.0,1.09206E-4,1.961597529
4,5,2,12.0,63.0,1.21145E-4,1.961927632
4,5,3,4.0,57.0,2.62909E-4,1.807648227
5,0,0,63.0,76.0,1.06508E-4,2.130702033
5,0,1,54.0,70.0,9.6277E-5,2.156455703
5,0,2,48.0,70.0,9.7615E-5,1.959002466
5,0,3,48.0,41.0,9.3924E-5,1.957536115
5,0,4,25.0,36.0,1.86587E-4,1.883291134
5,0,5,25.0,36.0,1.00995E-4,1.689233641
5,0,6,25.0,36.0,1.00739E-4,1.686048431
5,0,7,25.0,17.0,2.14638E-4,1.449201081
5,0,8,22.0,13.0,1.05454E-4,1.166909394
5,0,9,8.0,0.0,3.24493E-4,0.0
5,1,0,77.0,52.0,8.3507E-5,2.046489961
5,1,1,37.0,43.0,1.95989E-4,1.975209738
5,1,2,32.0,43.0,1.25661E-4,1.949598822
5,1,3,32.0,43.0,1.31554E-4,1.916772417
5,1,4,24.0,30.0,1.30357E-4,1.764484087
5,1,5,21.0,30.0,1.75533E-4,1.619818332
5,1,6,0.0,10.0,0.0,1.272609479
5,2,0,49.0,53.0,9.2293E-5,1.998573765
5,2,1,44.0,53.0,1.94638E-4,1.906544986
5,2,2,38.0,23.0,1.14744E-4,1.830403516
5,2,3,36.0,30.0,1.12284E-4,1.628207699
5,2,4,20.0,6.0,1.373E-4,1.46096546
5,3,0,57.0,38.0,1.07614E-4,1.995732662
5,3,1,57.0,38.0,1.02453E-4,2.020691525
5,3,2,52.0,43.0,8.8041E-5,1.899887231
5,3,3,24.0,14.0,1.55576E-4,1.433409744
5,3,4,24.0,14.0,1.34438E-4,1.135699362
5,3,5,0.0,4.0,0.0,1.179260219
5,4,0,61.0,73.0,9.4923E-5,2.051136371
5,4,1,58.0,74.0,9.4952E-5,1.923168521
5,4,2,51.0,73.0,9.5039E-5,1.760699547
5,4,3,31.0,70.0,9.6796E-5,1.696112193
5,4,4,31.0,45.0,1.18113E-4,1.59526921
5,4,5,29.0,43.0,1.19051E-4,1.547890952
5,4,6,29.0,44.0,1.90727E-4,1.464292191
5,4,7,29.0,32.0,1.56322E-4,1.360954099
5,4,8,29.0,32.0,1.15521E-4,1.25674127
5,4,9,28.0,7.0,1.47473E-4,1.033577361
5,5,0,25.0,36.0,1.78996E-4,2.082996068
5,5,1,25.0,29.0,1.74984E-4,1.857161112
5,5,2,21.0,24.0,2.71783E-4,2.058869249
5,5,3,18.0,19.0,2.79223E-4,1.603299918
5,5,4,17.0,20.0,2.05658E-4,1.681478222
5,5,5,16.0,22.0,1.98292E-4,1.727864743
5,5,6,16.0,22.0,1.80047E-4,1.687993449
5,5,7,0.0,5.0,0.0,1.178489917
5,6,0,32.0,53.0,1.36751E-4,1.904796212
5,6,1,30.0,53.0,1.53691E-4,1.771683042
5,6,2,24.0,24.0,2.96659E-4,1.546867542
5,6,3,24.0,24.0,1.72436E-4,1.459136751
5,6,4,22.0,22.0,3.02711E-4,1.327709885
5,6,5,16.0,14.0,2.09997E-4,1.224783189
5,6,6,13.0,3.0,1.8632E-4,1.06471535
5,7,0,39.0,62.0,1.00432E-4,2.018940223
5,7,1,18.0,32.0,1.28318E-4,1.834686549
5,7,2,12.0,15.0,2.18554E-4,1.594998387
5,7,3,0.0,15.0,5.36231E-4,1.658738181
5,8,0,38.0,43.0,1.0611E-4,1.935720153
