Game,Round,Turn,P0 Deadwood,P1 Deadwood,P0 Time,P1 Time
0,0,0,79.0,41.0,5.521325412,3.81948E-4
0,0,1,51.0,39.0,1.946348606,2.09528E-4
0,0,2,53.0,37.0,1.592379387,2.66799E-4
0,0,3,24.0,31.0,1.329111674,1.68647E-4
0,0,4,24.0,31.0,1.596481131,1.91266E-4
0,0,5,20.0,27.0,1.393141701,1.37586E-4
0,0,6,16.0,23.0,1.365266609,1.3532E-4
0,0,7,10.0,0.0,1.461142959,0.0
0,1,0,71.0,60.0,3.174774227,3.45997E-4
0,1,1,67.0,54.0,2.166408147,2.86466E-4
0,1,2,54.0,50.0,1.784754174,2.24301E-4
0,1,3,24.0,49.0,1.674955024,1.11266E-4
0,1,4,22.0,40.0,1.556005667,2.57934E-4
0,1,5,22.0,40.0,1.604121602,1.39949E-4
0,1,6,25.0,15.0,1.387902847,2.16434E-4
0,1,7,25.0,14.0,1.292612697,4.09419E-4
0,1,8,0.0,1.0,0.0,3.01705E-4
0,2,0,46.0,49.0,1.785434473,1.62858E-4
0,2,1,46.0,42.0,1.746586273,1.40809E-4
0,2,2,48.0,33.0,1.704253614,1.3779E-4
0,2,3,40.0,29.0,1.769638148,1.30625E-4
0,2,4,43.0,22.0,1.54606101,1.17951E-4
0,2,5,43.0,18.0,1.653300727,2.8019E-4
0,2,6,23.0,18.0,1.358902252,1.11341E-4
0,2,7,10.0,0.0,1.266247686,0.0
0,3,0,61.0,63.0,2.015315873,1.76194E-4
0,3,1,62.0,61.0,1.886278441,1.57241E-4
0,3,2,70.0,52.0,1.948801579,1.77829E-4
0,3,3,63.0,44.0,1.952891337,1.0027E-4
0,3,4,40.0,21.0,1.857902626,1.51157E-4
0,3,5,26.0,19.0,1.755445568,1.37826E-4
0,3,6,11.0,15.0,1.440427373,1.36373E-4
0,3,7,2.0,15.0,1.194986384,1.48629E-4
0,4,0,48.0,34.0,1.937400165,1.77362E-4
0,4,1,44.0,34.0,1.9713464,1.1556E-4
0,4,2,44.0,34.0,1.990638987,1.1975E-4
0,4,3,27.0,34.0,1.702772643,1.25554E-4
0,4,4,27.0,30.0,1.577262743,1.13206E-4
0,4,5,27.0,30.0,1.582130436,1.34172E-4
0,4,6,18.0,30.0,1.524216396,1.18336E-4
0,4,7,14.0,27.0,1.054394593,1.57895E-4
0,4,8,9.0,0.0,0.842834383,0.0
0,5,0,32.0,52.0,2.112333419,1.22732E-4
0,5,1,29.0,48.0,1.919648353,1.5827E-4
0,5,2,29.0,22.0,2.005910571,1.59197E-4
0,5,3,26.0,17.0,1.893819365,2.33805E-4
0,5,4,26.0,17.0,1.722107489,1.67609E-4
0,5,5,32.0,17.0,1.626372235,2.02328E-4
0,5,6,32.0,13.0,1.811811761,2.17511E-4
0,5,7,7.0,13.0,1.435864032,2.81845E-4
0,6,0,57.0,73.0,2.085118116,1.11172E-4
0,6,1,66.0,64.0,1.969611471,9.1461E-5
0,6,2,66.0,58.0,1.946558549,1.02E-4
0,6,3,42.0,52.0,1.78085286,9.6291E-5
0,6,4,35.0,51.0,1.476072877,1.6153E-4
0,6,5,42.0,44.0,1.44008336,1.12508E-4
0,6,6,16.0,21.0,1.472094561,1.27899E-4
0,6,7,1.0,0.0,0.987792471,0.0
0,7,0,58.0,68.0,2.130725356,1.0886E-4
0,7,1,61.0,67.0,2.018032279,1.07589E-4
0,7,2,59.0,40.0,1.901455344,1.29185E-4
0,7,3,29.0,34.0,1.633612036,1.21131E-4
0,7,4,30.0,30.0,1.552714299,1.3859E-4
0,7,5,24.0,30.0,1.534033634,3.90615E-4
0,7,6,24.0,30.0,1.412653597,1.29722E-4
